Date,Open,High,Low,Close,Adj Close,Volume,BTC daily transaction volume on the chain
2017-11-09,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,7143.580078125,3226249984,1960703.01860312
2017-11-10,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,6618.14013671875,5208249856,1970605.82711277
2017-11-11,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,6357.60009765625,4908680192,1754424.36102834
2017-11-12,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,5950.06982421875,8957349888,1201826.6532878
2017-11-13,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6559.490234375,6263249920,3856182.67321187
2017-11-14,6561.47998046875,6764.97998046875,6461.75,6635.75,6635.75,3197110016,3819307.0382225
2017-11-15,6634.759765625,7342.25,6634.759765625,7315.5400390625,7315.5400390625,4200880128,2555595.26874904
2017-11-16,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,7871.68994140625,5123809792,3838529.59856951
2017-11-17,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,7708.990234375,4651670016,3648257.45612164
2017-11-18,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,7790.14990234375,3667190016,2698296.52471144
2017-11-19,7766.02978515625,8101.91015625,7694.10009765625,8036.490234375,8036.490234375,3149319936,2621739.28079319
2017-11-20,8039.06982421875,8336.8603515625,7949.35986328125,8200.6396484375,8200.6396484375,3488450048,3029641.30616217
2017-11-21,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,8071.259765625,4277609984,2942825.96522917
2017-11-22,8077.9501953125,8302.259765625,8075.47021484375,8253.5498046875,8253.5498046875,3633530112,2643680.62121343
2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,8038.77001953125,4225179904,2555190.09310349
2017-11-24,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,8253.6904296875,5058610176,2370824.03120742
2017-11-25,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,8790.919921875,4342060032,2469420.60658115
2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,9330.5498046875,5475579904,1645926.69445424
2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,9818.349609375,5653320192,1907170.0150893896
2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,10058.7998046875,6348819968,2141172.04116451
2017-11-29,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,9888.6103515625,11568799744,2930012.29292966
2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,10233.599609375,8310689792,2380430.85312615
2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,10975.599609375,6783119872,2061419.56838421
2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096,1813981.15507196
2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,11323.2001953125,6608309760,1591009.80155975
2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,11657.2001953125,6132409856,2076938.26897079
2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,11916.7001953125,6895260160,2422162.97467326
2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032,2489366.26347218
2017-12-07,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17899.69921875,17950699520,2779212.32614819
2017-12-08,17802.900390625,18353.400390625,14336.900390625,16569.400390625,16569.400390625,21135998976,2252549.99815457
2017-12-09,16523.30078125,16783.0,13674.900390625,15178.2001953125,15178.2001953125,13911300096,2420869.50382201
2017-12-10,15168.400390625,15850.599609375,13226.599609375,15455.400390625,15455.400390625,13433299968,1898733.23980186
2017-12-11,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,16936.80078125,12153900032,1961695.07508562
2017-12-12,16919.80078125,17781.80078125,16571.599609375,17415.400390625,17415.400390625,14603799552,2706532.47444723
2017-12-13,17500.0,17653.099609375,16039.7001953125,16408.19921875,16408.19921875,12976900096,2636029.16101118
2017-12-14,16384.599609375,17085.80078125,16185.900390625,16564.0,16564.0,13777399808,2398967.50990314
2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616,2336279.93973394
2017-12-16,17760.30078125,19716.69921875,17515.30078125,19497.400390625,19497.400390625,12740599808,1811643.44657119
2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936,2047649.69295052
2017-12-18,19106.400390625,19371.0,18355.900390625,19114.19921875,19114.19921875,14839499776,1976374.90510143
2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840,2083230.63708044
2017-12-20,17760.30078125,17934.69921875,16077.7001953125,16624.599609375,16624.599609375,22149699584,1549734.45104762
2017-12-21,16642.400390625,17567.69921875,15342.7001953125,15802.900390625,15802.900390625,16516599808,1278047.71578637
2017-12-22,15898.0,15943.400390625,11833.0,13831.7998046875,13831.7998046875,22197999616,1265354.39515177
2017-12-23,13948.7001953125,15603.2001953125,13828.7998046875,14699.2001953125,14699.2001953125,13086000128,1222229.14042652
2017-12-24,14608.2001953125,14626.0,12747.7001953125,13925.7998046875,13925.7998046875,11572299776,1271080.1100254
2017-12-25,13995.900390625,14593.0,13448.900390625,14026.599609375,14026.599609375,10664699904,1475747.14262636
2017-12-26,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,16099.7998046875,13454300160,1327891.08333503
2017-12-27,16163.5,16930.900390625,15114.2998046875,15838.5,15838.5,12487600128,1906515.50281543
2017-12-28,15864.099609375,15888.400390625,13937.2998046875,14606.5,14606.5,12336499712,1490332.81321776
2017-12-29,14695.7998046875,15279.0,14307.0,14656.2001953125,14656.2001953125,13025500160,1472356.2372872
2017-12-30,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,12952.2001953125,14452599808,1390854.05387044
2017-12-31,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,14156.400390625,12136299520,1294107.57792878
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,1005956.45117023
