Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cnn_layers,dropout,epoch,features,filters,gru_layers,kernel_size,lags,learning_rate,n_periods,pool_size,prediction_start_date,units,accuracy_daily,avg_accuracy,avg_mae,avg_mape,avg_mse,avg_precision,avg_rmse,avg_rmspe,mae_daily,mape_daily,mse_daily,precision_daily,rmse_daily,rmspe_daily,model_selected
16/08/2025 14:53,115ms,b5374e16d73e4a1ca3ac91e70514f4bb,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 14:45,30.1s,ddf9d1eca15a4ee0a86c4d3ae19f065d,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,42,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,7,14,0.01,7,0,04/03/2023,32,0.473684211,0.496240602,64.09520396,0.035380889,7008.414397,0.501154663,82.1941021,4.627738081,85.68220394,0.046521802,11392.38846,0.476923077,106.7351323,5.843420254,0
16/08/2025 14:53,117ms,748e54d145c04cb4b95e2c4974bf6b9c,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 14:48,40.5s,5fb8615a7cb348deb84001d0f3da5460,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,74,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,7,14,0.01,7,2,04/03/2023,32,0.390977444,0.500537057,62.8703943,0.034966162,6937.427833,0.505462213,82.82758398,4.750839938,76.71746482,0.0416915,9559.209655,0.405405405,97.77121077,5.361329653,0
16/08/2025 14:52,124ms,dd5837830b4141158e645b6be6bd48bf,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16/08/2025 14:49,29.6s,32f6e45e59154f698de5b18234590d1c,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,35,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,3,14,0.01,7,0,04/03/2023,32,0.503759398,0.513426423,64.27077274,0.035492796,7092.656648,0.519022927,82.87626646,4.682768651,84.1920719,0.045469251,11439.31881,0.507692308,106.9547512,5.798184916,0
16/08/2025 14:45,25.6s,b1f4d302efad41a5ba1a1bbaff3a7a71,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,34,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,3,14,0.01,7,2,04/03/2023,32,0.443609023,0.501611171,62.85124329,0.034524033,7329.674438,0.50606378,82.97961432,4.630421147,91.43265734,0.049442248,13242.28502,0.450704225,115.0751277,6.241413965,0
16/08/2025 14:51,16.0s,bbcc730bf70a4c31bd09d51ea7542677,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,6,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,3,14,0.01,7,2,04/03/2023,32,0.496240602,0.489795918,62.7943146,0.03495302,7136.94353,0.495311681,83.83631733,4.845041507,72.55403608,0.039918975,8863.371281,0.5,94.14547934,5.320141926,0
16/08/2025 14:47,27.2s,615665f38ab3473180f42ca9b6c2558c,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,38,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,3,14,0.01,7,2,04/03/2023,32,0.473684211,0.517722879,62.11753149,0.034444169,7333.510693,0.522607376,84.26328749,4.827553824,81.6590684,0.044223234,11382.33943,0.479452055,106.6880473,5.831313524,0
16/08/2025 14:52,19.9s,019b071ebd974b50a5188f6314dcd2c4,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,16,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,7,14,0.01,7,2,04/03/2023,32,0.488721805,0.487647691,65.93363505,0.036437924,7706.839535,0.492799738,87.10045774,4.930396012,80.06056821,0.043461512,10302.58582,0.492307692,101.5016543,5.558671497,0
16/08/2025 14:50,25.0s,371faad7b35246c98a5589b14110ce4d,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,24,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,3,14,0.01,7,0,04/03/2023,32,0.443609023,0.499462943,68.72777252,0.037962759,7872.43647,0.504589311,88.00216354,4.957715178,81.28206801,0.043947561,11252.14504,0.450704225,106.0761285,5.757146388,0
16/08/2025 14:49,17.5s,3824d8ffc83343f2818f84d753bd749b,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,9,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,3,14,0.01,7,2,04/03/2023,32,0.503759398,0.481203008,64.70326628,0.036056128,8007.796243,0.487005748,88.91398389,5.14528673,75.47432324,0.041855652,10135.91925,0.506849315,100.6773025,5.784512795,0
16/08/2025 14:53,19.9s,d2e6d168d2f240d99253b970b6bb5f91,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,3,0.1,10,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,3,14,0.01,7,0,04/03/2023,32,0.436090226,0.501611171,69.62693654,0.038264973,8419.227114,0.505561414,88.92927125,4.946503425,103.8826893,0.055941786,15920.4296,0.4375,126.1761848,6.758859153,0
16/08/2025 14:50,23.0s,aa50603512e64feabc392895e3a8ae7c,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,20,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,7,14,0.01,7,0,04/03/2023,32,0.37593985,0.488721805,69.39115268,0.03844542,8212.352942,0.491322985,89.30668216,5.070112149,83.71379261,0.045800451,12069.01802,0.366666667,109.8590825,6.106273161,0
16/08/2025 14:51,21.8s,b410f93e947d4d1886a180be68aadb48,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,17,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,7,14,0.01,7,0,04/03/2023,32,0.458646617,0.485499463,69.60680497,0.038495124,8285.604243,0.490515627,90.04980991,5.089133622,79.72400109,0.043765903,10773.62978,0.463768116,103.7960971,5.848514655,0
16/08/2025 14:50,15.4s,8255cff413334fb5a0707196c733c629,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,2,0.1,4,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,7,14,0.01,7,2,04/03/2023,32,0.496240602,0.497314715,68.21113273,0.037873506,8503.805855,0.502473136,92.1099203,5.306320494,69.93527864,0.038583125,8829.541158,0.5,93.96563818,5.37868999,0
16/08/2025 14:52,25.3s,9f976312bdf44bdfaa4c108cec0d75bb,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,3,0.1,23,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,3,14,0.01,7,0,04/03/2023,32,0.473684211,0.497314715,74.65558143,0.041203979,8746.728823,0.502744149,92.86664812,5.214807484,84.9856767,0.045964482,11696.3045,0.474576271,108.1494545,5.851089961,0
16/08/2025 14:48,17.9s,0c160f9417454b64a488b210eab36481,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,11,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",32,2,7,14,0.01,7,0,04/03/2023,32,0.406015038,0.470461869,74.5752909,0.04096239,8976.027446,0.476106121,93.11509873,5.184123964,92.24022864,0.04987171,13301.14537,0.411764706,115.3305917,6.260598676,0
16/08/2025 14:45,18.2s,be1d5f4935164a558d09f8e6e54c5686,ETH_base_LTC_blk,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,1,0.1,10,"['ETH_D_AvgPrc', 'LTC_D_AvgPrc', 'LTC_YF_Vol', 'LTC_OL_MinDif', 'LTC_BIC_HshRt']",16,2,3,14,0.01,7,0,04/03/2023,32,0.421052632,0.480128894,75.11276602,0.041302582,8917.369174,0.487178885,93.23456193,5.181222727,102.8200521,0.055470342,15077.1001,0.435897436,122.7888436,6.596506456,0
