Date,Open,High,Low,Close,Adj Close,Volume,ETH Gas price,ETH total supply,ETH daily transaction fee,Gas utilization rate of ETH,ETH daily new contracts,ETH market cap,ETH average daily block size,ETH average computing power of the entire network,ETH average daily transaction fee,ETH mining difficulty,ETH number of daily active addresses,Number of new addresses added per day on ETH,ETH number of daily transactions on the chain,ETH daily transaction volume on the chain
2017-11-19,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,354.385986328125,1181529984,1.20356890547486e-08,95824938.06198,288.08,57.03,16995,34230680994.78554,14286.839385698288,100775677895364.72,0.0006410638705054542,1392929481923962.8,217328,77238.0,449378,12720582.556889571
2017-11-20,354.093994140625,372.1369934082031,353.2890014648437,366.7300109863281,366.7300109863281,807027008,1.2894882405077964e-08,95845605.90573,327.42,60.150000000000006,15495,34679764572.963455,15683.203880407124,106354387099060.31,0.0006453749312581678,1461049102110965.8,258944,96314.0,507333,16158683.060373597
2017-11-21,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,360.4010009765625,949912000,1.3929433813945509e-08,95865899.96823,364.44,63.63,12197,35428324633.504906,16597.92751020408,104918917419134.58,0.0006877913450468983,1479743928218170.0,249117,96993.0,529870,17121237.64674622
2017-11-22,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,380.6520080566406,800819008,1.4254956850878626e-08,95886170.31198,360.42,61.19,14890,34847857502.405045,16212.013976921828,103924445766513.56,0.000663483203982151,1459249902251095.8,260556,102601.0,543224,17030213.903094124
2017-11-23,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,410.1659851074219,1845680000,1.3518509072764345e-08,95906574.53073,364.29,64.28,21290,39589635721.2138,16009.778115988463,109199658354380.2,0.000681187089439347,1511000624340524.0,263708,95269.0,534787,16861831.95009087
2017-11-24,412.5010070800781,480.9729919433594,402.7579956054688,474.9110107421875,474.9110107421875,2292829952,1.2804266748473832e-08,95926973.49948,334.09,62.68,20417,39543119594.505486,15179.914032258064,110416258790048.12,0.0006349722226973727,1538827527931703.2,262706,115050.0,526149,16403109.9743723
2017-11-25,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,466.2760009765625,1422080000,1.0216659681429711e-08,95947502.49948,290.01,67.51,15115,45569312927.85049,16639.030027152214,112746082445988.88,0.0004981705745941767,1555553737184922.2,254171,143052.0,582150,15424277.32512082
2017-11-26,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,471.3299865722656,1197779968,1.2323537715712516e-08,95967873.24948,327.35,63.75999999999999,21593,44153914097.16278,15185.265839110109,111305240740439.12,0.0006391357658304958,1550538356054775.5,253886,91857.0,512176,15388348.66841722
2017-11-27,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,480.3550109863281,1396480000,1.294181854435433e-08,95988082.18698,379.1,71.61,15751,46134728975.41965,18754.704433497536,109827617120570.84,0.0006356237697469242,1557391324135091.0,285118,102164.0,596422,18651621.68320798
2017-11-28,480.51800537109375,482.4800109863281,466.3469848632813,472.9020080566406,472.9020080566406,1346499968,1.31250098256e-08,96008426.78073,406.15,75.63,14708,46095688455.28391,22072.59996717006,106633987453635.31,0.0006416829266365956,1511573098788668.8,312047,113474.0,632945,22545553.765813254
2017-11-29,473.281005859375,522.3070068359375,425.0710144042969,427.5230102539063,427.5230102539063,2675940096,1.4918052984731105e-08,96028928.87448,441.91,71.78999999999999,23802,47671892487.11046,18236.6234738727,107191135724187.34,0.000683854194876239,1507394979795707.0,334029,136728.0,646205,29228578.199764084
2017-11-30,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,447.114013671875,1903040000,1.5272227303949097e-08,96049116.06198,436.22,70.07,7878,39256042877.60332,18251.38319604613,108500821274695.05,0.0006699409643513144,1544129911734501.0,316070,112790.0,651132,28702166.50607905
2017-12-01,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,466.5400085449219,1247879936,1.3735149902309004e-08,96069643.93698,431.99,75.87,20925,43900048172.24516,18081.865153970823,109553242819756.69,0.0006739145356746166,1533851951503975.2,325010,124891.0,641016,20418603.912791666
2017-12-02,466.85101318359375,476.239013671875,456.6530151367188,463.4490051269531,463.4490051269531,943649984,1.1575384845857642e-08,96090035.40573,354.42,74.66000000000001,12622,45094146320.34218,17962.988038669508,110914175876927.62,0.0005666703440601302,1570029966493854.8,303145,112814.0,625443,22445696.689461254
2017-12-03,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,465.8529968261719,990556992,1.0548003976612008e-08,96110076.15573,330.05,77.61,8676,44419268513.87356,18279.761166666667,105758141531551.7,0.0005139940946353375,1523082953428639.5,294287,100872.0,642128,22977472.399899557
2017-12-04,466.0539855957031,474.7770080566406,453.31201171875,470.2040100097656,470.2040100097656,1005550016,1.7525272109632242e-08,96130569.15573,611.71,89.02,10105,44847316121.92413,20139.2436139208,103757280796374.62,0.0008586343487427396,1537038154513372.8,329589,122546.0,712422,25424221.001139957
2017-12-05,470.29400634765625,473.5580139160156,457.6600036621094,463.281005859375,463.281005859375,1216720000,3.3307935883354175e-08,96151086.62448,1161.59,94.25,13154,45069102356.49757,20044.374704706523,95097937274585.88,0.0016276723496498,1492944280267108.2,326766,136151.0,713651,11970137.125695186
2017-12-06,462.60400390625,462.7080078125,420.2099914550781,428.5880126953125,428.5880126953125,1998259968,3.87284719422699e-08,96171719.31198,1317.94,91.81,8058,43870554702.35615,20883.53190717912,94034563669140.84,0.0017263584229954,1473043340798624.8,383021,172379.0,763422,10956453.272531988
2017-12-07,426.3689880371094,441.3970031738281,414.4110107421875,434.4079895019531,434.4079895019531,2129570048,5.7177310167731816e-08,96192524.68698,2070.45,94.45,35838,40942492270.433815,18677.359375,96373663526702.44,0.0029740238846961,1461579797214708.2,383362,180354.0,696178,14006447.84020913
2017-12-08,434.989013671875,466.06201171875,422.3670043945313,456.031005859375,456.031005859375,2336379904,6.115042798441264e-08,96213089.96823,2296.42,95.88,16529,43637116926.87376,20155.64219394773,103729003657730.44,0.0031608228748867,1541058014616507.5,378105,141058.0,726526,10515375.282383136
2017-12-09,457.343994140625,504.1470031738281,456.25299072265625,473.50201416015625,473.50201416015625,2003849984,5.894515685203423e-08,96233593.37448,2244.52,96.94,10818,45389727896.02735,20291.08830097921,104102869652368.88,0.0030468666218701,1545194243606449.8,393392,124105.0,736665,6876278.773430763
2017-12-10,472.78900146484375,472.78900146484375,429.5140075683594,441.7210083007813,441.7210083007813,1404179968,4.8918201933030425e-08,96254039.31198,1967.57,95.77,12214,43520182309.66124,20695.3708059495,104262164160736.08,0.002745694262645,1557998843312462.8,367599,114982.0,716602,7053218.335503466
2017-12-11,440.3580017089844,516.968994140625,439.10400390625,515.135986328125,515.135986328125,1771440000,4.000647667196604e-08,96274693.18698,1705.82,94.76,11763,45630273432.293465,22961.236485326925,105447068664881.31,0.0021158244647862,1563479940349887.2,404559,124102.0,806220,6524235.496309955
2017-12-12,522.2860107421875,657.3179931640625,504.4939880371094,651.4310302734375,651.4310302734375,5179829760,3.5411970945783016e-08,96294941.96823,1496.98,93.8,7778,51552776099.889946,24319.96486013986,103212188717429.8,0.0018176497729425,1558650232309988.5,425431,135742.0,823580,11557468.992395887
2017-12-13,644.906005859375,747.9929809570312,597.7979736328125,702.7670288085938,702.7670288085938,4524539904,3.347654770057944e-08,96315478.37448,1388.39,91.42,11722,59588606420.59296,26240.90835389496,105434076466063.36,0.0015240235213275,1605170159742810.0,487820,187657.0,911003,11919317.757793607
2017-12-14,700.593994140625,753.1209716796875,664.989013671875,695.8159790039062,695.8159790039062,3821580032,3.7536384403152745e-08,96336371.21823,1632.72,95.9,28240,66703882014.260895,25852.44385686585,106469936928355.36,0.001775262964469,1621545398722845.0,508544,217981.0,919706,12762402.760224553
2017-12-15,696.3759765625,697.1320190429688,621.0609741210938,684.447998046875,684.447998046875,2758710016,3.95557257274701e-08,96357115.74948,1715.49,94.38,30274,67072339233.15821,26333.1889681573,112087134990986.88,0.001849750435888,1685052365957436.5,507913,234393.0,927417,11025755.58779784
2017-12-16,686.1920166015625,718.385009765625,680.7860107421875,696.208984375,696.208984375,2165690112,3.309567874292397e-08,96377667.71823,1367.79,89.35,12591,67392066504.25759,26346.606568712188,116643952505672.62,0.0015238047492521,1741935457396695.0,445101,172386.0,897615,9264257.428760117
2017-12-17,696.2369995117188,735.8250122070312,696.2369995117188,719.9749755859375,719.9749755859375,2147389952,3.0702360165100686e-08,96397934.31198,1313.74,93.04,50388,69034365137.09781,26023.08327538248,117302957578834.4,0.0014848361892512,1762257160301883.8,478437,220553.0,884771,8524519.598615602
2017-12-18,721.7319946289062,803.927978515625,689.2310180664062,794.64501953125,794.64501953125,3249230080,2.591758465135449e-08,96418787.68698,1108.17,90.62,48439,70596642879.40207,26490.81833587528,120348602982170.2,0.0011955542561351,1761536382429534.2,526755,222245.0,926909,8757426.511095282
2017-12-19,793.9010009765625,881.9439697265625,785.3419799804688,826.822998046875,826.822998046875,4096549888,3.2425587422439576e-08,96439107.62448,1402.32,97.1,20570,79111011879.66516,31323.84308797128,113107028849804.4,0.0012861439070225,1754225228194524.2,552220,224213.0,1090329,11085356.06546984
2017-12-20,827.5159912109375,845.06201171875,756.0040283203125,819.0859985351562,819.0859985351562,3969939968,3.97458084923493e-08,96459680.78073,1669.98,94.41,22626,77742410944.59167,28212.40664869721,110730585670530.42,0.0016709424628586,1719010747387384.2,542872,243439.0,999424,13022285.20405513
2017-12-21,820.2360229492188,880.5430297851562,792.6890258789062,821.06298828125,821.06298828125,3569060096,4.0923183724365355e-08,96480384.99948,1747.6,95.14,16086,76733204490.93394,30335.86958845537,113253579190939.8,0.0016587223395995,1742999222152792.2,585562,269935.0,1053582,13919694.086121237
2017-12-22,822.6430053710938,827.6829833984375,543.7620239257812,674.8599853515625,674.8599853515625,4977710080,3.9855041245881725e-08,96500832.62448,1701.07,95.42,31297,63295098732.50962,29048.675366464067,111935174950090.72,0.0015331253199512,1728680971122660.0,632538,286117.0,1109544,14502018.315915314
2017-12-23,681.3159790039062,763.89501953125,679.7310180664062,719.3870239257812,719.3870239257812,2480339968,3.2376494069350495e-08,96521592.53073,1333.36,88.01,30247,71093755439.70378,27232.16230992653,118596867564174.77,0.0013873154733911,1750621089188063.0,541215,223879.0,961108,11476214.15487262
2017-12-24,721.7689819335938,721.7689819335938,614.9219970703125,694.1480102539062,694.1480102539062,2300549888,2.7643718102539256e-08,96542075.87448,1149.75,88.02,56360,63109385296.52118,23163.808121827413,124915179365829.64,0.0013554983895535,1826247661234499.5,482598,229797.0,848212,9337834.102244228
2017-12-25,698.8699951171875,782.52099609375,698.8699951171875,765.833984375,765.833984375,2491760128,2.1200628346625032e-08,96562576.28073,791.86,77.08,65598,73173286182.44456,20554.90183138096,129217837399331.95,0.0010579899713677,1841375506015959.0,440733,206300.0,748457,7271620.790214878
2017-12-26,763.3699951171875,786.7899780273438,760.9349975585938,773.8359985351562,773.8359985351562,2201159936,1.942248694574065e-08,96583072.56198,714.39,76.16000000000001,66034,74676547353.4848,21570.67748344371,130115882486202.2,0.0009661256251369284,1861266869424253.0,450470,197316.0,739438,6093596.212650543
2017-12-27,774.969970703125,789.2529907226562,738.4130249023438,762.8419799804688,762.8419799804688,2100029952,1.9248483753225497e-08,96603500.12448,804.72,87.68,49777,75463459730.58868,24585.63374140533,128904972435155.4,0.0008871397152448201,1867370791559795.5,493734,268238.0,907095,11175367.150987333
2017-12-28,762.2080078125,763.3189697265625,701.18701171875,737.0230102539062,737.0230102539062,2389149952,2.0472140413727573e-08,96624100.18698,840.85,86.33999999999999,40069,71448243855.7278,25487.68314002353,131009919961470.6,0.0008912039122458,1902595307039648.5,520523,247564.0,943499,12856177.81537562
2017-12-29,740.3889770507812,770.1170043945312,729.6079711914062,753.5919799804688,753.5919799804688,2648969984,2.173577308908645e-08,96644448.34323,925.62,91.9,39978,72944703782.65144,27987.930457290768,126335544130233.56,0.0009076289783903466,1883607579432922.8,562572,263546.0,1019822,13124307.005644524
2017-12-30,753.8150024414062,753.8150024414062,685.2310180664062,717.2570190429688,717.2570190429688,3187780096,2.4187771810444553e-08,96664954.37448,1023.75,92.29,25726,68549335258.52757,30442.75448997385,124058720373007.4,0.0008753202026040295,1868972532386095.2,652216,311717.0,1169572,18345420.464175638
2017-12-31,712.2119750976562,760.3480224609375,710.1190185546875,756.7329711914062,756.7329711914062,2554269952,2.16909605150485e-08,96685434.06198,882.84,86.3,46630,69924246668.9083,25503.737029501524,130135933223506.94,0.0009161265417686212,1906313773044972.0,537049,259185.0,963666,12360507.863968404
2018-01-01,755.7570190429688,782.530029296875,742.0040283203125,772.6409912109375,772.6409912109375,2595760128,1.9807197472149413e-08,96706058.87448,788.13,83.85000000000001,68558,74459964485.31429,24046.99966301601,132800878567049.22,0.0008551562952667094,1933311340878274.5,542552,228600.0,921621,7122700.480175779
2018-01-02,772.3460083007812,914.8300170898438,772.3460083007812,884.4439697265625,884.4439697265625,5783349760,2.235263215582225e-08,96726555.43698,937.72,90.42,37939,85733036907.64885,28142.372630127546,129063131743330.6,0.0008789078792593599,1921774727413448.0,605061,262615.0,1066915,12362448.862670569
2018-01-03,886.0,974.4710083007812,868.4509887695312,962.719970703125,962.719970703125,5093159936,2.7900744913508094e-08,96747099.06198,1193.53,94.53,18744,85355736359.67975,32140.493196677857,125962456090659.14,0.0009704545288230352,1923276172087671.2,671218,326698.0,1229867,15966635.09317318
2018-01-04,961.7130126953124,1045.0799560546875,946.0859985351562,980.9219970703124,980.9219970703124,6502859776,3.3064491973477223e-08,96767999.68698,1350.78,93.78,10612,92337308139.20528,32739.72241600881,118677253247922.92,0.0010489662000815,1881686033915699.0,701407,349897.0,1287725,17167092.23424169
2018-01-05,975.75,1075.3900146484375,956.3250122070312,997.719970703125,997.719970703125,6683149824,5.415873960120445e-08,96788973.24948,2211.02,95.37,7647,101172927710.453,34265.51195814649,119155104961608.16,0.0016754873343093,1923806043366319.5,743440,378697.0,1319628,20848570.083851032
2018-01-06,995.1539916992188,1060.7099609375,994.6220092773438,1041.6800537109375,1041.6800537109375,4662219776,9.938285854035527e-08,96809890.84323,4074.44,95.46,7568,97059201129.36684,33532.890130353815,118872547742626.23,0.0031873471134311,1912344676135939.0,738240,352426.0,1278317,19195040.73895186
2018-01-07,1043.010009765625,1153.1700439453125,1043.010009765625,1153.1700439453125,1153.1700439453125,5569880064,7.203941924687078e-08,96830878.56198,2975.03,94.48,11928,105626944980.28944,31023.46276303751,121737515421242.98,0.0026363838571634,1924049845671248.5,621637,271240.0,1128451,11832255.936419114
2018-01-08,1158.260009765625,1266.9300537109375,1016.0499877929688,1148.530029296875,1148.530029296875,8450970112,6.858742675697893e-08,96851612.78073,2897.08,96.63,12533,105433337202.47652,32160.778774016468,126717670692175.92,0.0024150524386187,2003085405019146.8,680434,290603.0,1199593,14259125.396553466
2018-01-09,1146.0,1320.97998046875,1145.489990234375,1299.739990234375,1299.739990234375,7965459968,7.222055432997556e-08,96872463.62448,2979.7,95.33,13135,117133377232.83044,32708.477176122717,125696190024697.31,0.00238043310669,2006980146122621.0,731092,300326.0,1251747,16826166.1016155
2018-01-10,1300.3399658203125,1417.3800048828125,1226.5999755859375,1255.8199462890625,1255.8199462890625,9214950400,8.60973103583429e-08,96893527.65573,3535.7,95.1,21177,132244951437.88931,31683.128357103167,124300756892631.95,0.0029011252660547,1988650919971209.2,718630,325432.0,1218734,17345422.71942765
2018-01-11,1268.0899658203125,1337.300048828125,1135.1700439453125,1154.9300537109375,1154.9300537109375,7235899904,8.434778830743297e-08,96914423.68698,3424.53,94.0,16147,119069011253.7986,31329.866851851853,129352778972013.3,0.0029156573985701,2069764256827792.8,687648,321926.0,1174531,17714858.947825458
2018-01-12,1158.2900390625,1296.0400390625,1120.0899658203125,1273.199951171875,1273.199951171875,5222300160,6.51998170166216e-08,96935169.71823,2691.17,95.62,20296,120931179892.44864,30703.586066333148,130487695943390.31,0.0023913051204995,2088939703239044.8,656653,299502.0,1125398,14373213.694767931
2018-01-13,1270.469970703125,1432.8800048828125,1270.469970703125,1396.4200439453125,1396.4200439453125,5746760192,5.0702272337763295e-08,96956284.09323,2115.99,94.94,20415,125628134407.19284,30478.843522561863,136138905203758.48,0.001855055971932,2140143229884671.5,641566,276371.0,1140661,10590708.279129175
2018-01-14,1397.47998046875,1400.56005859375,1286.2099609375,1366.77001953125,1366.77001953125,4841630208,6.190938111774443e-08,96977167.18698,2595.56,95.32,28770,135009476576.96588,30611.44171667576,135464105700618.34,0.0022587980565474,2128151448851438.5,673078,246843.0,1149089,18902301.84920522
2018-01-15,1365.2099609375,1390.5899658203125,1290.5999755859375,1291.9200439453125,1291.9200439453125,4781100032,4.939547324735037e-08,96997663.74948,2089.41,96.62,24023,130563840271.93642,30358.47706924904,140434503892539.02,0.0018615356927759,2215975372551404.0,664199,252326.0,1122412,17414153.050011486
2018-01-16,1292.6300048828125,1292.6300048828125,875.5449829101562,1053.68994140625,1053.68994140625,8405139968,5.366853733071031e-08,97018540.46823,2279.24,96.06,11967,120570122773.3536,32502.20680296725,139863272486271.95,0.0017954448240468,2186483601799504.5,772174,277903.0,1269457,13858405.155081712
2018-01-17,1061.3399658203125,1090.22998046875,780.9219970703125,1014.25,1014.25,8545160192,4.932276925003507e-08,97039367.68698,2076.75,94.71,11142,92614096517.20256,32158.19071608492,142862795446844.7,0.0016560133198731,2220581960899984.0,723937,291229.0,1254066,16008184.341373064
2018-01-18,1016.4400024414062,1100.31005859375,967.7589721679688,1036.280029296875,1036.280029296875,5938319872,5.1271625931500675e-08,97059989.96823,2147.17,94.36,7339,99512839988.63509,32539.219178082192,146801502248750.34,0.0016978816511244,2286340108305713.0,736572,286486.0,1264617,16731120.508932952
2018-01-19,1028.8199462890625,1093.219970703125,1003.7100219726562,1039.0999755859375,1039.0999755859375,4084450048,4.8152681837665744e-08,97080554.49948,1987.31,91.59,9247,103092746603.20609,30347.55174862418,147723978552545.7,0.0017750796964167,2265066031939566.0,636456,225099.0,1119561,11320667.31842895
2018-01-20,1044.949951171875,1167.1099853515625,1044.949951171875,1155.1500244140625,1155.1500244140625,3975190016,4.483017792322318e-08,97101464.40573,1868.09,89.02,11120,104439393149.19984,27619.13021189337,156493594482733.25,0.0018556552541419,2310413549582543.5,498996,190117.0,1006701,7779681.041238476
2018-01-21,1155.6800537109375,1155.6800537109375,1021.5,1049.5799560546875,1049.5799560546875,3378089984,3.4553974073354024e-08,97121736.90573,1425.47,88.5,24402,110200769812.84103,26432.08544955388,162589168486100.78,0.0015006637589707,2409400154243144.5,546033,225340.0,949893,8021088.077634953
2018-01-22,1055.3499755859375,1089.0999755859375,930.7410278320312,1003.260009765625,1003.260009765625,3810099968,2.7744740697810952e-08,97142258.49948,1173.99,90.26,44619,93322060920.35596,26000.78467838253,161459220599985.7,0.0012020531324297,2380063207144704.0,606208,231407.0,976654,8209756.522930917
2018-01-23,1004.1699829101562,1023.22998046875,920.5399780273438,986.22900390625,986.22900390625,3556699904,3.4398181080020535e-08,97162616.40573,1461.78,91.43,53902,98521416382.25674,25879.916881775946,161231071146772.7,0.0015013757835392,2397292348219664.5,566229,249937.0,973627,10073238.627490196
2018-01-24,987.4769897460938,1062.43994140625,965.8079833984376,1058.780029296875,1058.780029296875,3944039936,3.1746207534294965e-08,97183120.37448,1325.51,87.45,67775,100279539250.8591,25079.0070363545,168295678397569.03,0.0014230760972258,2435549790858117.0,532475,259481.0,931440,9439824.482007112
2018-01-25,1063.219970703125,1104.6600341796875,1034.739990234375,1056.030029296875,1056.030029296875,4050190080,2.8835401854635864e-08,97203787.93698,1171.2,85.13,70847,100580883894.52956,24759.4462699078,173441119004108.94,0.0013388830523607,2512540636921193.0,499506,224524.0,874759,6548957.1236366695
2018-01-26,1052.699951171875,1080.5999755859375,996.7839965820312,1055.1700439453125,1055.1700439453125,3617690112,2.41566328056964e-08,97224166.56198,932.58,81.47999999999999,15985,102179881242.56648,24325.866137744768,170264609778633.38,0.0011006452237275,2482821939318008.5,430033,212270.0,847303,7569486.774586451
2018-01-27,1055.75,1121.97998046875,1042.1199951171875,1107.0699462890625,1107.0699462890625,3002870016,2.2333801449518184e-08,97244540.68698,836.95,78.52,17775,106500542447.64728,23192.512317747613,171544978263621.25,0.0009625979044705396,2483894225159725.0,478593,191915.0,869470,7785880.131305987
2018-01-28,1111.780029296875,1257.77001953125,1111.780029296875,1246.010009765625,1246.010009765625,5372329984,2.2370763233784825e-08,97265061.99948,870.24,80.78,26460,109879860864.5422,23768.31107789404,172745812381244.78,0.0009965941911146638,2478902407670862.5,453509,164701.0,873214,7092972.758342395
2018-01-29,1246.699951171875,1256.699951171875,1169.0799560546875,1182.3599853515625,1182.3599853515625,3715079936,3.023301313838394e-08,97285512.53073,1211.41,84.64,26895,116793561673.62633,25105.89356310188,176257567373458.2,0.0012979800793739,2572443158023036.5,494742,177299.0,933304,8448950.292088054
2018-01-30,1184.1300048828125,1184.6300048828125,1058.969970703125,1071.1300048828125,1071.1300048828125,4107859968,2.642577380481604e-08,97305812.40573,1068.76,86.09,28447,111499276269.13193,24944.981954375213,178505918294750.97,0.0012128185924059,2625796830819314.0,469955,176994.0,881220,7810070.276639139
2018-01-31,1071.0899658203125,1128.6600341796875,1034.5,1118.31005859375,1118.31005859375,3757560064,2.4709337300871262e-08,97326427.65573,998.37,85.38,30175,107323343987.68208,25061.56903836404,177935075485850.3,0.0010973353865025,2598074671322386.0,509115,191404.0,909813,9651989.57000696
2018-02-01,1119.3699951171875,1161.3499755859375,984.8189697265624,1036.7900390625,1036.7900390625,5261680128,3.091515514821044e-08,97346902.09323,1307.52,90.89,11580,110829994658.3874,25454.026469577173,178478370342443.88,0.0013976502731656,2650175217178716.0,489931,180151.0,935513,8057092.412224689
2018-02-02,1035.77001953125,1035.77001953125,757.97998046875,915.7849731445312,915.7849731445312,6713290240,3.640442852125774e-08,97367549.21823,1500.83,89.29,11294,92923609645.87823,27759.192620821064,179628802811874.6,0.001420644559148,2688612467312245.0,562573,200988.0,1056443,11956690.01879877
2018-02-03,919.2109985351562,991.9429931640624,847.6900024414062,964.0189819335938,964.0189819335938,3243480064,2.4617038722487592e-08,97388079.43698,995.48,83.98,35709,93016963142.49226,22888.96711509716,191566066925028.0,0.0011799847802019,2748304806652320.0,466637,179600.0,843638,7838645.7229734
2018-02-04,964.6669921875,969.031982421875,805.0640258789062,834.6820068359375,834.6820068359375,2997090048,2.1938642676949913e-08,97408470.24948,854.93,81.65,35054,84181946967.6096,22584.668230563,191113596535442.1,0.001071248225404,2767127582751140.5,444368,180745.0,798069,5415960.327901302
2018-02-05,834.9580078125,856.64599609375,644.5989990234375,697.9509887695312,697.9509887695312,4269530112,2.031747391744683e-08,97428775.84323,805.84,83.07,35515,81458062281.00055,23215.480067001678,191981503498991.2,0.0009796410592435817,2778215830246165.0,453652,164222.0,822587,6162027.546280371
2018-02-06,707.7369995117188,796.4390258789062,574.4190063476562,793.1220092773438,793.1220092773438,6518269952,2.415327698604241e-08,97449222.06198,947.53,82.86,21526,72379000051.38026,25442.127195945945,190754159979864.0,0.0010350734032245,2783418700648909.0,489992,181115.0,915423,9839693.908247134
2018-02-07,790.427978515625,851.2000122070312,723.4329833984375,757.0679931640625,757.0679931640625,3896179968,2.197271323493034e-08,97469695.84323,868.59,82.92,22164,79193277154.19496,23661.315551082032,194784015151747.1,0.0010366161480542,2822799489376963.0,437363,178669.0,837909,8265830.484282616
2018-02-08,755.843017578125,845.0859985351562,755.843017578125,817.8070068359375,817.8070068359375,3708189952,1.985825441047277e-08,97490073.53073,757.05,80.36999999999999,27272,78615093226.35458,21399.895295902883,194865886267962.9,0.0010138555572221,2838469734241838.0,416884,131618.0,746704,4817119.420375577
2018-02-09,818.47998046875,884.0040283203125,788.833984375,883.864990234375,883.864990234375,2495820032,1.6477406300725048e-08,97510544.78073,623.84,78.5,28512,78645813404.9829,20315.91610014923,199700591598622.28,0.0008746479129950775,2860321839998310.0,373497,128468.0,713247,4398131.54548043
2018-02-10,882.4669799804688,917.4000244140624,825.5770263671875,860.4149780273438,860.4149780273438,2930530048,1.9593782656595923e-08,97530823.65573,777.92,84.16,23441,82641621915.79099,23226.73232751314,191530421707216.47,0.0008982401688588059,2804566520909129.0,444490,151400.0,866049,6358270.483454178
