Time,ETH total supply,Price
2015-12-04,7.540507456198E7,0.81392032
2015-12-05,7.543174659323E7,0.8587696
2015-12-06,7.545789081198E7,0.86979187
2015-12-07,7.548445128073E7,0.79386562
2015-12-08,7.551108628073E7,0.78596514
2015-12-09,7.553875721823E7,0.7860868
2015-12-10,7.556640487448E7,0.8399682
2015-12-11,7.559397190573E7,0.83151817
2015-12-12,7.562061784323E7,0.99525732
2015-12-13,7.564904987448E7,0.97319835
2015-12-14,7.567537253073E7,0.96965766
2015-12-15,7.570258643698E7,1.01842892
2015-12-16,7.572919956198E7,0.98498374
2015-12-17,7.575578909323E7,0.9809624
2015-12-18,7.578244096823E7,0.91734028
2015-12-19,7.580938096823E7,0.90443665
2015-12-20,7.583538018698E7,0.92230278
2015-12-21,7.586199565573E7,0.89747751
2015-12-22,7.588943393698E7,0.89644194
2015-12-23,7.591670346823E7,0.85935557
2015-12-24,7.594373518698E7,0.87774491
2015-12-25,7.597043268698E7,0.8661043
2015-12-26,7.599681596823E7,0.86289287
2015-12-27,7.602396065573E7,0.8465516
2015-12-28,7.605077518698E7,0.87239414
2015-12-29,7.607761799948E7,0.84508348
2015-12-30,7.610406378073E7,0.88109893
2015-12-31,7.613124315573E7,0.95315617
2016-01-01,7.615757409323E7,0.94212908
2016-01-02,7.618438034323E7,0.95676959
2016-01-03,7.621188284323E7,0.94983006
2016-01-04,7.623958690573E7,0.94864452
2016-01-05,7.626721378073E7,0.97059739
2016-01-06,7.629499424948E7,0.94355929
2016-01-07,7.632175534323E7,0.95830619
2016-01-08,7.634999362448E7,0.96605694
2016-01-09,7.637745674948E7,0.97822481
2016-01-10,7.640482628073E7,0.9913255
2016-01-11,7.643226721823E7,1.06275415
2016-01-12,7.645828206198E7,1.14950073
2016-01-13,7.648441096823E7,1.13267255
2016-01-14,7.651140862448E7,1.14019752
2016-01-15,7.653847690573E7,1.29996228
2016-01-16,7.656503596823E7,1.25592315
2016-01-17,7.659145331198E7,1.23351443
2016-01-18,7.661833456198E7,1.52444291
2016-01-19,7.664420549948E7,1.38271248
2016-01-20,7.667054674948E7,1.59637213
2016-01-21,7.669695331198E7,1.53912294
2016-01-22,7.672319721823E7,1.53445899
2016-01-23,7.674912768698E7,1.52795529
2016-01-24,7.677568315573E7,2.04427361
2016-01-25,7.680147190573E7,2.53277397
2016-01-26,7.682894659323E7,2.6500597
2016-01-27,7.685480034323E7,2.36073828
2016-01-28,7.688114003073E7,2.41116261
2016-01-29,7.690782534323E7,2.57491207
2016-01-30,7.693386003073E7,2.56336069
2016-01-31,7.695936315573E7,2.47952342
2016-02-01,7.698597018698E7,2.21671295
2016-02-02,7.701199690573E7,2.16603947
2016-02-03,7.703894174948E7,2.50334001
2016-02-04,7.706515096823E7,2.52249646
2016-02-05,7.709190096823E7,2.55200076
2016-02-06,7.711799909323E7,2.53738356
2016-02-07,7.714485456198E7,2.76247025
2016-02-08,7.717189815573E7,3.02670121
2016-02-09,7.719797581198E7,3.6983912
2016-02-10,7.722433034323E7,4.14425755
2016-02-11,7.725106362448E7,4.64397573
2016-02-12,7.727705971823E7,6.36936092
2016-02-13,7.730402378073E7,4.41588974
2016-02-14,7.733039971823E7,4.95998287
2016-02-15,7.735720190573E7,5.71886015
2016-02-16,7.738322893698E7,5.26333189
2016-02-17,7.740939784323E7,3.9274509
2016-02-18,7.743482659323E7,3.6640377
2016-02-19,7.746186362448E7,4.38084459
2016-02-20,7.748847487448E7,4.59809685
2016-02-21,7.751512409323E7,4.28471136
2016-02-22,7.754135971823E7,4.90154696
2016-02-23,7.756817424948E7,5.82967377
2016-02-24,7.759409174948E7,6.15653133
2016-02-25,7.762059612448E7,6.50093651
2016-02-26,7.764800518698E7,5.8241024
2016-02-27,7.767393815573E7,6.3977809
2016-02-28,7.770053440573E7,6.52915525
2016-02-29,7.772619190573E7,6.60254622
2016-03-01,7.775209643698E7,6.53641224
2016-03-02,7.777867471823E7,8.38777447
2016-03-03,7.780497909323E7,8.52542782
2016-03-04,7.783095018698E7,9.44318676
2016-03-05,7.785726003073E7,11.92475796
2016-03-06,7.788303424948E7,11.24402618
2016-03-07,7.790916018698E7,9.89782238
2016-03-08,7.793488768698E7,9.91042233
2016-03-09,7.796065393698E7,10.04279709
2016-03-10,7.798676221823E7,11.25952244
2016-03-11,7.801290503073E7,11.04093933
2016-03-12,7.803974549948E7,13.33665657
2016-03-13,7.806659331198E7,14.54772949
2016-03-14,7.809302721823E7,12.99977493
2016-03-15,7.812268831198E7,12.53937244
2016-03-16,7.815417362448E7,13.24864769
2016-03-17,7.818596799948E7,11.13146973
2016-03-18,7.821769924948E7,11.01172447
2016-03-19,7.824950159323E7,11.00950146
2016-03-20,7.828125315573E7,10.12177372
2016-03-21,7.831272846823E7,10.7028656
2016-03-22,7.834437346823E7,11.17704868
2016-03-23,7.837536315573E7,11.58344746
2016-03-24,7.840768893698E7,11.89057636
2016-03-25,7.843953518698E7,10.80713367
2016-03-26,7.847131112448E7,10.97277355
2016-03-27,7.850280878073E7,10.64578438
2016-03-28,7.853414206198E7,11.40559769
2016-03-29,7.856606268698E7,11.86002159
2016-03-30,7.859751706198E7,11.83287334
2016-03-31,7.862939315573E7,11.88503265
2016-04-01,7.866055846823E7,11.82422066
2016-04-02,7.869206628073E7,11.45416546
2016-04-03,7.872367862448E7,11.5846262
2016-04-04,7.875568846823E7,11.15642166
2016-04-05,7.878706784323E7,10.88610268
2016-04-06,7.881849643698E7,10.42926121
2016-04-07,7.884940315573E7,10.21233654
2016-04-08,7.888142143698E7,10.27226067
2016-04-09,7.891271174948E7,9.96868324
2016-04-10,7.894426018698E7,8.50895214
2016-04-11,7.897541299948E7,8.8178339
2016-04-12,7.900675237448E7,7.67186689
2016-04-13,7.903850815573E7,7.12070036
2016-04-14,7.906962643698E7,8.27220345
2016-04-15,7.910109878073E7,8.30276871
2016-04-16,7.913309331198E7,8.35909748
2016-04-17,7.916399081198E7,9.57394218
2016-04-18,7.919598456198E7,9.06841278
2016-04-19,7.922743440573E7,9.13057518
2016-04-20,7.925927221823E7,8.53954411
2016-04-21,7.929086003073E7,8.49539566
2016-04-22,7.932225721823E7,8.16850376
2016-04-23,7.935390221823E7,7.85513306
2016-04-24,7.938539096823E7,8.24351597
2016-04-25,7.941760862448E7,7.78498888
2016-04-26,7.944899893698E7,7.45745134
2016-04-27,7.948079706198E7,7.85904932
2016-04-28,7.951215206198E7,7.28087854
2016-04-29,7.954394549948E7,7.45272541
2016-04-30,7.957589784323E7,9.31284428
2016-05-01,7.960750471823E7,8.75332546
2016-05-02,7.963843190573E7,9.1801405
2016-05-03,7.967043893698E7,9.96475506
2016-05-04,7.970196971823E7,9.64718056
2016-05-05,7.973385674948E7,9.60092926
2016-05-06,7.976576518698E7,9.75081062
2016-05-07,7.979748409323E7,9.30714512
2016-05-08,7.982924581198E7,9.26994324
2016-05-09,7.986082581198E7,9.41054821
2016-05-10,7.989241956198E7,9.40432358
2016-05-11,7.992390128073E7,9.46284485
2016-05-12,7.995598971823E7,10.33878708
2016-05-13,7.998822893698E7,10.39747715
2016-05-14,8.001971706198E7,10.29762363
2016-05-15,8.005174549948E7,10.0948925
2016-05-16,8.008351893698E7,10.16970253
2016-05-17,8.011513081198E7,11.30505466
2016-05-18,8.014749862448E7,13.38962555
2016-05-19,8.017994424948E7,13.85283089
2016-05-20,8.021161643698E7,14.72865677
2016-05-21,8.024402284323E7,13.66317368
2016-05-22,8.027573768698E7,14.05455685
2016-05-23,8.030802206198E7,13.64112186
2016-05-24,8.033987549948E7,13.50997543
2016-05-25,8.037211159323E7,12.23726654
2016-05-26,8.040437440573E7,12.3975172
2016-05-27,8.043648253073E7,10.94718933
2016-05-28,8.046865753073E7,10.60098743
2016-05-29,8.050081924948E7,12.05819702
2016-05-30,8.053296378073E7,12.33735371
2016-05-31,8.056510753073E7,13.99980831
2016-06-01,8.059665549948E7,14.06221104
2016-06-02,8.062864456198E7,13.71955585
2016-06-03,8.066088924948E7,13.43216801
2016-06-04,8.069316799948E7,13.61271477
2016-06-05,8.072500737448E7,13.64867115
2016-06-06,8.075718737448E7,13.85687065
2016-06-07,8.078917268698E7,14.37166882
2016-06-08,8.082105049948E7,14.66327095
2016-06-09,8.085373034323E7,14.4991045
2016-06-10,8.088518690573E7,14.21828842
2016-06-11,8.091728503073E7,13.91207123
2016-06-12,8.094928643698E7,14.43261623
2016-06-13,8.098151862448E7,16.94645119
2016-06-14,8.101347987448E7,18.11354256
2016-06-15,8.104563362448E7,18.37888336
2016-06-16,8.107748643698E7,19.52018738
2016-06-17,8.110982549948E7,16.71063805
2016-06-18,8.114447940573E7,14.45183182
2016-06-19,8.117819159323E7,12.41148281
2016-06-20,8.121061596823E7,11.93075275
2016-06-21,8.124235128073E7,11.63643742
2016-06-22,8.127467378073E7,14.68105698
2016-06-23,8.130680971823E7,12.69409752
2016-06-24,8.133892049948E7,13.91169453
2016-06-25,8.137087034323E7,14.45978928
2016-06-26,8.140298331198E7,14.23734951
2016-06-27,8.143518221823E7,13.82566166
2016-06-28,8.146714253073E7,12.92706299
2016-06-29,8.149887159323E7,12.46104908
2016-06-30,8.153122440573E7,12.48039055
2016-07-01,8.156358690573E7,12.38272381
2016-07-02,8.159554299948E7,12.18954659
2016-07-03,8.162790862448E7,12.11291218
2016-07-04,8.165955081198E7,11.78057957
2016-07-05,8.169195081198E7,11.4712038
2016-07-06,8.172339940573E7,10.69661427
2016-07-07,8.175561128073E7,10.08300591
2016-07-08,8.178774503073E7,10.02820587
2016-07-09,8.181957440573E7,10.93483829
2016-07-10,8.185230409323E7,10.81057549
2016-07-11,8.188437159323E7,10.43312836
2016-07-12,8.191621768698E7,10.4793787
2016-07-13,8.194823065573E7,10.48039627
2016-07-14,8.197995456198E7,10.86622524
2016-07-15,8.201189206198E7,12.07416058
2016-07-16,8.204390284323E7,11.75248337
2016-07-17,8.207596346823E7,11.31585407
2016-07-18,8.210793378073E7,11.30451298
2016-07-19,8.213988034323E7,11.15695477
2016-07-20,8.217190221823E7,11.73404217
2016-07-21,8.220449128073E7,12.3439846
2016-07-22,8.223654096823E7,12.62028027
2016-07-23,8.226883221823E7,14.16064739
2016-07-24,8.230062096823E7,14.23389816
2016-07-25,8.233225674948E7,13.25709438
2016-07-26,8.236404065573E7,13.63521957
2016-07-27,8.239571362448E7,12.86848545
2016-07-28,8.242821143698E7,12.85945034
2016-07-29,8.245997284323E7,12.63159943
2016-07-30,8.249212940573E7,12.69895267
2016-07-31,8.252413440573E7,11.60665894
2016-08-01,8.255616565573E7,11.58598137
2016-08-02,8.258732174948E7,10.71458149
2016-08-03,8.261902096823E7,9.52481365
2016-08-04,8.265154487448E7,10.47972965
2016-08-05,8.268389799948E7,11.03745079
2016-08-06,8.271549174948E7,10.87705135
2016-08-07,8.274806409323E7,10.91378212
2016-08-08,8.277996346823E7,10.94816113
2016-08-09,8.281240237448E7,12.00621319
2016-08-10,8.284488206198E7,12.29963112
2016-08-11,8.287701815573E7,11.8381052
2016-08-12,8.290915909323E7,11.65481853
2016-08-13,8.294107581198E7,11.64356232
2016-08-14,8.297316831198E7,11.57867813
2016-08-15,8.300505534323E7,11.00014877
2016-08-16,8.303729846823E7,11.14498329
2016-08-17,8.306925315573E7,10.9684124
2016-08-18,8.310189893698E7,10.86975956
2016-08-19,8.313414003073E7,10.78667927
