Time,ETH average daily block size,Price
2015-07-30,700.1924731182796,0.0
2015-07-31,611.8524043361438,0.0
2015-08-01,575.5711426491994,0.0
2015-08-02,581.2200743494424,0.0
2015-08-03,584.1004531722054,0.0
2015-08-04,586.7575079276254,0.0
2015-08-05,583.5001876172607,0.0
2015-08-06,579.8138150059548,0.0
2015-08-07,614.2279141697275,3.49087358
2015-08-08,652.3777032065623,2.64024425
2015-08-09,640.1486801242236,0.69646382
2015-08-10,615.1463601532568,0.66556972
2015-08-11,704.0527430221367,0.70228821
2015-08-12,645.3843947217441,1.19412768
2015-08-13,655.9516991218022,1.44813585
2015-08-14,676.0498105035192,1.95217466
2015-08-15,642.3940579967978,1.73802364
2015-08-16,643.3024667188723,1.46309757
2015-08-17,631.4174111385668,1.31342125
2015-08-18,644.5195648024433,1.29511821
2015-08-19,642.1794105933891,1.26502979
2015-08-20,653.9847850055127,1.31215394
2015-08-21,654.1914984972091,1.4865005
2015-08-22,670.0245060790273,1.42915428
2015-08-23,652.2279599450226,1.40486002
2015-08-24,683.8813559322034,1.34696114
2015-08-25,673.1443647949025,1.18612492
2015-08-26,684.6829173166926,1.19119453
2015-08-27,685.2060228452751,1.15213394
2015-08-28,694.3613445378152,1.18332875
2015-08-29,680.923707583694,1.18745327
2015-08-30,683.9818404907976,1.17879224
2015-08-31,722.4382555107845,1.23122013
2015-09-01,739.8389210990673,1.3388381
2015-09-02,743.3394351464435,1.3469727
2015-09-03,760.7449602932193,1.29891336
2015-09-04,762.5262254901961,1.27088296
2015-09-05,760.23753605274,1.31005204
2015-09-06,721.5339766787293,1.3656491
2015-09-07,756.7457905544148,1.25252545
2015-09-08,766.4019871662182,1.23939872
2015-09-09,765.4303797468355,1.24503684
2015-09-10,725.9342131573685,1.19812691
2015-09-11,758.1681051392703,0.98693073
2015-09-12,742.9132510943095,0.99802619
2015-09-13,769.2632101708383,0.985183
2015-09-14,769.1091396740252,0.89336598
2015-09-15,754.9676155115511,0.97980434
2015-09-16,726.8701035112645,0.94147724
2015-09-17,761.2624746450305,0.89967048
2015-09-18,768.2882807603927,0.86027586
2015-09-19,751.7645887273452,0.84628642
2015-09-20,772.2490103675777,0.88392901
2015-09-21,763.1090838509317,0.94609672
2015-09-22,803.9579663730984,0.88314307
2015-09-23,790.0982456140351,0.90080476
2015-09-24,775.2105784469097,0.8330701
2015-09-25,771.7743599920619,0.7689485
2015-09-26,774.6086268302334,0.72844189
2015-09-27,724.3974776240847,0.77423698
2015-09-28,743.3665381319623,0.67991251
2015-09-29,767.0213454075032,0.57203287
2015-09-30,755.6677162048699,0.64813733
2015-10-01,727.8241714625918,0.72640109
2015-10-02,779.9012010848509,0.6599189
2015-10-03,753.4859018926227,0.70160943
2015-10-04,789.6222084367246,0.67040098
2015-10-05,769.4125748502994,0.66451824
2015-10-06,774.908906471901,0.62358665
2015-10-07,796.2373644362594,0.65175253
2015-10-08,803.9035019455252,0.59597468
2015-10-09,783.1558284678881,0.66239917
2015-10-10,778.664945259244,0.64317811
2015-10-11,765.2533281127643,0.63022649
2015-10-12,750.0870340999207,0.65778887
2015-10-13,827.434488097542,0.60851949
2015-10-14,781.5322516025641,0.56445336
2015-10-15,822.7638888888889,0.54174834
2015-10-16,835.6425200082085,0.55452949
2015-10-17,783.8978547530014,0.53965616
2015-10-18,779.4474811339996,0.51858705
2015-10-19,853.2334265175718,0.51569498
2015-10-20,761.985235434956,0.49077821
2015-10-21,776.044091000604,0.47601378
2015-10-22,773.2786038826931,0.4251838
2015-10-23,806.7299610894942,0.56755406
2015-10-24,786.6156208021494,0.54779279
2015-10-25,751.3060906791204,0.65844512
2015-10-26,767.9301909307876,0.65446395
2015-10-27,802.4550992336411,0.82599086
2015-10-28,781.2686090600679,0.83443052
2015-10-29,811.8290412044374,1.15395772
2015-10-30,823.8098159509202,1.30969465
2015-10-31,780.0392268334281,0.96135074
2015-11-01,809.7669883789639,0.95633382
2015-11-02,781.2956232903477,1.04413021
2015-11-03,798.1600723036754,0.9752112
2015-11-04,810.9347784385191,0.98588955
2015-11-05,765.9536595067622,0.96298873
2015-11-06,809.5101049358725,0.86616153
2015-11-07,860.4167171411266,0.90581286
2015-11-08,1155.6763313609467,0.93218809
2015-11-09,826.4685795110123,1.10504436
2015-11-10,824.321046373365,0.9734078
2015-11-11,987.1570149253731,0.85077131
2015-11-12,901.3322871714398,0.77559644
2015-11-13,846.9196393571149,0.89510471
2015-11-14,874.9771494965144,0.89270341
2015-11-15,854.7243044822256,0.89043051
2015-11-16,780.1564544913742,0.90162373
2015-11-17,774.7574208767446,0.91575503
2015-11-18,770.33203125,0.96721065
2015-11-19,843.4582922500493,1.00674951
2015-11-20,842.6352320675105,0.91102046
2015-11-21,835.151503006012,0.92227244
2015-11-22,817.4508359872611,0.96180123
2015-11-23,851.6177279874214,0.96452993
2015-11-24,829.9838452333466,0.94214731
2015-11-25,795.4533657745336,0.88942003
2015-11-26,802.9539355097136,0.8747912
2015-11-27,795.0573899371069,0.87907678
2015-11-28,778.7975812846947,0.88074028
2015-11-29,773.139908712046,0.90759629
2015-11-30,859.2834382376082,0.86545026
2015-12-01,832.0175889328063,0.87134773
2015-12-02,836.7496972143722,0.84483999
2015-12-03,779.2906374501993,0.8063283
2015-12-04,776.4770137524558,0.81392032
2015-12-05,830.5579868708971,0.8587696
2015-12-06,906.2748776508972,0.86979187
2015-12-07,774.731998381877,0.79386562
2015-12-08,784.0348158583216,0.78596514
2015-12-09,775.0335294117647,0.7860868
2015-12-10,773.3623666343356,0.8399682
2015-12-11,879.9992216384511,0.83151817
2015-12-12,892.3244488977956,0.99525732
2015-12-13,852.9317757009346,0.97319835
2015-12-14,1390.3179155726116,0.96965766
2015-12-15,1795.5762016412662,1.01842892
2015-12-16,1533.223602484472,0.98498374
2015-12-17,1128.0534503390506,0.9809624
2015-12-18,1039.642643242164,0.91734028
2015-12-19,1014.6639069584072,0.90443665
2015-12-20,1089.4101674152716,0.92230278
2015-12-21,1173.8916967509026,0.89747751
2015-12-22,1073.3972496610497,0.89644194
2015-12-23,2247.5737286471626,0.85935557
2015-12-24,1521.2201108471893,0.87774491
2015-12-25,1112.7811447811448,0.8661043
2015-12-26,975.4785313001605,0.86289287
2015-12-27,1110.8403213166143,0.8465516
2015-12-28,1675.2662285941856,0.87239414
2015-12-29,1225.7310221159594,0.84508348
2015-12-30,1575.5036348949918,0.88109893
2015-12-31,1169.1274085725522,0.95315617
2016-01-01,894.9014340537266,0.94212908
2016-01-02,944.7762,0.95676959
2016-01-03,951.3087287639133,0.94983006
2016-01-04,960.1981315687037,0.94864452
2016-01-05,987.1480031323414,0.97059739
2016-01-06,1790.907840440165,0.94355929
2016-01-07,1678.98607748184,0.95830619
2016-01-08,1111.0386761593227,0.96605694
2016-01-09,1123.1408671767706,0.97822481
2016-01-10,1165.4493183165382,0.9913255
2016-01-11,981.0252262661274,1.06275415
2016-01-12,1120.5102330293819,1.14950073
2016-01-13,1307.2505058680697,1.13267255
2016-01-14,1182.100667189953,1.14019752
2016-01-15,1041.5993746335744,1.29996228
2016-01-16,949.2190400948055,1.25592315
2016-01-17,959.6590772917915,1.23351443
2016-01-18,892.5022465325259,1.52444291
2016-01-19,1233.6043531326281,1.38271248
2016-01-20,933.5291658371491,1.59637213
2016-01-21,960.3996031746032,1.53912294
2016-01-22,1048.002606255012,1.53445899
2016-01-23,873.3743723639285,1.52795529
2016-01-24,998.8098829132764,2.04427361
2016-01-25,1138.0847423100429,2.53277397
2016-01-26,1268.3324401913876,2.6500597
2016-01-27,1441.129130346645,2.36073828
2016-01-28,1621.1600318471337,2.41116261
2016-01-29,1262.2173656231541,2.57491207
2016-01-30,1232.56276360715,2.56336069
2016-01-31,1153.3367683429515,2.47952342
2016-02-01,1098.7586070439256,2.21671295
2016-02-02,1080.2080225760935,2.16603947
2016-02-03,1062.9515752625437,2.50334001
2016-02-04,1078.3813237352529,2.52249646
2016-02-05,1122.7258953168043,2.55200076
2016-02-06,1683.1519448946515,2.53738356
2016-02-07,1032.019155590305,2.76247025
2016-02-08,1042.3456310679612,3.02670121
2016-02-09,1045.7485450531808,3.6983912
2016-02-10,1064.4681063787243,4.14425755
2016-02-11,1197.361932938856,4.64397573
2016-02-12,1215.3619569630532,6.36936092
2016-02-13,1236.3597501463985,4.41588974
2016-02-14,1163.953218712515,4.95998287
2016-02-15,1112.4018949861825,5.71886015
2016-02-16,1120.944837340877,5.26333189
2016-02-17,1172.0201369311317,3.9274509
2016-02-18,1233.919504643963,3.6640377
2016-02-19,1147.9680580050951,4.38084459
2016-02-20,1087.2338613861386,4.59809685
2016-02-21,1025.8753943217666,4.28471136
2016-02-22,1075.2537402752844,4.90154696
2016-02-23,1109.2426802908233,5.82967377
2016-02-24,1084.109738813525,6.15653133
2016-02-25,1132.3910891089108,6.50093651
2016-02-26,1289.4763636363637,5.8241024
2016-02-27,1128.3016227180528,6.3977809
2016-02-28,1032.9417111242838,6.52915525
2016-02-29,1167.416905444126,6.60254622
2016-03-01,1139.5848484848484,6.53641224
2016-03-02,1225.432427107959,8.38777447
2016-03-03,1230.364196304391,8.52542782
2016-03-04,1236.2903934491712,9.44318676
2016-03-05,1282.852946974177,11.92475796
2016-03-06,1375.0400240144086,11.24402618
2016-03-07,1257.1152468152866,9.89782238
2016-03-08,1269.4039192161567,9.91042233
2016-03-09,1202.567271277656,10.04279709
2016-03-10,1259.2169197396963,11.25952244
2016-03-11,1243.103678929766,11.04093933
2016-03-12,1315.123774029031,13.33665657
2016-03-13,1375.9562830817488,14.54772949
2016-03-14,1448.1595619867032,12.99977493
2016-03-15,1394.9428722095272,12.53937244
2016-03-16,1308.6503566097197,13.24864769
2016-03-17,1450.0112638727844,11.13146973
2016-03-18,1404.5047115225657,11.01172447
2016-03-19,1421.1828420006625,11.00950146
2016-03-20,1489.0051265090128,10.12177372
2016-03-21,1462.1500165947562,10.7028656
2016-03-22,1556.0135874067937,11.17704868
2016-03-23,1377.0217758271438,11.58344746
2016-03-24,1904.6383877783196,11.89057636
2016-03-25,1602.396307286515,10.80713367
2016-03-26,1526.2778053214345,10.97277355
2016-03-27,1439.2294782319707,10.64578438
2016-03-28,1563.4205700950158,11.40559769
2016-03-29,1321.6299393343172,11.86002159
2016-03-30,1566.8684516880094,11.83287334
2016-03-31,1422.3121623833688,11.88503265
2016-04-01,1509.5546034946237,11.82422066
2016-04-02,1261.1202058774697,11.45416546
2016-04-03,1236.9339654025282,11.5846262
2016-04-04,1487.4204993429698,11.15642166
2016-04-05,1402.4782102461743,10.88610268
2016-04-06,1497.1969671721379,10.42926121
2016-04-07,1290.4713128585893,10.21233654
2016-04-08,1634.5019646365422,10.27226067
2016-04-09,1321.490651085142,9.96868324
2016-04-10,1273.5676256613756,8.50895214
2016-04-11,1266.6052278820375,8.8178339
2016-04-12,1497.8581666666666,7.67186689
2016-04-13,1283.7712073793443,7.12070036
2016-04-14,1549.393126571668,8.27220345
2016-04-15,1307.6471369294607,8.30276871
2016-04-16,1391.2628289473685,8.35909748
2016-04-17,1922.1690069362205,9.57394218
2016-04-18,1329.5316040059104,9.06841278
2016-04-19,1223.7801300216702,9.13057518
2016-04-20,1426.2819324950365,8.53954411
2016-04-21,1370.3461474730736,8.49539566
2016-04-22,1469.213892135582,8.16850376
2016-04-23,1256.5534737191178,7.85513306
2016-04-24,1432.5379873375541,8.24351597
2016-04-25,1291.3209735380594,7.78498888
2016-04-26,1430.414544235925,7.45745134
2016-04-27,1327.0334215751159,7.85904932
2016-04-28,1344.5312133891214,7.28087854
2016-04-29,1467.1786304995037,7.45272541
2016-04-30,1423.663595986182,9.31284428
2016-05-01,1815.9466954500167,8.75332546
2016-05-02,1446.5954314720811,9.1801405
2016-05-03,1481.683226758485,9.96475506
2016-05-04,1449.3737508327781,9.64718056
2016-05-05,1476.8385546162772,9.60092926
2016-05-06,1626.6810330646488,9.75081062
2016-05-07,1454.4715,9.30714512
2016-05-08,1484.161397119682,9.26994324
2016-05-09,1440.9269025367157,9.41054821
2016-05-10,1511.225849433711,9.40432358
2016-05-11,1463.1232394366198,9.46284485
2016-05-12,1664.5006587615283,10.33878708
2016-05-13,1665.0702880658437,10.39747715
2016-05-14,1803.4045247340875,10.29762363
2016-05-15,1457.5459646806403,10.0948925
2016-05-16,1555.3297712472868,10.16970253
2016-05-17,1442.9660251046025,11.30505466
2016-05-18,1704.5499257303186,13.38962555
2016-05-19,1589.252826478781,13.85283089
2016-05-20,1683.4172517552659,14.72865677
2016-05-21,1666.0586490939045,13.66317368
2016-05-22,1528.5320534223706,14.05455685
2016-05-23,1502.6889438943895,13.64112186
2016-05-24,1541.6270505523937,13.50997543
2016-05-25,1664.7367808446957,12.23726654
2016-05-26,1746.2376548307184,12.3975172
2016-05-27,1672.6538844621514,10.94718933
2016-05-28,2386.2835895721923,10.60098743
2016-05-29,1803.2147473073737,12.05819702
2016-05-30,1577.7059996676085,12.33735371
2016-05-31,1475.5264462809916,13.99980831
2016-06-01,1639.9691347613425,14.06221104
2016-06-02,1523.0383529802425,13.71955585
2016-06-03,1440.694160343121,13.43216801
2016-06-04,1437.0342885539176,13.61271477
2016-06-05,1382.4638141400635,13.64867115
2016-06-06,1350.6411861614497,13.85687065
2016-06-07,1577.893497013935,14.37166882
2016-06-08,1543.487422955189,14.66327095
2016-06-09,1420.0817354566136,14.4991045
2016-06-10,1539.633484162896,14.21828842
2016-06-11,1384.6636978393535,13.91207123
2016-06-12,1418.5495181123297,14.43261623
2016-06-13,1538.279921195206,16.94645119
2016-06-14,1680.0624479600333,18.11354256
2016-06-15,1574.5852010547133,18.37888336
2016-06-16,1610.2084445927903,19.52018738
2016-06-17,1958.3235844244175,16.71063805
2016-06-18,2047.8659898477158,14.45183182
2016-06-19,1837.962606139778,12.41148281
2016-06-20,1493.20475020475,11.93075275
2016-06-21,1769.9603509363928,11.63643742
