Time,Number of new addresses added per day on ETH,Price
2016-02-02,613.0,2.16603947
2016-02-03,711.0,2.50334001
2016-02-04,605.0,2.52249646
2016-02-05,885.0,2.55200076
2016-02-06,457.0,2.53738356
2016-02-07,491.0,2.76247025
2016-02-08,663.0,3.02670121
2016-02-09,744.0,3.6983912
2016-02-10,1168.0,4.14425755
2016-02-11,1691.0,4.64397573
2016-02-12,2072.0,6.36936092
2016-02-13,1509.0,4.41588974
2016-02-14,1226.0,4.95998287
2016-02-15,965.0,5.71886015
2016-02-16,847.0,5.26333189
2016-02-17,1077.0,3.9274509
2016-02-18,832.0,3.6640377
2016-02-19,1436.0,4.38084459
2016-02-20,678.0,4.59809685
2016-02-21,1684.0,4.28471136
2016-02-22,847.0,4.90154696
2016-02-23,1008.0,5.82967377
2016-02-24,773.0,6.15653133
2016-02-25,976.0,6.50093651
2016-02-26,1475.0,5.8241024
2016-02-27,841.0,6.3977809
2016-02-28,961.0,6.52915525
2016-02-29,2193.0,6.60254622
2016-03-01,1399.0,6.53641224
2016-03-02,2110.0,8.38777447
2016-03-03,2276.0,8.52542782
2016-03-04,2223.0,9.44318676
2016-03-05,2785.0,11.92475796
2016-03-06,3269.0,11.24402618
2016-03-07,1988.0,9.89782238
2016-03-08,2669.0,9.91042233
2016-03-09,2040.0,10.04279709
2016-03-10,2712.0,11.25952244
2016-03-11,1723.0,11.04093933
2016-03-12,1709.0,13.33665657
2016-03-13,1772.0,14.54772949
2016-03-14,2110.0,12.99977493
2016-03-15,2050.0,12.53937244
2016-03-16,1681.0,13.24864769
2016-03-17,1708.0,11.13146973
2016-03-18,1972.0,11.01172447
2016-03-19,1401.0,11.00950146
2016-03-20,1278.0,10.12177372
2016-03-21,1580.0,10.7028656
2016-03-22,3257.0,11.17704868
2016-03-23,1426.0,11.58344746
2016-03-24,2980.0,11.89057636
2016-03-25,1629.0,10.80713367
2016-03-26,1126.0,10.97277355
2016-03-27,2258.0,10.64578438
2016-03-28,2214.0,11.40559769
2016-03-29,1898.0,11.86002159
2016-03-30,2723.0,11.83287334
2016-03-31,2493.0,11.88503265
2016-04-01,2231.0,11.82422066
2016-04-02,1478.0,11.45416546
2016-04-03,1104.0,11.5846262
2016-04-04,1922.0,11.15642166
2016-04-05,1342.0,10.88610268
2016-04-06,1408.0,10.42926121
2016-04-07,1903.0,10.21233654
2016-04-08,1555.0,10.27226067
2016-04-09,1001.0,9.96868324
2016-04-10,1227.0,8.50895214
2016-04-11,1135.0,8.8178339
2016-04-12,1308.0,7.67186689
2016-04-13,1368.0,7.12070036
2016-04-14,1242.0,8.27220345
2016-04-15,1021.0,8.30276871
2016-04-16,837.0,8.35909748
2016-04-17,861.0,9.57394218
2016-04-18,960.0,9.06841278
2016-04-19,910.0,9.13057518
2016-04-20,1006.0,8.53954411
2016-04-21,1055.0,8.49539566
2016-04-22,2143.0,8.16850376
2016-04-23,974.0,7.85513306
2016-04-24,1224.0,8.24351597
2016-04-25,1076.0,7.78498888
2016-04-26,1277.0,7.45745134
2016-04-27,1223.0,7.85904932
2016-04-28,1190.0,7.28087854
2016-04-29,1276.0,7.45272541
2016-04-30,1490.0,9.31284428
2016-05-01,6987.0,8.75332546
2016-05-02,1715.0,9.1801405
2016-05-03,3811.0,9.96475506
2016-05-04,1759.0,9.64718056
