Time,ETH number of daily active addresses,Price
2016-01-21,3526,1.53912294
2016-01-22,3129,1.53445899
2016-01-23,3248,1.52795529
2016-01-24,4143,2.04427361
2016-01-25,3991,2.53277397
2016-01-26,4630,2.6500597
2016-01-27,4263,2.36073828
2016-01-28,4659,2.41116261
2016-01-29,4499,2.57491207
2016-01-30,4601,2.56336069
2016-01-31,4565,2.47952342
2016-02-01,4557,2.21671295
2016-02-02,4324,2.16603947
2016-02-03,4446,2.50334001
2016-02-04,4227,2.52249646
2016-02-05,5066,2.55200076
2016-02-06,3966,2.53738356
2016-02-07,3985,2.76247025
2016-02-08,4761,3.02670121
2016-02-09,4947,3.6983912
2016-02-10,5396,4.14425755
2016-02-11,7363,4.64397573
2016-02-12,7612,6.36936092
2016-02-13,6420,4.41588974
2016-02-14,5811,4.95998287
2016-02-15,5857,5.71886015
2016-02-16,5838,5.26333189
2016-02-17,6233,3.9274509
2016-02-18,5938,3.6640377
2016-02-19,6497,4.38084459
2016-02-20,5591,4.59809685
2016-02-21,6530,4.28471136
2016-02-22,5222,4.90154696
2016-02-23,6472,5.82967377
2016-02-24,6049,6.15653133
2016-02-25,6901,6.50093651
2016-02-26,7027,5.8241024
2016-02-27,6283,6.3977809
2016-02-28,5333,6.52915525
2016-02-29,7916,6.60254622
2016-03-01,7020,6.53641224
2016-03-02,8707,8.38777447
2016-03-03,8317,8.52542782
2016-03-04,9180,9.44318676
2016-03-05,10111,11.92475796
2016-03-06,10678,11.24402618
2016-03-07,9425,9.89782238
2016-03-08,10501,9.91042233
2016-03-09,7993,10.04279709
2016-03-10,10350,11.25952244
2016-03-11,9288,11.04093933
2016-03-12,10466,13.33665657
2016-03-13,10036,14.54772949
2016-03-14,9580,12.99977493
2016-03-15,11172,12.53937244
2016-03-16,8991,13.24864769
2016-03-17,10423,11.13146973
2016-03-18,11305,11.01172447
2016-03-19,10290,11.00950146
2016-03-20,9739,10.12177372
2016-03-21,9163,10.7028656
2016-03-22,10747,11.17704868
2016-03-23,8358,11.58344746
2016-03-24,10735,11.89057636
2016-03-25,8582,10.80713367
2016-03-26,10164,10.97277355
2016-03-27,10629,10.64578438
2016-03-28,11000,11.40559769
2016-03-29,12057,11.86002159
2016-03-30,11655,11.83287334
2016-03-31,12830,11.88503265
2016-04-01,11551,11.82422066
2016-04-02,11306,11.45416546
2016-04-03,10995,11.5846262
