Time,ETH daily new contracts,Price
2016-02-01,103,2.21671295
2016-02-02,74,2.16603947
2016-02-03,62,2.50334001
2016-02-04,86,2.52249646
2016-02-05,134,2.55200076
2016-02-06,90,2.53738356
2016-02-07,48,2.76247025
2016-02-08,105,3.02670121
2016-02-09,86,3.6983912
2016-02-10,75,4.14425755
2016-02-11,68,4.64397573
2016-02-12,367,6.36936092
2016-02-13,97,4.41588974
2016-02-14,83,4.95998287
2016-02-15,68,5.71886015
2016-02-16,77,5.26333189
2016-02-17,122,3.9274509
2016-02-18,81,3.6640377
2016-02-19,639,4.38084459
2016-02-20,75,4.59809685
2016-02-21,61,4.28471136
2016-02-22,180,4.90154696
2016-02-23,136,5.82967377
2016-02-24,89,6.15653133
2016-02-25,77,6.50093651
2016-02-26,719,5.8241024
2016-02-27,93,6.3977809
2016-02-28,74,6.52915525
2016-02-29,189,6.60254622
2016-03-01,147,6.53641224
2016-03-02,84,8.38777447
2016-03-03,110,8.52542782
2016-03-04,122,9.44318676
2016-03-05,142,11.92475796
2016-03-06,138,11.24402618
2016-03-07,117,9.89782238
2016-03-08,141,9.91042233
2016-03-09,154,10.04279709
2016-03-10,164,11.25952244
2016-03-11,88,11.04093933
2016-03-12,97,13.33665657
2016-03-13,118,14.54772949
2016-03-14,158,12.99977493
2016-03-15,156,12.53937244
2016-03-16,184,13.24864769
2016-03-17,102,11.13146973
2016-03-18,105,11.01172447
2016-03-19,105,11.00950146
2016-03-20,131,10.12177372
2016-03-21,152,10.7028656
2016-03-22,172,11.17704868
2016-03-23,113,11.58344746
2016-03-24,317,11.89057636
2016-03-25,163,10.80713367
2016-03-26,115,10.97277355
2016-03-27,97,10.64578438
2016-03-28,123,11.40559769
2016-03-29,131,11.86002159
2016-03-30,722,11.83287334
2016-03-31,869,11.88503265
2016-04-01,120,11.82422066
2016-04-02,243,11.45416546
2016-04-03,117,11.5846262
2016-04-04,120,11.15642166
2016-04-05,158,10.88610268
2016-04-06,112,10.42926121
2016-04-07,153,10.21233654
2016-04-08,114,10.27226067
2016-04-09,91,9.96868324
2016-04-10,78,8.50895214
2016-04-11,110,8.8178339
2016-04-12,100,7.67186689
2016-04-13,73,7.12070036
2016-04-14,84,8.27220345
2016-04-15,93,8.30276871
2016-04-16,60,8.35909748
2016-04-17,61,9.57394218
2016-04-18,62,9.06841278
2016-04-19,63,9.13057518
2016-04-20,81,8.53954411
2016-04-21,101,8.49539566
2016-04-22,1027,8.16850376
2016-04-23,78,7.85513306
2016-04-24,66,8.24351597
2016-04-25,139,7.78498888
2016-04-26,95,7.45745134
2016-04-27,97,7.85904932
2016-04-28,93,7.28087854
2016-04-29,100,7.45272541
2016-04-30,126,9.31284428
2016-05-01,1152,8.75332546
2016-05-02,101,9.1801405
2016-05-03,143,9.96475506
2016-05-04,162,9.64718056
2016-05-05,167,9.60092926
2016-05-06,209,9.75081062
2016-05-07,143,9.30714512
2016-05-08,85,9.26994324
2016-05-09,142,9.41054821
2016-05-10,140,9.40432358
2016-05-11,291,9.46284485
2016-05-12,229,10.33878708
2016-05-13,256,10.39747715
2016-05-14,352,10.29762363
2016-05-15,100,10.0948925
2016-05-16,287,10.16970253
2016-05-17,300,11.30505466
2016-05-18,290,13.38962555
2016-05-19,166,13.85283089
2016-05-20,341,14.72865677
2016-05-21,1941,13.66317368
2016-05-22,433,14.05455685
2016-05-23,229,13.64112186
2016-05-24,146,13.50997543
2016-05-25,166,12.23726654
2016-05-26,237,12.3975172
2016-05-27,273,10.94718933
2016-05-28,2086,10.60098743
2016-05-29,889,12.05819702
2016-05-30,393,12.33735371
2016-05-31,276,13.99980831
2016-06-01,402,14.06221104
2016-06-02,229,13.71955585
2016-06-03,267,13.43216801
2016-06-04,193,13.61271477
2016-06-05,222,13.64867115
2016-06-06,538,13.85687065
2016-06-07,183,14.37166882
2016-06-08,363,14.66327095
2016-06-09,289,14.4991045
2016-06-10,851,14.21828842
2016-06-11,1072,13.91207123
2016-06-12,898,14.43261623
2016-06-13,2244,16.94645119
2016-06-14,1265,18.11354256
2016-06-15,459,18.37888336
2016-06-16,1890,19.52018738
2016-06-17,4776,16.71063805
2016-06-18,10201,14.45183182
2016-06-19,5058,12.41148281
2016-06-20,3083,11.93075275
2016-06-21,2202,11.63643742
2016-06-22,2457,14.68105698
2016-06-23,1896,12.69409752
2016-06-24,1625,13.91169453
2016-06-25,1167,14.45978928
2016-06-26,730,14.23734951
2016-06-27,801,13.82566166
2016-06-28,1319,12.92706299
2016-06-29,864,12.46104908
2016-06-30,852,12.48039055
2016-07-01,1188,12.38272381
2016-07-02,716,12.18954659
2016-07-03,741,12.11291218
2016-07-04,1061,11.78057957
2016-07-05,1383,11.4712038
2016-07-06,811,10.69661427
2016-07-07,659,10.08300591
2016-07-08,633,10.02820587
2016-07-09,2083,10.93483829
2016-07-10,1361,10.81057549
2016-07-11,526,10.43312836
2016-07-12,1264,10.4793787
2016-07-13,871,10.48039627
2016-07-14,807,10.86622524
2016-07-15,1279,12.07416058
2016-07-16,677,11.75248337
2016-07-17,419,11.31585407
2016-07-18,409,11.30451298
2016-07-19,541,11.15695477
2016-07-20,2061,11.73404217
2016-07-21,1943,12.3439846
2016-07-22,1157,12.62028027
2016-07-23,1478,14.16064739
2016-07-24,77,14.23389816
2016-07-25,474,13.25709438
2016-07-26,996,13.63521957
2016-07-27,1841,12.86848545
