Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,dropout,epoch,features,lags,layers,learning_rate,n_periods,prediction_start_date,units,accuracy_daily,avg_accuracy,avg_mae,avg_mape,avg_mse,avg_precision,avg_rmse,avg_rmspe,mae_daily,mape_daily,mse_daily,precision_daily,rmse_daily,rmspe_daily,model_selected
11/08/2025 21:14,51.4s,19a601c806f5491e82e35f1cfd4051b4,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.05,60,['ETH_D_AvgPrc'],14,3,0.01,7,04/03/2023,128,0.458646617,0.482277121,59.47668667,0.032536864,6761.575164,0.487707613,78.18669055,4.287663761,80.842379,0.044045027,11489.86544,0.462686567,107.1907899,5.852687379,0
11/08/2025 23:38,33.7s,afebebaf6cbf43248e38185db9840a3f,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.05,99,['ETH_D_AvgPrc'],21,2,0.001,7,04/03/2023,128,0.45112782,0.485499463,59.07735803,0.032470678,6593.511343,0.490266807,78.24095745,4.330803453,78.68174686,0.043132245,11312.25032,0.453125,106.3590632,5.865930139,0
11/08/2025 23:31,17.1s,5d43910b3aa842dd9f845a41165756bd,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0,56,['ETH_D_AvgPrc'],21,2,0.01,7,04/03/2023,128,0.421052632,0.490870032,59.14378146,0.032401501,6708.439949,0.495786199,78.24616003,4.304964331,81.09305819,0.044317845,12068.20817,0.421875,109.8553967,6.028104924,0
11/08/2025 19:29,13.4s,f1eb5e91d3a64fd7851333b3a8ec2238,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.1,26,['ETH_D_AvgPrc'],7,1,0.01,7,04/03/2023,64,0.443609023,0.486573577,58.54790394,0.032220073,6782.275304,0.492600603,78.25784995,4.342221736,83.76935113,0.04604394,12588.33254,0.449275362,112.1977386,6.20952826,0
12/08/2025 01:11,42.8s,789b7e4de81f4f4e82129ae58d6e5062,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,167,['ETH_D_AvgPrc'],28,3,0.001,7,04/03/2023,32,0.413533835,0.475832438,59.43158195,0.032573233,6523.442251,0.481593769,78.29942928,4.309610692,77.12987295,0.042250813,10629.32387,0.420289855,103.0986124,5.679986766,0
11/08/2025 23:59,44.0s,abe2ca14a5ac4128a04e69d0aa34253c,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.05,97,['ETH_D_AvgPrc'],21,3,0.001,7,04/03/2023,64,0.45112782,0.476906552,58.71581461,0.032260643,6727.965591,0.48223721,78.31007554,4.333214066,81.6366607,0.044849354,12018.34924,0.454545455,109.6282319,6.068248822,0
11/08/2025 23:19,6.9s,3c40579044dd45cc84fa99f6d4bd08b0,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.05,21,['ETH_D_AvgPrc'],21,1,0.01,7,04/03/2023,32,0.421052632,0.474758324,59.38319576,0.032551364,6562.208302,0.479250505,78.31557567,4.312964491,78.5551572,0.043079475,10738.47466,0.424242424,103.6266117,5.720803372,0
11/08/2025 19:49,13.7s,4ea1b45e8b9d4c869d24956176a4ad67,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,128,0.1,27,['ETH_D_AvgPrc'],7,2,0.01,7,04/03/2023,32,0.428571429,0.473684211,58.90786353,0.032316358,6595.83574,0.478116002,78.35899975,4.319180948,78.11280238,0.042779348,10946.36957,0.430769231,104.6248994,5.764678465,0
12/08/2025 01:13,20.2s,1c63a2e343944292a4029338be3ddcac,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,64,0.1,25,['ETH_D_AvgPrc'],28,3,0.01,7,04/03/2023,64,0.443609023,0.476906552,60.5506148,0.033145081,6591.103317,0.482413073,78.43239544,4.305024856,80.2247225,0.043776641,11207.37616,0.447761194,105.8648958,5.793334245,0
12/08/2025 00:23,23.1s,26002e99b1e64d88aa4c7a66c23143cd,ETH_base,LOCAL,/home/ec2-user/ETH_Price_Predition/.venv/lib/python3.11/site-packages/ipykernel_launcher.py,ec2-user,FINISHED,32,0.1,68,['ETH_D_AvgPrc'],28,1,0.001,7,04/03/2023,64,0.436090226,0.469387755,59.44282973,0.03265715,6635.190616,0.472997129,78.46275146,4.338478027,77.95116889,0.042736767,11088.17888,0.4375,105.300422,5.812978934,0
