Time,ETH average daily transaction fee,Price
2015-07-30,0.0,0.0
2015-07-31,0.0,0.0
2015-08-01,0.0,0.0
2015-08-02,0.0,0.0
2015-08-03,0.0,0.0
2015-08-04,0.0,0.0
2015-08-05,0.0,0.0
2015-08-06,0.0,0.0
2015-08-07,0.011765578635014836,3.49087358
2015-08-08,0.026348335162824737,2.64024425
2015-08-09,0.0168486646884273,0.69646382
2015-08-10,0.014037593984962408,0.66556972
2015-08-11,0.00454344216934145,0.70228821
2015-08-12,0.01131484794275492,1.19412768
2015-08-13,0.008484425848442586,1.44813585
2015-08-14,0.007476203426706554,1.95217466
2015-08-15,0.003369047619047619,1.73802364
2015-08-16,0.003290529695024077,1.46309757
2015-08-17,0.00294010889292196,1.31342125
2015-08-18,0.00514608492403584,1.29511821
2015-08-19,0.003827450980392157,1.26502979
2015-08-20,0.004492542742815569,1.31215394
2015-08-21,0.001992110453648915,1.4865005
2015-08-22,0.01005834829443447,1.42915428
2015-08-23,0.0018936484490398818,1.40486002
2015-08-24,0.0018361519877004172,1.34696114
2015-08-25,0.0019680724326900166,1.18612492
2015-08-26,0.0015858668857847164,1.19119453
2015-08-27,0.0017293388429752065,1.15213394
2015-08-28,0.0022736625514403292,1.18332875
2015-08-29,0.001391812865497076,1.18745327
2015-08-30,0.0013145082765335932,1.17879224
2015-08-31,0.0012587412587412587,1.23122013
2015-09-01,0.0016448672215616331,1.3388381
2015-09-02,0.0013981588032220943,1.3469727
2015-09-03,0.0015214797136038187,1.29891336
2015-09-04,0.0016026961243212883,1.27088296
2015-09-05,0.0017652362062747925,1.31005204
2015-09-06,0.0015025400547088708,1.3656491
2015-09-07,0.0016058763931104357,1.25252545
2015-09-08,0.00171973437766048,1.23939872
2015-09-09,0.001834170854271357,1.24503684
2015-09-10,0.0015227317847925353,1.19812691
2015-09-11,0.0014473287051011167,0.98693073
2015-09-12,0.0017489421720733426,0.99802619
2015-09-13,0.0017930810459639433,0.985183
2015-09-14,0.001757046022119158,0.89336598
2015-09-15,0.0016208308952603862,0.97980434
2015-09-16,0.001376399655469423,0.94147724
2015-09-17,0.0026951965065502184,0.89967048
2015-09-18,0.001812522885389967,0.86027586
2015-09-19,0.0019137065278036077,0.84628642
2015-09-20,0.0017552933570389527,0.88392901
2015-09-21,0.0015623013350286078,0.94609672
2015-09-22,0.0016730038022813689,0.88314307
2015-09-23,0.0014811827956989247,0.90080476
2015-09-24,0.0014891353897583954,0.8330701
2015-09-25,0.0017508771929824563,0.7689485
2015-09-26,0.0016250799744081893,0.72844189
2015-09-27,0.0012367066895368783,0.77423698
2015-09-28,0.0015434565434565433,0.67991251
2015-09-29,0.001758553447970218,0.57203287
2015-09-30,0.0014985392679154495,0.64813733
2015-10-01,0.0012357444149351663,0.72640109
2015-10-02,0.0016541353383458645,0.6599189
2015-10-03,0.0015440067057837386,0.70160943
2015-10-04,0.001567426909536201,0.67040098
2015-10-05,0.0017355754396791113,0.66451824
2015-10-06,0.0015310778914240757,0.62358665
2015-10-07,0.0015992995768276668,0.65175253
2015-10-08,0.0017540462027943007,0.59597468
2015-10-09,0.0016165583925064207,0.66239917
2015-10-10,0.0019363434492968173,0.64317811
2015-10-11,0.001559852964679559,0.63022649
2015-10-12,0.001367977982839566,0.65778887
2015-10-13,0.0018997942991478107,0.60851949
2015-10-14,0.0015713015120071153,0.56445336
2015-10-15,0.0022058823529411764,0.54174834
2015-10-16,0.0038374981733157974,0.55452949
2015-10-17,0.0017267380485597949,0.53965616
2015-10-18,0.0019449745547073791,0.51858705
2015-10-19,0.002117320881365825,0.51569498
2015-10-20,0.0017067468269873081,0.49077821
2015-10-21,0.00182875605815832,0.47601378
2015-10-22,0.002051858254105445,0.4251838
2015-10-23,0.0019928719928719927,0.56755406
2015-10-24,0.001753286456741058,0.54779279
2015-10-25,0.001643160577740017,0.65844512
2015-10-26,0.0016944398614090084,0.65446395
2015-10-27,0.0025698924731182796,0.82599086
2015-10-28,0.0018865121806298276,0.83443052
2015-10-29,0.001428200129954516,1.15395772
2015-10-30,0.0019000363064262374,1.30969465
2015-10-31,0.0017567747964223736,0.96135074
2015-11-01,0.0018766386090796191,0.95633382
2015-11-02,0.0022179100186862154,1.04413021
2015-11-03,0.0016062473133686777,0.9752112
2015-11-04,0.0014914670873368708,0.98588955
2015-11-05,0.0013479278535040615,0.96298873
2015-11-06,0.0015007721465674574,0.86616153
2015-11-07,0.002623791910273237,0.90581286
2015-11-08,0.0026697798532354907,0.93218809
2015-11-09,0.0019044838860345632,1.10504436
2015-11-10,0.0018543388429752066,0.9734078
2015-11-11,0.002214169048591262,0.85077131
2015-11-12,0.0025897248090404937,0.77559644
2015-11-13,0.0021932234432234434,0.89510471
2015-11-14,0.0023618861607142857,0.89270341
2015-11-15,0.0017033571821684097,0.89043051
2015-11-16,0.00139098796529527,0.90162373
2015-11-17,0.0014470426409903714,0.91575503
2015-11-18,0.0013824008690928842,0.96721065
2015-11-19,0.0017285410262473397,1.00674951
2015-11-20,0.0018228587319243604,0.91102046
2015-11-21,0.00166078258311268,0.92227244
2015-11-22,0.0015826232714066212,0.96180123
2015-11-23,0.0015639926515615432,0.96452993
2015-11-24,0.0018457576191157534,0.94214731
2015-11-25,0.0014436864819713212,0.88942003
2015-11-26,0.001657103825136612,0.8747912
2015-11-27,0.0013770821367030442,0.87907678
2015-11-28,0.00222629409070087,0.88074028
2015-11-29,0.0013247550811522153,0.90759629
2015-11-30,0.0021123115012379023,0.86545026
2015-12-01,0.0020502395818208217,0.87134773
