Time,ETH number of daily transactions on the chain,Price
2016-01-21,11239,1.53912294
2016-01-22,13746,1.53445899
2016-01-23,10741,1.52795529
2016-01-24,12683,2.04427361
2016-01-25,13451,2.53277397
2016-01-26,18234,2.6500597
2016-01-27,17240,2.36073828
2016-01-28,19482,2.41116261
2016-01-29,15712,2.57491207
2016-01-30,15487,2.56336069
2016-01-31,13825,2.47952342
2016-02-01,14712,2.21671295
2016-02-02,14317,2.16603947
2016-02-03,14162,2.50334001
2016-02-04,13856,2.52249646
2016-02-05,15634,2.55200076
2016-02-06,30840,2.53738356
2016-02-07,14217,2.76247025
2016-02-08,15558,3.02670121
2016-02-09,15352,3.6983912
2016-02-10,16045,4.14425755
2016-02-11,19996,4.64397573
2016-02-12,19042,6.36936092
2016-02-13,19038,4.41588974
2016-02-14,17280,4.95998287
2016-02-15,17047,5.71886015
2016-02-16,17185,5.26333189
2016-02-17,17780,3.9274509
2016-02-18,19521,3.6640377
2016-02-19,18314,4.38084459
2016-02-20,18027,4.59809685
2016-02-21,16971,4.28471136
2016-02-22,16593,4.90154696
2016-02-23,18527,5.82967377
2016-02-24,18284,6.15653133
2016-02-25,20310,6.50093651
2016-02-26,21355,5.8241024
2016-02-27,20116,6.3977809
2016-02-28,16777,6.52915525
2016-02-29,20738,6.60254622
2016-03-01,20032,6.53641224
2016-03-02,24801,8.38777447
2016-03-03,23746,8.52542782
2016-03-04,24231,9.44318676
2016-03-05,26049,11.92475796
2016-03-06,28165,11.24402618
2016-03-07,24922,9.89782238
2016-03-08,25244,9.91042233
2016-03-09,22241,10.04279709
2016-03-10,24927,11.25952244
2016-03-11,24650,11.04093933
2016-03-12,26962,13.33665657
2016-03-13,27156,14.54772949
2016-03-14,27105,12.99977493
2016-03-15,30570,12.53937244
2016-03-16,27347,13.24864769
2016-03-17,34195,11.13146973
2016-03-18,32147,11.01172447
2016-03-19,32695,11.00950146
2016-03-20,33327,10.12177372
2016-03-21,30904,10.7028656
2016-03-22,35610,11.17704868
2016-03-23,28200,11.58344746
2016-03-24,39027,11.89057636
2016-03-25,33622,10.80713367
2016-03-26,36620,10.97277355
2016-03-27,34661,10.64578438
2016-03-28,33493,11.40559769
2016-03-29,31789,11.86002159
2016-03-30,36054,11.83287334
2016-03-31,33004,11.88503265
2016-04-01,33371,11.82422066
2016-04-02,30022,11.45416546
2016-04-03,29528,11.5846262
2016-04-04,33719,11.15642166
2016-04-05,37450,10.88610268
2016-04-06,36640,10.42926121
2016-04-07,27747,10.21233654
2016-04-08,36605,10.27226067
2016-04-09,30771,9.96868324
2016-04-10,32853,8.50895214
2016-04-11,30642,8.8178339
2016-04-12,37182,7.67186689
2016-04-13,29147,7.12070036
2016-04-14,38701,8.27220345
2016-04-15,31538,8.30276871
2016-04-16,36966,8.35909748
2016-04-17,39461,9.57394218
2016-04-18,33352,9.06841278
2016-04-19,29390,9.13057518
2016-04-20,36156,8.53954411
2016-04-21,33508,8.49539566
2016-04-22,35975,8.16850376
2016-04-23,31335,7.85513306
2016-04-24,34435,8.24351597
2016-04-25,32135,7.78498888
2016-04-26,35532,7.45745134
2016-04-27,33614,7.85904932
2016-04-28,30775,7.28087854
2016-04-29,39815,7.45272541
2016-04-30,37825,9.31284428
2016-05-01,47475,8.75332546
2016-05-02,38829,9.1801405
2016-05-03,40269,9.96475506
2016-05-04,34792,9.64718056
2016-05-05,39712,9.60092926
2016-05-06,39758,9.75081062
2016-05-07,39858,9.30714512
2016-05-08,38588,9.26994324
2016-05-09,37889,9.41054821
2016-05-10,41177,9.40432358
2016-05-11,38244,9.46284485
2016-05-12,43029,10.33878708
2016-05-13,47532,10.39747715
2016-05-14,50418,10.29762363
2016-05-15,40985,10.0948925
2016-05-16,39134,10.16970253
2016-05-17,36751,11.30505466
2016-05-18,47038,13.38962555
2016-05-19,45724,13.85283089
2016-05-20,44872,14.72865677
2016-05-21,42733,13.66317368
2016-05-22,41809,14.05455685
2016-05-23,39743,13.64112186
2016-05-24,42950,13.50997543
2016-05-25,46724,12.23726654
2016-05-26,52335,12.3975172
2016-05-27,47934,10.94718933
2016-05-28,67678,10.60098743
2016-05-29,51197,12.05819702
2016-05-30,43564,12.33735371
2016-05-31,39806,13.99980831
2016-06-01,44537,14.06221104
2016-06-02,43133,13.71955585
2016-06-03,39331,13.43216801
2016-06-04,39835,13.61271477
2016-06-05,36695,13.64867115
2016-06-06,34729,13.85687065
2016-06-07,41777,14.37166882
2016-06-08,44931,14.66327095
2016-06-09,39872,14.4991045
2016-06-10,42755,14.21828842
2016-06-11,37239,13.91207123
2016-06-12,39635,14.43261623
2016-06-13,44171,16.94645119
2016-06-14,48523,18.11354256
2016-06-15,45638,18.37888336
2016-06-16,44413,19.52018738
2016-06-17,59205,16.71063805
2016-06-18,62562,14.45183182
2016-06-19,60236,12.41148281
2016-06-20,42177,11.93075275
2016-06-21,49363,11.63643742
2016-06-22,47773,14.68105698
2016-06-23,44168,12.69409752
2016-06-24,47449,13.91169453
2016-06-25,39384,14.45978928
2016-06-26,41976,14.23734951
2016-06-27,34433,13.82566166
2016-06-28,40399,12.92706299
2016-06-29,43808,12.46104908
2016-06-30,76745,12.48039055
2016-07-01,40559,12.38272381
2016-07-02,35244,12.18954659
2016-07-03,44236,12.11291218
2016-07-04,32799,11.78057957
2016-07-05,44703,11.4712038
2016-07-06,35365,10.69661427
2016-07-07,40233,10.08300591
2016-07-08,42492,10.02820587
2016-07-09,44751,10.93483829
2016-07-10,39894,10.81057549
2016-07-11,34148,10.43312836
2016-07-12,39062,10.4793787
2016-07-13,39056,10.48039627
2016-07-14,45279,10.86622524
2016-07-15,40708,12.07416058
2016-07-16,39300,11.75248337
2016-07-17,31214,11.31585407
2016-07-18,37052,11.30451298
2016-07-19,37323,11.15695477
2016-07-20,50687,11.73404217
2016-07-21,53805,12.3439846
2016-07-22,46556,12.62028027
2016-07-23,47721,14.16064739
2016-07-24,42166,14.23389816
2016-07-25,63442,13.25709438
2016-07-26,55104,13.63521957
2016-07-27,62821,12.86848545
2016-07-28,45823,12.85945034
2016-07-29,47391,12.63159943
2016-07-30,43235,12.69895267
2016-07-31,48520,11.60665894
2016-08-01,50642,11.58598137
2016-08-02,45115,10.71458149
2016-08-03,48981,9.52481365
2016-08-04,51476,10.47972965
2016-08-05,38800,11.03745079
2016-08-06,47547,10.87705135
2016-08-07,43196,10.91378212
2016-08-08,42526,10.94816113
2016-08-09,39066,12.00621319
2016-08-10,53162,12.29963112
2016-08-11,42656,11.8381052
2016-08-12,51290,11.65481853
2016-08-13,35915,11.64356232
2016-08-14,46166,11.57867813
2016-08-15,42043,11.00014877
2016-08-16,48181,11.14498329
2016-08-17,45457,10.9684124
2016-08-18,39692,10.86975956
2016-08-19,45415,10.78667927
2016-08-20,41512,11.01842213
2016-08-21,42112,11.16414452
2016-08-22,44291,11.19819069
2016-08-23,51512,10.97469711
2016-08-24,42271,11.04823494
2016-08-25,54773,11.24854374
2016-08-26,42630,11.29399109
2016-08-27,55534,11.19051075
2016-08-28,41641,11.10728836
2016-08-29,42997,10.91968632
2016-08-30,48818,11.19962215
2016-08-31,45885,11.20655727
2016-09-01,47609,12.0040493
2016-09-02,54595,12.05083942
2016-09-03,46862,11.68476868
2016-09-04,41986,11.7645483
2016-09-05,48850,11.73810863
2016-09-06,49048,11.61868286
2016-09-07,50736,11.6288023
2016-09-08,53003,11.56850052
2016-09-09,53592,11.45089531
2016-09-10,44452,11.72736263
2016-09-11,41794,11.85478401
2016-09-12,45384,11.65324211
2016-09-13,43573,12.08258915
2016-09-14,53638,11.94601536
2016-09-15,44624,12.00962353
2016-09-16,63965,11.93481731
2016-09-17,48340,12.58448887
2016-09-18,44861,12.67479992
2016-09-19,27471,12.73502922
2016-09-20,56046,13.38055134
2016-09-21,47524,14.20669651
2016-09-22,55688,12.84622383
2016-09-23,25775,13.10164452
2016-09-24,47160,12.92832279
2016-09-25,42098,12.98826027
2016-09-26,39976,12.88971233
2016-09-27,49575,13.16527462
2016-09-28,39455,13.44039631
2016-09-29,41860,13.25716496
2016-09-30,39209,13.33109093
2016-10-01,49656,13.13239765
2016-10-02,48202,13.16473293
2016-10-03,53177,13.20552063
2016-10-04,54837,13.39880371
2016-10-05,43752,13.25749874
2016-10-06,34457,12.84533882
2016-10-07,43522,12.92625523
2016-10-08,37926,12.64265347
2016-10-09,44378,12.26047421
2016-10-10,46120,11.90778828
2016-10-11,39285,12.13507748
2016-10-12,34926,11.73500061
2016-10-13,30396,11.99354458
2016-10-14,40721,11.9192934
2016-10-15,36918,11.86220741
2016-10-16,30287,11.95855045
2016-10-17,40342,11.92120838
2016-10-18,38822,12.19547844
2016-10-19,51702,12.49901009
2016-10-20,40848,12.20103645
2016-10-21,58712,12.08692837
2016-10-22,41645,12.12838173
2016-10-23,36200,11.96116257
2016-10-24,50164,11.99033356
2016-10-25,45417,11.26816273
2016-10-26,43748,11.58884907
2016-10-27,43902,11.43562508
2016-10-28,42546,11.53957653
2016-10-29,40341,11.10292244
2016-10-30,41522,10.48897076
2016-10-31,41440,11.17594051
2016-11-01,47383,10.73330975
2016-11-02,43136,10.9131155
2016-11-03,41877,10.79964828
2016-11-04,40868,10.93370247
2016-11-05,32442,11.05909157
2016-11-06,37822,10.87234211
2016-11-07,37080,10.89083767
2016-11-08,43159,10.89247608
2016-11-09,41134,10.42971802
2016-11-10,40071,10.55637455
2016-11-11,37593,10.51397896
2016-11-12,46537,10.181036
2016-11-13,43046,10.19999409
2016-11-14,40816,9.98183823
2016-11-15,48578,10.24454117
2016-11-16,38688,10.28198242
2016-11-17,43675,10.10865688
2016-11-18,40342,9.97877407
2016-11-19,40433,9.57619572
2016-11-20,44246,9.61849403
2016-11-21,40868,9.57175732
2016-11-22,44347,9.94512939
2016-11-23,75616,9.87179089
2016-11-24,36869,9.78180313
2016-11-25,54518,9.27416229
2016-11-26,45017,9.37100124
2016-11-27,42953,9.12840176
2016-11-28,43055,8.95883465
2016-11-29,50815,8.48675156
2016-11-30,39968,8.27385712
2016-12-01,38228,8.39436626
2016-12-02,38734,7.63683796
2016-12-03,43652,7.90301895
2016-12-04,42068,7.90249872
2016-12-05,37120,7.46398783
2016-12-06,47991,6.9359355
2016-12-07,43992,7.57976294
2016-12-08,41216,8.57879162
2016-12-09,41527,8.57343674
2016-12-10,37757,8.30651474
2016-12-11,40141,8.21545887
2016-12-12,37473,8.41560459
2016-12-13,43033,8.44915771
2016-12-14,48589,8.3716526
2016-12-15,45040,7.98988962
2016-12-16,48848,7.83320808
2016-12-17,37974,7.78552341
2016-12-18,37963,7.89772511
