Time,ETH average computing power of the entire network,Price
2016-02-13,7.042304826737393E11,4.41588974
2016-02-14,7.185118125695044E11,4.95998287
2016-02-15,7.464189852114009E11,5.71886015
2016-02-16,7.317787740768673E11,5.26333189
2016-02-17,7.357357494637953E11,3.9274509
2016-02-18,6.913168624679274E11,3.6640377
2016-02-19,7.327624955482328E11,4.38084459
2016-02-20,7.493508080560167E11,4.59809685
2016-02-21,7.54493382289606E11,4.28471136
2016-02-22,7.72112185537919E11,4.90154696
2016-02-23,8.086926718244231E11,5.82967377
2016-02-24,7.804214150400331E11,6.15653133
2016-02-25,7.938766742715662E11,6.50093651
2016-02-26,8.326807771378596E11,5.8241024
2016-02-27,8.295397791224764E11,6.3977809
2016-02-28,8.574828173084294E11,6.52915525
2016-02-29,8.453239968076971E11,6.60254622
2016-03-01,8.296128251066398E11,6.53641224
2016-03-02,8.713551014482441E11,8.38777447
2016-03-03,8.981989004180522E11,8.52542782
2016-03-04,9.310258724179336E11,9.44318676
2016-03-05,9.485339418834557E11,11.92475796
2016-03-06,9.943123910456659E11,11.24402618
2016-03-07,9.955598059549786E11,9.89782238
2016-03-08,1.0121310462965175E12,9.91042233
2016-03-09,1.0316317743767582E12,10.04279709
2016-03-10,1.052396706037359E12,11.25952244
2016-03-11,1.0865502615101064E12,11.04093933
2016-03-12,1.139100438300807E12,13.33665657
2016-03-13,1.1704429797104458E12,14.54772949
2016-03-14,1.208014422022772E12,12.99977493
2016-03-15,1.2007890960665596E12,12.53937244
2016-03-16,1.2333348195358076E12,13.24864769
2016-03-17,1.2458357526678918E12,11.13146973
2016-03-18,1.2766953305670051E12,11.01172447
2016-03-19,1.3019201315786724E12,11.00950146
2016-03-20,1.3456785186815552E12,10.12177372
2016-03-21,1.3498031818384258E12,10.7028656
2016-03-22,1.3473990192596873E12,11.17704868
2016-03-23,1.310807977847491E12,11.58344746
2016-03-24,1.380915421798306E12,11.89057636
2016-03-25,1.452966265821156E12,10.80713367
2016-03-26,1.4748661827965557E12,10.97277355
2016-03-27,1.5207355362369514E12,10.64578438
2016-03-28,1.514459461807853E12,11.40559769
2016-03-29,1.57986514515275E12,11.86002159
2016-03-30,1.583734208052221E12,11.83287334
2016-03-31,1.658377951358032E12,11.88503265
2016-04-01,1.6350936656290435E12,11.82422066
2016-04-02,1.6399221310008289E12,11.45416546
2016-04-03,1.6795464696209077E12,11.5846262
2016-04-04,1.7584282769155945E12,11.15642166
2016-04-05,1.7807577375926482E12,10.88610268
2016-04-06,1.7889960849548733E12,10.42926121
2016-04-07,1.707476870748955E12,10.21233654
2016-04-08,1.7905918312009678E12,10.27226067
2016-04-09,1.8879485469945295E12,9.96868324
2016-04-10,1.8604116448642322E12,8.50895214
2016-04-11,1.8779511964123716E12,8.8178339
2016-04-12,1.816854561106275E12,7.67186689
2016-04-13,1.9059448864849314E12,7.12070036
2016-04-14,1.8907976380080132E12,8.27220345
2016-04-15,1.9556982429245952E12,8.30276871
2016-04-16,2.019513786161594E12,8.35909748
2016-04-17,1.9292826806674343E12,9.57394218
2016-04-18,2.0714473520800303E12,9.06841278
2016-04-19,2.0831224300889707E12,9.13057518
2016-04-20,2.089298209815688E12,8.53954411
2016-04-21,2.15376687474586E12,8.49539566
2016-04-22,2.0607534353358918E12,8.16850376
2016-04-23,2.151754589909371E12,7.85513306
2016-04-24,2.1290809050958594E12,8.24351597
2016-04-25,2.194840852083208E12,7.78498888
2016-04-26,2.1904803164233435E12,7.45745134
2016-04-27,2.1673419200608857E12,7.85904932
2016-04-28,2.216553699353495E12,7.28087854
2016-04-29,2.2641510442351504E12,7.45272541
2016-04-30,2.344644605377837E12,9.31284428
2016-05-01,2.4003374462964727E12,8.75332546
2016-05-02,2.2234841962996104E12,9.1801405
2016-05-03,2.391701381742371E12,9.96475506
2016-05-04,2.3775444480912783E12,9.64718056
2016-05-05,2.36201862221816E12,9.60092926
2016-05-06,2.3948817512811973E12,9.75081062
2016-05-07,2.378496010747506E12,9.30714512
2016-05-08,2.3906062828474653E12,9.26994324
2016-05-09,2.419299116565941E12,9.41054821
2016-05-10,2.4547433989844697E12,9.40432358
2016-05-11,2.435464229161514E12,9.46284485
2016-05-12,2.4001938890306206E12,10.33878708
2016-05-13,2.565160679286869E12,10.39747715
2016-05-14,2.544708622539738E12,10.29762363
2016-05-15,2.568078128434141E12,10.0948925
2016-05-16,2.6056677383318735E12,10.16970253
2016-05-17,2.5243609458915444E12,11.30505466
2016-05-18,2.62767796867789E12,13.38962555
2016-05-19,2.751728749809056E12,13.85283089
2016-05-20,2.77846807291545E12,14.72865677
2016-05-21,2.848203174812459E12,13.66317368
2016-05-22,2.76342708365182E12,14.05455685
2016-05-23,2.829911454438168E12,13.64112186
2016-05-24,2.8335719722839937E12,13.50997543
2016-05-25,2.846708875176256E12,12.23726654
2016-05-26,2.9359174323475645E12,12.3975172
2016-05-27,2.889832012254757E12,10.94718933
2016-05-28,2.9575911747243203E12,10.60098743
2016-05-29,3.01742727299811E12,12.05819702
2016-05-30,3.028405079707103E12,12.33735371
2016-05-31,3.056244966222323E12,13.99980831
2016-06-01,2.8977859798027954E12,14.06221104
2016-06-02,2.9639539586878267E12,13.71955585
2016-06-03,3.1413728947905767E12,13.43216801
2016-06-04,3.135798880634262E12,13.61271477
2016-06-05,3.1178916144260645E12,13.64867115
2016-06-06,3.1348149547135312E12,13.85687065
2016-06-07,3.234850865292583E12,14.37166882
2016-06-08,3.185750851993637E12,14.66327095
2016-06-09,3.359886459297196E12,14.4991045
2016-06-10,3.305247303221838E12,14.21828842
2016-06-11,3.2387194346055864E12,13.91207123
2016-06-12,3.3007299331343296E12,14.43261623
2016-06-13,3.415213416034401E12,16.94645119
2016-06-14,3.48014797315412E12,18.11354256
2016-06-15,3.471646318953996E12,18.37888336
2016-06-16,3.4446525877420815E12,19.52018738
2016-06-17,3.3737538039418813E12,16.71063805
2016-06-18,3.140433046891032E12,14.45183182
2016-06-19,3.3864388274422593E12,12.41148281
2016-06-20,3.6283581731860405E12,11.93075275
2016-06-21,3.45665680014531E12,11.63643742
2016-06-22,3.4982193399577344E12,14.68105698
2016-06-23,3.744285321896335E12,12.69409752
2016-06-24,3.6682743719420005E12,13.91169453
2016-06-25,3.7563126116294595E12,14.45978928
2016-06-26,3.730130806588881E12,14.23734951
2016-06-27,3.836809279149056E12,13.82566166
2016-06-28,3.8961872911955596E12,12.92706299
2016-06-29,3.839873371571189E12,12.46104908
2016-06-30,3.854955366528444E12,12.48039055
2016-07-01,3.8166880662635303E12,12.38272381
2016-07-02,3.9754461492679106E12,12.18954659
2016-07-03,4.026572212427581E12,12.11291218
2016-07-04,3.952094776763004E12,11.78057957
2016-07-05,4.181994743808503E12,11.4712038
2016-07-06,3.8936745525313184E12,10.69661427
2016-07-07,4.032016094079144E12,10.08300591
2016-07-08,4.081782437516003E12,10.02820587
2016-07-09,3.890874033082257E12,10.93483829
2016-07-10,4.127870054598015E12,10.81057549
2016-07-11,4.120626043102284E12,10.43312836
2016-07-12,4.175674183441849E12,10.4793787
2016-07-13,4.152563491822595E12,10.48039627
2016-07-14,4.200899554181866E12,10.86622524
2016-07-15,4.116877421162509E12,12.07416058
2016-07-16,4.0798510990271465E12,11.75248337
2016-07-17,4.16412387085631E12,11.31585407
2016-07-18,4.137638249366092E12,11.30451298
2016-07-19,4.248508903832421E12,11.15695477
2016-07-20,4.1363291160551797E12,11.73404217
2016-07-21,4.081693562854987E12,12.3439846
2016-07-22,4.222040348339964E12,12.62028027
2016-07-23,4.223608365586719E12,14.16064739
2016-07-24,4.2801883616877E12,14.23389816
2016-07-25,4.018633775648696E12,13.25709438
2016-07-26,4.094369398590104E12,13.63521957
2016-07-27,3.52807878096249E12,12.86848545
2016-07-28,3.862821128101983E12,12.85945034
2016-07-29,3.8308235815335195E12,12.63159943
2016-07-30,3.856441166779053E12,12.69895267
2016-07-31,3.7779660188855537E12,11.60665894
2016-08-01,3.8108269535735728E12,11.58598137
2016-08-02,3.5494192908712876E12,10.71458149
2016-08-03,3.402535967001349E12,9.52481365
2016-08-04,3.512665453111634E12,10.47972965
2016-08-05,3.748520668767679E12,11.03745079
2016-08-06,3.701160957355902E12,10.87705135
2016-08-07,3.746899172378302E12,10.91378212
2016-08-08,3.7830537550571943E12,10.94816113
2016-08-09,3.9482826307336367E12,12.00621319
2016-08-10,4.124493585088332E12,12.29963112
2016-08-11,4.19232050416645E12,11.8381052
2016-08-12,4.1964100640973765E12,11.65481853
2016-08-13,4.1656989877647754E12,11.64356232
2016-08-14,4.1774067469838496E12,11.57867813
2016-08-15,4.1311150837119663E12,11.00014877
2016-08-16,4.295662735921926E12,11.14498329
2016-08-17,4.314827355926378E12,10.9684124
2016-08-18,4.2698519364268184E12,10.86975956
2016-08-19,4.405694615542531E12,10.78667927
2016-08-20,4.415496685693141E12,11.01842213
2016-08-21,4.416384499006557E12,11.16414452
2016-08-22,4.487384139945122E12,11.19819069
2016-08-23,4.603454614401665E12,10.97469711
2016-08-24,4.575391205055181E12,11.04823494
2016-08-25,4.663527601437849E12,11.24854374
2016-08-26,4.875708370609425E12,11.29399109
2016-08-27,4.808439430510262E12,11.19051075
2016-08-28,4.84451960278487E12,11.10728836
2016-08-29,4.786681732006274E12,10.91968632
2016-08-30,4.732886032033329E12,11.19962215
2016-08-31,4.788748659364029E12,11.20655727
2016-09-01,4.942552884944024E12,12.0040493
2016-09-02,4.899043481537943E12,12.05083942
2016-09-03,4.815472723580212E12,11.68476868
2016-09-04,4.59425974271696E12,11.7645483
2016-09-05,4.737296790696034E12,11.73810863
2016-09-06,4.736206305848908E12,11.61868286
2016-09-07,4.787243164397309E12,11.6288023
2016-09-08,4.809566819270807E12,11.56850052
2016-09-09,4.760801525240952E12,11.45089531
2016-09-10,4.89430060676926E12,11.72736263
2016-09-11,4.938277302115977E12,11.85478401
2016-09-12,4.962144046377995E12,11.65324211
2016-09-13,5.0820700888958545E12,12.08258915
2016-09-14,5.02403319465383E12,11.94601536
2016-09-15,5.107311195702004E12,12.00962353
2016-09-16,5.074045447702374E12,11.93481731
2016-09-17,5.255225849967125E12,12.58448887
2016-09-18,5.269270231424275E12,12.67479992
2016-09-19,4.101786428342959E12,12.73502922
2016-09-20,5.255077271257705E12,13.38055134
2016-09-21,5.408969157400288E12,14.20669651
2016-09-22,5.038656860142956E12,12.84622383
2016-09-23,5.034067411372493E12,13.10164452
2016-09-24,5.252785682974183E12,12.92832279
2016-09-25,5.035167473725137E12,12.98826027
2016-09-26,5.399869131809587E12,12.88971233
2016-09-27,4.839166956263863E12,13.16527462
2016-09-28,5.758856355298648E12,13.44039631
2016-09-29,5.834702606692151E12,13.25716496
2016-09-30,5.846773906922311E12,13.33109093
2016-10-01,5.421143247464901E12,13.13239765
2016-10-02,5.182034325544168E12,13.16473293
2016-10-03,5.616169710754148E12,13.20552063
2016-10-04,6.051298367320647E12,13.39880371
2016-10-05,5.672472662751722E12,13.25749874
2016-10-06,5.90462710585496E12,12.84533882
2016-10-07,4.848673845220098E12,12.92625523
2016-10-08,5.149364978262985E12,12.64265347
2016-10-09,5.832909660108893E12,12.26047421
2016-10-10,6.022567127603325E12,11.90778828
2016-10-11,6.26588715862746E12,12.13507748
2016-10-12,5.896128418432032E12,11.73500061
2016-10-13,5.64344733650284E12,11.99354458
2016-10-14,6.382070796115658E12,11.9192934
2016-10-15,6.677282844669243E12,11.86220741
2016-10-16,6.631251012176276E12,11.95855045
2016-10-17,6.425394203024375E12,11.92120838
2016-10-18,6.426869229522393E12,12.19547844
2016-10-19,6.583144418410216E12,12.49901009
2016-10-20,6.23894428283742E12,12.20103645
2016-10-21,7.162573802842793E12,12.08692837
2016-10-22,7.271631437080571E12,12.12838173
2016-10-23,7.190293660191167E12,11.96116257
2016-10-24,7.060946372537902E12,11.99033356
2016-10-25,7.317774812186666E12,11.26816273
2016-10-26,7.296283567101379E12,11.58884907
2016-10-27,7.381261394068781E12,11.43562508
2016-10-28,7.166831580692796E12,11.53957653
2016-10-29,6.063673184949986E12,11.10292244
2016-10-30,5.260254467964199E12,10.48897076
2016-10-31,5.731911619508343E12,11.17594051
2016-11-01,5.270831192547578E12,10.73330975
2016-11-02,4.557171619548999E12,10.9131155
2016-11-03,4.323291739824304E12,10.79964828
2016-11-04,4.051968489874656E12,10.93370247
2016-11-05,3.7202360582698154E12,11.05909157
2016-11-06,3.5698321275233433E12,10.87234211
2016-11-07,3.9996512626648223E12,10.89083767
2016-11-08,4.698891630528041E12,10.89247608
2016-11-09,4.844656002295291E12,10.42971802
2016-11-10,4.390482797187447E12,10.55637455
2016-11-11,4.2381593969033716E12,10.51397896
2016-11-12,4.1716639392702695E12,10.181036
2016-11-13,4.492315977176221E12,10.19999409
2016-11-14,4.772872639998934E12,9.98183823
2016-11-15,4.871181551091993E12,10.24454117
2016-11-16,4.736812687478334E12,10.28198242
2016-11-17,4.714783060715369E12,10.10865688
2016-11-18,4.608696979425096E12,9.97877407
2016-11-19,5.012963022906337E12,9.57619572
2016-11-20,5.370657193290156E12,9.61849403
2016-11-21,5.920393775161354E12,9.57175732
2016-11-22,5.78792252370143E12,9.94512939
2016-11-23,5.303034093720589E12,9.87179089
2016-11-24,4.7572369641373955E12,9.78180313
2016-11-25,4.499308783219417E12,9.27416229
2016-11-26,4.891060259734452E12,9.37100124
2016-11-27,4.475296892372512E12,9.12840176
2016-11-28,4.656626703920087E12,8.95883465
2016-11-29,4.776546157489876E12,8.48675156
2016-11-30,4.825901105821269E12,8.27385712
2016-12-01,4.932532169446488E12,8.39436626
2016-12-02,4.954559372378366E12,7.63683796
2016-12-03,5.195070858596916E12,7.90301895
2016-12-04,5.279372730153452E12,7.90249872
2016-12-05,5.180366738662159E12,7.46398783
2016-12-06,5.029736315496565E12,6.9359355
2016-12-07,5.119787103882272E12,7.57976294
2016-12-08,5.31902035162439E12,8.57879162
2016-12-09,5.518112198117397E12,8.57343674
2016-12-10,5.668419143895482E12,8.30651474
2016-12-11,5.82971034464465E12,8.21545887
2016-12-12,5.666067504407524E12,8.41560459
2016-12-13,5.739053761779135E12,8.44915771
2016-12-14,5.692495495096767E12,8.3716526
2016-12-15,5.799437318691402E12,7.98988962
2016-12-16,5.898017326031487E12,7.83320808
2016-12-17,5.852117730984689E12,7.78552341
2016-12-18,6.129367440695602E12,7.89772511
2016-12-19,6.230719220286637E12,7.74505043
2016-12-20,6.381610563697539E12,7.63710451
2016-12-21,6.315756506048774E12,7.67782974
2016-12-22,6.242335288284175E12,7.61255884
2016-12-23,5.803577276208422E12,7.40170383
2016-12-24,5.346253227069633E12,7.33150196
2016-12-25,5.488528717057974E12,7.31269884
2016-12-26,5.826230945158011E12,7.28469181
2016-12-27,5.658404922884492E12,7.21640587
2016-12-28,5.569255917659237E12,7.3052659
2016-12-29,5.529104950576592E12,8.08511066
2016-12-30,5.512509721816679E12,8.1172781
2016-12-31,5.700958000143547E12,7.97572088
2017-01-01,5.532215619662174E12,8.44290161
2017-01-02,5.621085215069935E12,8.29045868
2017-01-03,5.657663686460161E12,8.42391968
2017-01-04,6.056903305016484E12,10.40668869
2017-01-05,6.325215511950871E12,10.17251587
2017-01-06,6.422533460213942E12,10.12520123
2017-01-07,6.459688695751442E12,10.04981232
2017-01-08,6.573733091541492E12,10.08623219
2017-01-09,6.826901411500551E12,10.32278633
2017-01-10,6.926646245661104E12,10.40650654
2017-01-11,6.903271011939697E12,9.87361526
2017-01-12,7.01667433697808E12,9.5852623
2017-01-13,7.10594311768283E12,9.74505711
2017-01-14,7.119883330119798E12,9.6504097
2017-01-15,7.253634571751033E12,9.8756094
2017-01-16,7.368338962371228E12,9.84827423
2017-01-17,7.271318422581793E12,10.10851097
2017-01-18,7.149377914667261E12,10.13010597
2017-01-19,7.405019297432866E12,10.26816368
2017-01-20,7.523504451481728E12,10.58528042
2017-01-21,7.544031501713943E12,10.85219193
2017-01-22,7.575566183067374E12,10.72018909
2017-01-23,7.773567285048313E12,10.72600555
2017-01-24,7.663345524668875E12,10.71712017
2017-01-25,7.697372408770041E12,10.5147543
2017-01-26,7.759341826384258E12,10.57678699
2017-01-27,7.883778341292186E12,10.48508549
2017-01-28,7.747313780851796E12,10.51917839
2017-01-29,7.763517017529314E12,10.49586296
2017-01-30,7.692321045182886E12,10.50073338
2017-01-31,7.950628377119258E12,10.56471634
2017-02-01,7.706551151485649E12,10.62877083
2017-02-02,7.861534714150947E12,10.67805576
2017-02-03,7.916138627912168E12,10.87989998
2017-02-04,7.828779807422141E12,11.3878479
2017-02-05,8.258964419410561E12,11.3610239
2017-02-06,8.209305201714518E12,11.39671993
2017-02-07,8.421115717115839E12,11.46568871
2017-02-08,8.349964189446401E12,11.34819221
2017-02-09,8.423522152533134E12,11.54552555
2017-02-10,8.67457953755911E12,11.06329632
2017-02-11,8.731279059494408E12,11.27564049
2017-02-12,8.778821171356198E12,11.31136131
2017-02-13,8.881794693993492E12,11.20249748
2017-02-14,9.110950846222418E12,12.58078289
2017-02-15,9.006900741817768E12,12.81957531
2017-02-16,9.123743002874451E12,12.60032368
2017-02-17,9.318779184636197E12,12.78670406
2017-02-18,9.236365160370521E12,12.7598362
2017-02-19,9.548057481567557E12,12.80346584
2017-02-20,9.556249988626201E12,12.86492729
2017-02-21,9.718881151748703E12,12.48175907
2017-02-22,9.8046599437717E12,12.70765495
2017-02-23,9.669214917929707E12,12.77905083
2017-02-24,9.839947483173893E12,13.0295639
2017-02-25,9.856994931775246E12,13.61951256
2017-02-26,1.0225571922967234E13,13.46938324
2017-02-27,1.0496734988889105E13,14.63193226
2017-02-28,1.065667961916704E13,15.80909538
2017-03-01,1.0706904620958938E13,15.73847675
2017-03-02,1.0573744508107076E13,18.7517395
2017-03-03,1.1074345394574857E13,18.50421143
2017-03-04,1.1092732577441715E13,19.98473167
2017-03-05,1.1363117839428785E13,18.85466194
2017-03-06,1.149765142368819E13,19.22690392
2017-03-07,1.141283182995512E13,19.42888832
2017-03-08,1.1723599395163033E13,18.37753296
2017-03-09,1.18722097153469E13,17.54300308
2017-03-10,1.20246646462895E13,18.28123283
2017-03-11,1.2027346212346559E13,19.06263924
2017-03-12,1.2326418130612383E13,21.85354805
2017-03-13,1.2374760457488787E13,25.04587555
2017-03-14,1.2413682256240736E13,28.24926949
2017-03-15,1.2637128602746363E13,30.52957153
2017-03-16,1.2870860462822467E13,40.88731766
2017-03-17,1.328498879699706E13,46.54584885
2017-03-18,1.379001539112789E13,36.93608093
2017-03-19,1.326727976232434E13,39.4142952
2017-03-20,1.3587044496347598E13,44.19563293
2017-03-21,1.392545507147411E13,44.21334076
2017-03-22,1.3789210564917426E13,39.89975739
2017-03-23,1.4499593234841936E13,42.05825806
