Time,ETH daily transaction fee,Price
2016-01-10,40.37,0.9913255
2016-01-11,21.25,1.06275415
2016-01-12,27.59,1.14950073
2016-01-13,51.14,1.13267255
2016-01-14,34.83,1.14019752
2016-01-15,25.41,1.29996228
2016-01-16,20.15,1.25592315
2016-01-17,21.48,1.23351443
2016-01-18,19.58,1.52444291
2016-01-19,45.13,1.38271248
2016-01-20,18.67,1.59637213
2016-01-21,20.98,1.53912294
2016-01-22,30.01,1.53445899
2016-01-23,18.46,1.52795529
2016-01-24,22.71,2.04427361
2016-01-25,28.29,2.53277397
2016-01-26,42.56,2.6500597
2016-01-27,47.31,2.36073828
2016-01-28,55.23,2.41116261
2016-01-29,35.53,2.57491207
2016-01-30,35.97,2.56336069
2016-01-31,32.89,2.47952342
2016-02-01,36.07,2.21671295
2016-02-02,29.52,2.16603947
2016-02-03,27.48,2.50334001
2016-02-04,31.37,2.52249646
2016-02-05,35.52,2.55200076
2016-02-06,216.42,2.53738356
2016-02-07,77.32,2.76247025
2016-02-08,42.37,3.02670121
2016-02-09,31.01,3.6983912
2016-02-10,73.98,4.14425755
2016-02-11,43.42,4.64397573
2016-02-12,38.77,6.36936092
2016-02-13,35.89,4.41588974
2016-02-14,30.26,4.95998287
2016-02-15,29.47,5.71886015
2016-02-16,31.37,5.26333189
2016-02-17,35.92,3.9274509
2016-02-18,36.95,3.6640377
2016-02-19,36.61,4.38084459
2016-02-20,29.66,4.59809685
2016-02-21,24.18,4.28471136
2016-02-22,31.64,4.90154696
2016-02-23,95.79,5.82967377
2016-02-24,30.89,6.15653133
2016-02-25,51.79,6.50093651
2016-02-26,52.07,5.8241024
2016-02-27,29.96,6.3977809
2016-02-28,27.08,6.52915525
2016-02-29,32.66,6.60254622
2016-03-01,31.4,6.53641224
2016-03-02,40.91,8.38777447
2016-03-03,36.21,8.52542782
2016-03-04,34.26,9.44318676
2016-03-05,32.73,11.92475796
2016-03-06,37.63,11.24402618
2016-03-07,32.79,9.89782238
2016-03-08,34.92,9.91042233
2016-03-09,24.82,10.04279709
2016-03-10,22.06,11.25952244
2016-03-11,21.15,11.04093933
2016-03-12,21.57,13.33665657
2016-03-13,24.66,14.54772949
2016-03-14,27.89,12.99977493
2016-03-15,25.34,12.53937244
2016-03-16,23.93,13.24864769
2016-03-17,32.29,11.13146973
2016-03-18,27.31,11.01172447
2016-03-19,37.37,11.00950146
2016-03-20,39.92,10.12177372
2016-03-21,32.46,10.7028656
2016-03-22,28.42,11.17704868
2016-03-23,23.92,11.58344746
2016-03-24,44.25,11.89057636
2016-03-25,38.11,10.80713367
2016-03-26,38.22,10.97277355
2016-03-27,25.71,10.64578438
2016-03-28,26.8,11.40559769
2016-03-29,20.89,11.86002159
2016-03-30,34.81,11.83287334
2016-03-31,29.35,11.88503265
2016-04-01,24.66,11.82422066
2016-04-02,18.83,11.45416546
2016-04-03,17.92,11.5846262
2016-04-04,24.19,11.15642166
2016-04-05,23.95,10.88610268
2016-04-06,26.58,10.42926121
2016-04-07,20.04,10.21233654
2016-04-08,26.86,10.27226067
2016-04-09,19.95,9.96868324
2016-04-10,19.63,8.50895214
2016-04-11,18.72,8.8178339
2016-04-12,23.96,7.67186689
2016-04-13,18.86,7.12070036
2016-04-14,44.55,8.27220345
2016-04-15,19.72,8.30276871
2016-04-16,22.86,8.35909748
2016-04-17,28.46,9.57394218
2016-04-18,21.09,9.06841278
2016-04-19,17.12,9.13057518
2016-04-20,22.03,8.53954411
2016-04-21,28.24,8.49539566
2016-04-22,26.77,8.16850376
2016-04-23,19.11,7.85513306
2016-04-24,22.42,8.24351597
2016-04-25,20.38,7.78498888
2016-04-26,24.28,7.45745134
2016-04-27,21.3,7.85904932
2016-04-28,20.69,7.28087854
2016-04-29,24.8,7.45272541
2016-04-30,25.13,9.31284428
2016-05-01,42.52,8.75332546
2016-05-02,25.7,9.1801405
2016-05-03,27.71,9.96475506
2016-05-04,26.94,9.64718056
2016-05-05,28.4,9.60092926
2016-05-06,37.94,9.75081062
2016-05-07,26.3,9.30714512
2016-05-08,27.33,9.26994324
2016-05-09,25.46,9.41054821
2016-05-10,28.55,9.40432358
2016-05-11,28.44,9.46284485
2016-05-12,38.52,10.33878708
2016-05-13,37.0,10.39747715
2016-05-14,45.69,10.29762363
2016-05-15,28.13,10.0948925
2016-05-16,30.36,10.16970253
2016-05-17,26.2,11.30505466
2016-05-18,35.23,13.38962555
2016-05-19,31.9,13.85283089
2016-05-20,35.2,14.72865677
2016-05-21,41.31,13.66317368
2016-05-22,29.04,14.05455685
2016-05-23,28.49,13.64112186
2016-05-24,28.72,13.50997543
2016-05-25,32.4,12.23726654
2016-05-26,35.12,12.3975172
2016-05-27,35.5,10.94718933
2016-05-28,72.84,10.60098743
2016-05-29,49.09,12.05819702
2016-05-30,33.21,12.33735371
2016-05-31,29.18,13.99980831
2016-06-01,33.47,14.06221104
2016-06-02,27.46,13.71955585
2016-06-03,25.4,13.43216801
2016-06-04,26.13,13.61271477
2016-06-05,23.33,13.64867115
2016-06-06,23.66,13.85687065
2016-06-07,53.46,14.37166882
2016-06-08,40.64,14.66327095
2016-06-09,26.79,14.4991045
2016-06-10,31.39,14.21828842
2016-06-11,28.57,13.91207123
2016-06-12,27.83,14.43261623
2016-06-13,34.73,16.94645119
2016-06-14,36.94,18.11354256
2016-06-15,32.44,18.37888336
2016-06-16,38.8,19.52018738
2016-06-17,168.3,16.71063805
2016-06-18,248.18,14.45183182
2016-06-19,134.5,12.41148281
2016-06-20,45.21,11.93075275
2016-06-21,56.8,11.63643742
2016-06-22,84.59,14.68105698
2016-06-23,38.62,12.69409752
2016-06-24,37.43,13.91169453
2016-06-25,32.77,14.45978928
2016-06-26,27.65,14.23734951
2016-06-27,24.5,13.82566166
2016-06-28,30.68,12.92706299
2016-06-29,31.97,12.46104908
2016-06-30,117.52,12.48039055
2016-07-01,45.4,12.38272381
2016-07-02,23.22,12.18954659
2016-07-03,30.62,12.11291218
2016-07-04,24.86,11.78057957
2016-07-05,32.0,11.4712038
2016-07-06,29.2,10.69661427
2016-07-07,26.63,10.08300591
2016-07-08,27.46,10.02820587
2016-07-09,54.47,10.93483829
2016-07-10,37.14,10.81057549
2016-07-11,26.59,10.43312836
2016-07-12,28.23,10.4793787
2016-07-13,29.67,10.48039627
2016-07-14,32.47,10.86622524
2016-07-15,29.81,12.07416058
2016-07-16,24.8,11.75248337
2016-07-17,18.61,11.31585407
2016-07-18,22.99,11.30451298
2016-07-19,25.04,11.15695477
2016-07-20,56.52,11.73404217
2016-07-21,58.17,12.3439846
2016-07-22,35.13,12.62028027
2016-07-23,37.38,14.16064739
2016-07-24,27.46,14.23389816
2016-07-25,41.97,13.25709438
2016-07-26,40.69,13.63521957
2016-07-27,47.23,12.86848545
2016-07-28,56.41,12.85945034
2016-07-29,47.83,12.63159943
2016-07-30,35.19,12.69895267
2016-07-31,29.59,11.60665894
2016-08-01,32.38,11.58598137
2016-08-02,32.18,10.71458149
2016-08-03,33.13,9.52481365
2016-08-04,34.58,10.47972965
2016-08-05,27.83,11.03745079
2016-08-06,29.3,10.87705135
2016-08-07,28.4,10.91378212
2016-08-08,46.07,10.94816113
2016-08-09,33.86,12.00621319
2016-08-10,36.31,12.29963112
2016-08-11,29.31,11.8381052
2016-08-12,33.84,11.65481853
2016-08-13,24.17,11.64356232
2016-08-14,26.68,11.57867813
2016-08-15,26.32,11.00014877
2016-08-16,31.06,11.14498329
2016-08-17,28.8,10.9684124
2016-08-18,27.89,10.86975956
2016-08-19,35.25,10.78667927
2016-08-20,26.81,11.01842213
2016-08-21,28.81,11.16414452
2016-08-22,28.74,11.19819069
2016-08-23,75.14,10.97469711
2016-08-24,27.09,11.04823494
2016-08-25,34.4,11.24854374
2016-08-26,29.26,11.29399109
2016-08-27,34.1,11.19051075
2016-08-28,24.7,11.10728836
2016-08-29,28.3,10.91968632
2016-08-30,31.42,11.19962215
2016-08-31,30.8,11.20655727
2016-09-01,32.16,12.0040493
2016-09-02,44.07,12.05083942
2016-09-03,30.1,11.68476868
2016-09-04,25.61,11.7645483
2016-09-05,50.16,11.73810863
2016-09-06,33.88,11.61868286
2016-09-07,35.06,11.6288023
2016-09-08,37.08,11.56850052
2016-09-09,40.86,11.45089531
2016-09-10,31.88,11.72736263
2016-09-11,28.17,11.85478401
2016-09-12,33.05,11.65324211
2016-09-13,31.65,12.08258915
2016-09-14,37.63,11.94601536
2016-09-15,30.93,12.00962353
2016-09-16,44.25,11.93481731
2016-09-17,41.55,12.58448887
2016-09-18,34.2,12.67479992
2016-09-19,22.96,12.73502922
2016-09-20,32.53,13.38055134
2016-09-21,31.74,14.20669651
2016-09-22,49.27,12.84622383
2016-09-23,51.94,13.10164452
2016-09-24,62.0,12.92832279
2016-09-25,81.0,12.98826027
2016-09-26,98.48,12.88971233
2016-09-27,118.43,13.16527462
2016-09-28,49.13,13.44039631
2016-09-29,54.82,13.25716496
2016-09-30,46.98,13.33109093
2016-10-01,69.61,13.13239765
2016-10-02,90.96,13.16473293
2016-10-03,83.5,13.20552063
2016-10-04,63.39,13.39880371
2016-10-05,76.15,13.25749874
2016-10-06,54.3,12.84533882
2016-10-07,58.34,12.92625523
2016-10-08,50.17,12.64265347
2016-10-09,58.17,12.26047421
2016-10-10,61.68,11.90778828
2016-10-11,35.42,12.13507748
2016-10-12,41.81,11.73500061
2016-10-13,103.64,11.99354458
2016-10-14,87.18,11.9192934
2016-10-15,64.7,11.86220741
2016-10-16,59.2,11.95855045
2016-10-17,81.47,11.92120838
2016-10-18,75.05,12.19547844
2016-10-19,98.26,12.49901009
2016-10-20,79.94,12.20103645
2016-10-21,41.75,12.08692837
2016-10-22,31.42,12.12838173
2016-10-23,25.87,11.96116257
2016-10-24,47.11,11.99033356
2016-10-25,37.08,11.26816273
2016-10-26,39.62,11.58884907
2016-10-27,32.17,11.43562508
2016-10-28,34.63,11.53957653
2016-10-29,32.64,11.10292244
2016-10-30,31.61,10.48897076
2016-10-31,32.7,11.17594051
2016-11-01,38.91,10.73330975
2016-11-02,31.71,10.9131155
2016-11-03,28.24,10.79964828
2016-11-04,27.87,10.93370247
2016-11-05,21.13,11.05909157
2016-11-06,25.24,10.87234211
2016-11-07,25.21,10.89083767
2016-11-08,32.01,10.89247608
2016-11-09,33.32,10.42971802
2016-11-10,37.61,10.55637455
2016-11-11,39.68,10.51397896
2016-11-12,35.83,10.181036
2016-11-13,32.97,10.19999409
2016-11-14,34.57,9.98183823
2016-11-15,40.33,10.24454117
2016-11-16,32.48,10.28198242
2016-11-17,33.76,10.10865688
2016-11-18,32.77,9.97877407
2016-11-19,29.37,9.57619572
2016-11-20,32.6,9.61849403
2016-11-21,33.77,9.57175732
2016-11-22,34.91,9.94512939
2016-11-23,69.04,9.87179089
