Time,BTC average computing power of the entire network,Price
2009-12-12,4617093.420907611,null
2009-12-13,4646074.156226574,null
2009-12-14,4811564.817600587,null
2009-12-15,5360222.926973148,null
2009-12-16,5406308.030009859,null
2009-12-17,5661816.7376093,null
2009-12-18,6354354.217085211,null
2009-12-19,7254989.293057218,null
2009-12-20,8126607.1927064555,null
2009-12-21,9086296.438772265,null
2009-12-22,9323555.71371598,null
2009-12-23,9187547.951004226,null
2009-12-24,8622004.719195941,null
2009-12-25,8304404.052779709,null
2009-12-26,7988443.909136731,null
2009-12-27,7903193.475873655,null
2009-12-28,7776831.306518393,null
2009-12-29,7800427.184000604,null
2009-12-30,7876917.856810328,null
2009-12-31,7990139.528815512,null
2010-01-01,8015181.023790445,null
2010-01-02,7853541.55531889,null
2010-01-03,7992563.681346772,null
2010-01-04,8734496.83318523,null
2010-01-05,9191295.085716974,null
2010-01-06,9514323.915532725,null
2010-01-07,9839620.414428735,null
2010-01-08,1.015179829110017E7,null
2010-01-09,9988876.555446599,null
2010-01-10,9805764.620306315,null
2010-01-11,9606972.896343175,null
2010-01-12,9592139.182718672,null
2010-01-13,9824181.062800154,null
2010-01-14,9888882.52647183,null
2010-01-15,9841620.261488283,null
2010-01-16,9849478.490784602,null
2010-01-17,9346828.046144113,null
2010-01-18,9303788.065598346,null
2010-01-19,9016097.732183015,null
2010-01-20,8717972.942372967,null
2010-01-21,8958388.00510674,null
2010-01-22,9072952.901874384,null
2010-01-23,9061980.92363546,null
2010-01-24,9373898.976401303,null
2010-01-25,1.0322136384995626E7,null
2010-01-26,1.115835689970159E7,null
2010-01-27,1.1279573214667346E7,null
2010-01-28,1.1602159029490808E7,null
2010-01-29,1.2217120693899207E7,null
2010-01-30,1.2535034021312756E7,null
2010-01-31,1.2526832597126443E7,null
2010-02-01,1.2199202412043942E7,null
2010-02-02,1.199251211161321E7,null
2010-02-03,1.2667639591119997E7,null
2010-02-04,1.309393574948974E7,null
2010-02-05,1.4750553792399421E7,null
2010-02-06,1.5925125407650646E7,null
2010-02-07,1.795579133409161E7,null
2010-02-08,1.8342184454737756E7,null
2010-02-09,1.8915962842706893E7,null
2010-02-10,1.802566017515368E7,null
2010-02-11,1.7644179255001675E7,null
2010-02-12,1.7476443060996022E7,null
2010-02-13,1.7281923651947934E7,null
2010-02-14,1.733725369336618E7,null
2010-02-15,1.826100514367047E7,null
2010-02-16,1.9522807855676178E7,null
2010-02-17,2.210233618771955E7,null
2010-02-18,2.4141673207723934E7,null
2010-02-19,2.4551031001931794E7,null
2010-02-20,2.639313996575404E7,null
2010-02-21,2.6946713588825837E7,null
2010-02-22,2.7187716296573225E7,null
2010-02-23,2.805569410299887E7,null
2010-02-24,2.953418495438492E7,null
2010-02-25,2.966188543968814E7,null
2010-02-26,3.0382309039540548E7,null
2010-02-27,3.0335722563583508E7,null
2010-02-28,3.045788620527786E7,null
2010-03-01,3.100366693479781E7,null
2010-03-02,3.2730407189846046E7,null
2010-03-03,3.2592712521299608E7,null
2010-03-04,3.2418121728224132E7,null
2010-03-05,3.267813816310726E7,null
2010-03-06,3.365427076273752E7,null
2010-03-07,3.2772014916825958E7,null
2010-03-08,3.1825690185430482E7,null
2010-03-09,3.264223837584015E7,null
2010-03-10,3.2454313524520338E7,null
2010-03-11,3.2309015810732998E7,null
2010-03-12,3.1675871723148193E7,null
2010-03-13,3.1976402784859095E7,null
2010-03-14,3.1495887022402715E7,null
2010-03-15,3.122183341632697E7,null
2010-03-16,3.0623407184775926E7,null
2010-03-17,3.0287521665009975E7,null
2010-03-18,3.0316026884927806E7,null
2010-03-19,3.0167074512774352E7,null
2010-03-20,3.1680831206367735E7,null
2010-03-21,3.379317041198373E7,null
2010-03-22,3.5341282389340416E7,null
2010-03-23,3.904745929670385E7,null
2010-03-24,4.085069318325472E7,null
2010-03-25,4.2148856674852744E7,null
2010-03-26,4.234900738364108E7,null
2010-03-27,4.204758829863088E7,null
2010-03-28,4.228842778990319E7,null
2010-03-29,4.202720271626628E7,null
2010-03-30,4.351586740423535E7,null
2010-03-31,4.4446409172897406E7,null
2010-04-01,4.5594938805023104E7,null
2010-04-02,4.495401300481204E7,null
2010-04-03,4.7513968851600155E7,null
2010-04-04,4.786446065424735E7,null
2010-04-05,4.8396161277146816E7,null
2010-04-06,4.747459091196186E7,null
2010-04-07,4.967704910430054E7,null
2010-04-08,5.192661428099408E7,null
2010-04-09,5.246462229434402E7,null
2010-04-10,5.576162888540374E7,null
2010-04-11,6.3154515143950045E7,null
2010-04-12,6.6414359367950365E7,null
2010-04-13,6.822593265895669E7,null
2010-04-14,7.303560122651768E7,null
2010-04-15,7.371265062185833E7,null
2010-04-16,7.469091498324862E7,null
2010-04-17,7.686241971502599E7,null
2010-04-18,8.328673515394041E7,null
2010-04-19,8.680874142622285E7,null
2010-04-20,8.681786854993096E7,null
2010-04-21,8.699500234484474E7,null
2010-04-22,8.936612608440423E7,null
2010-04-23,8.584283238547379E7,null
2010-04-24,8.696883681066737E7,null
2010-04-25,8.721879060433358E7,null
2010-04-26,9.138585205994527E7,null
2010-04-27,9.226797800565924E7,null
2010-04-28,9.313172744892699E7,null
2010-04-29,9.40208822045575E7,null
2010-04-30,9.506863819005807E7,null
2010-05-01,9.375908800581764E7,null
2010-05-02,9.429453156239602E7,null
2010-05-03,9.355919973252548E7,null
2010-05-04,8.937988373608764E7,null
2010-05-05,8.862301956435715E7,null
2010-05-06,8.962594255746059E7,null
2010-05-07,9.09670845160089E7,null
2010-05-08,8.968378597062257E7,null
2010-05-09,8.915350613141918E7,null
2010-05-10,8.804696177384736E7,null
2010-05-11,8.773658425898892E7,null
2010-05-12,8.627084272372365E7,null
2010-05-13,8.564380817394358E7,null
2010-05-14,8.38283516851989E7,null
2010-05-15,8.186441883941719E7,null
2010-05-16,7.893774396870182E7,null
2010-05-17,7.760505340936059E7,null
2010-05-18,7.928911643989158E7,null
2010-05-19,8.289850827038477E7,null
2010-05-20,8.774733590905614E7,null
2010-05-21,9.227019100327852E7,null
2010-05-22,1.0488116329856676E8,null
2010-05-23,1.1203331840760046E8,null
2010-05-24,1.1318294647444297E8,null
2010-05-25,1.1698485279886715E8,null
2010-05-26,1.2111038569399452E8,null
2010-05-27,1.210343592659466E8,null
2010-05-28,1.2061309198552498E8,null
2010-05-29,1.2425968426739201E8,null
2010-05-30,1.2365052604549827E8,null
2010-05-31,1.2202353025540349E8,null
2010-06-01,1.2120477845457141E8,null
2010-06-02,1.2012214378722562E8,null
2010-06-03,1.2058909591609348E8,null
2010-06-04,1.18917379924253E8,null
2010-06-05,1.1743811807570666E8,null
2010-06-06,1.1844624160978223E8,null
2010-06-07,1.187280838212294E8,null
2010-06-08,1.2065777680165657E8,null
2010-06-09,1.2351342896971677E8,null
2010-06-10,1.2533078691236846E8,null
2010-06-11,1.3093960044074558E8,null
2010-06-12,1.3047175366437991E8,null
2010-06-13,1.3314367510849282E8,null
2010-06-14,1.3168140693816712E8,null
2010-06-15,1.3923458645717153E8,null
2010-06-16,1.3676074749289116E8,null
2010-06-17,1.3619349512024474E8,null
2010-06-18,1.350608163890429E8,null
2010-06-19,1.372244749986186E8,null
2010-06-20,1.3789511506799802E8,null
2010-06-21,1.3595511990803534E8,null
2010-06-22,1.3333680887399662E8,null
2010-06-23,1.3913575500735414E8,null
2010-06-24,1.427204279049532E8,null
2010-06-25,1.4661410174691513E8,null
2010-06-26,1.4922322883768457E8,null
2010-06-27,1.4941939761212108E8,null
2010-06-28,1.5271896957197386E8,null
2010-06-29,1.5476302282329708E8,null
2010-06-30,1.5651914647771797E8,null
2010-07-01,1.6719004483065152E8,null
2010-07-02,1.722161342266855E8,null
2010-07-03,1.7581075035600036E8,null
2010-07-04,1.8168466965152338E8,null
2010-07-05,1.8170549662237328E8,null
2010-07-06,1.8232057848716655E8,null
2010-07-07,1.7902243777628854E8,null
2010-07-08,1.8152292539618182E8,null
2010-07-09,1.8583026023231155E8,null
2010-07-10,1.9507590897238785E8,null
2010-07-11,2.0163216691225058E8,null
2010-07-12,2.938263277124271E8,null
2010-07-13,1.052034005868595E9,null
2010-07-14,1.2646801603539984E9,null
2010-07-15,1.3640426088094327E9,null
2010-07-16,1.4390563110830758E9,null
2010-07-17,1.5348403558880522E9,0.049510000000000005
2010-07-18,1.550946404695603E9,0.08584
2010-07-19,1.549461686309776E9,0.0808
2010-07-20,1.5892114051679523E9,0.07473333333333332
2010-07-21,1.64526595790485E9,0.07921
2010-07-22,1.6427846884072278E9,0.055945
2010-07-23,1.6874686294455752E9,0.062283333333333336
2010-07-24,1.671403036142422E9,0.05454
2010-07-25,1.7292205989933767E9,0.0505
2010-07-26,1.8791745292020295E9,0.056
2010-07-27,1.9219915416642773E9,0.059844444444444436
2010-07-28,1.9654824295374444E9,0.0589
2010-07-29,2.0821525666216712E9,0.06920000000000001
2010-07-30,2.1046684653482819E9,0.06428333333333333
2010-07-31,2.1282754883957586E9,0.06785
2010-08-01,2.2320164703574705E9,0.0611
2010-08-02,2.458111111713995E9,0.06
2010-08-03,2.6690742434919577E9,0.06
2010-08-04,2.7914864726618443E9,0.05795
2010-08-05,2.8828924545627575E9,0.061
2010-08-06,2.834303549005217E9,0.0621
2010-08-07,2.760744880766582E9,0.059
2010-08-08,2.865444394435227E9,0.0609
2010-08-09,2.9835910003686895E9,0.071
2010-08-10,3.0543035231470375E9,0.07
2010-08-11,3.2555957146359653E9,0.067
2010-08-12,3.5921484577246666E9,0.07
2010-08-13,3.6730185936639314E9,0.0645
2010-08-14,3.9197669369573507E9,0.067
2010-08-15,4.340389554650465E9,0.06529
2010-08-16,4.040327819264127E9,0.0655
2010-08-17,3.9715125010287223E9,0.07
2010-08-18,3.8502236313765388E9,0.068
2010-08-19,3.8482267942289667E9,0.0667
2010-08-20,3.8428424113643517E9,0.0655
2010-08-21,3.8038026407691445E9,0.0664
2010-08-22,4.003051167136376E9,0.066
2010-08-23,4.469876890054345E9,0.06491
2010-08-24,4.8822957398117485E9,0.065
2010-08-25,5.271335459679077E9,0.0648
2010-08-26,5.413669618455525E9,0.064
2010-08-27,5.4092566796847E9,0.065
2010-08-28,5.440258893164775E9,0.0646
2010-08-29,5.361401852929162E9,0.064
2010-08-30,5.192494933994703E9,0.06497
2010-08-31,5.177359304645547E9,0.06
2010-09-01,5.184161836377375E9,0.062300000000000015
2010-09-02,5.136980189696613E9,0.0631
2010-09-03,4.999874395800532E9,0.06085
2010-09-04,5.127679034503684E9,0.06238
2010-09-05,5.196053221790769E9,0.0616
2010-09-06,5.156669175975232E9,0.0616
2010-09-07,5.0360641299011135E9,0.061505
2010-09-08,5.069094701069502E9,0.061495
2010-09-09,5.151043221035171E9,0.06111000000000001
2010-09-10,5.27276915996506E9,0.0618
2010-09-11,5.321114877124393E9,0.06366000000000001
2010-09-12,5.530567728035311E9,0.0615
2010-09-13,5.7209565306269655E9,0.062179999999999985
2010-09-14,6.067208859130163E9,0.06199
2010-09-15,6.298460078191451E9,0.0604
2010-09-16,6.395591182726075E9,0.0618
2010-09-17,6.724767211082632E9,0.05938
2010-09-18,7.167760464376048E9,0.061
2010-09-19,7.55615776462869E9,0.0627
2010-09-20,8.376771035562387E9,0.0621
2010-09-21,8.562256849159042E9,0.06265
2010-09-22,8.564585910165395E9,0.062038
2010-09-23,8.814253941134666E9,0.06231
2010-09-24,9.328123634060728E9,0.0622
2010-09-25,9.19947788106068E9,0.06202000000000001
2010-09-26,9.442613544426237E9,0.06219
2010-09-27,1.0156164328581087E10,0.0622
2010-09-28,9.984998754602182E9,0.061904999999999995
2010-09-29,9.960074200481941E9,0.06183
2010-09-30,9.907652352151974E9,0.0619
2010-10-01,1.0160242681995926E10,0.06197
2010-10-02,9.804321204599451E9,0.0614
2010-10-03,9.403812065869324E9,0.06111000000000001
2010-10-04,9.343910518011677E9,0.06129
2010-10-05,9.199753586955687E9,0.0614
2010-10-06,9.068216851916788E9,0.06297666666666668
2010-10-07,9.247027837409369E9,0.067
2010-10-08,9.214967573673765E9,0.084925
2010-10-09,9.587244321993818E9,0.0938
2010-10-10,1.0258299227163086E10,0.0965
2010-10-11,1.0553438781795208E10,0.095
2010-10-12,1.0673214038068844E10,0.0949
2010-10-13,1.0938863670484325E10,0.105
2010-10-14,1.119633500925919E10,0.102
2010-10-15,1.1668928115083918E10,0.105
2010-10-16,1.2595224451773592E10,0.101
2010-10-17,1.4927752648108477E10,0.102
2010-10-18,1.615473828771079E10,0.1024
2010-10-19,1.7456616495475033E10,0.09715
2010-10-20,1.7620986851784786E10,0.099
2010-10-21,1.7407705786012154E10,0.107
2010-10-22,1.7592278569685413E10,0.106
2010-10-23,1.7727142950430534E10,0.104995
2010-10-24,1.825582694423867E10,0.11501
2010-10-25,1.9129416639158047E10,0.132
2010-10-26,2.0484009916341618E10,0.1503
2010-10-27,2.1808797646735023E10,0.1877
2010-10-28,2.298937307252373E10,0.1731
2010-10-29,2.3996781694023895E10,0.19
2010-10-30,2.4700495148450138E10,0.1989
2010-10-31,2.493801327888315E10,0.1925
2010-11-01,2.574395503998576E10,0.1955
2010-11-02,2.6430878601403072E10,0.1938
2010-11-03,2.7316050453331097E10,0.1931
2010-11-04,2.82416476975986E10,0.23
2010-11-05,2.9219326710948177E10,0.2639
2010-11-06,3.0164972003656776E10,0.38
2010-11-07,3.2580034677210743E10,0.34
2010-11-08,3.530737689413506E10,0.243
2010-11-09,3.7126741468573456E10,0.21
2010-11-10,3.9283445362461494E10,0.2362
2010-11-11,4.329236373585518E10,0.2231
2010-11-12,4.3777391776407486E10,0.2682
2010-11-13,4.4510401062348366E10,0.276
2010-11-14,4.72628657317491E10,0.27904
2010-11-15,4.851730247268817E10,0.2682
2010-11-16,4.595039537923013E10,0.225
2010-11-17,5.048158441170647E10,0.24736666666666665
2010-11-18,5.180970021351231E10,0.2678
2010-11-19,5.238550942067827E10,0.2752
2010-11-20,5.080992635336316E10,0.283955
2010-11-21,5.0638848084720436E10,0.27675
2010-11-22,5.195851045046069E10,0.2843
2010-11-23,5.152154590975362E10,0.28295
2010-11-24,5.225067565359342E10,0.28299
2010-11-25,5.068882644709674E10,0.28
2010-11-26,5.490557781926603E10,0.2844
2010-11-27,5.835756648905891E10,0.28300000000000003
2010-11-28,5.845176636103997E10,0.2710819672131145
2010-11-29,6.234600112716805E10,0.23305
2010-11-30,6.707269736800514E10,0.2082
2010-12-01,6.643581893605107E10,0.2275
2010-12-02,6.875468178687593E10,0.255
2010-12-03,7.289066557575052E10,0.25105
2010-12-04,7.734491298908127E10,0.206
2010-12-05,8.128650831393532E10,0.195
2010-12-06,8.706093318668034E10,0.204
2010-12-07,9.193874578758076E10,0.2366
2010-12-08,9.32281003011862E10,0.2388
2010-12-09,9.54329168647361E10,0.192105
2010-12-10,9.32720392322916E10,0.20385
2010-12-11,9.469985044169156E10,0.228
2010-12-12,9.831229526351962E10,0.22
2010-12-13,9.741136525909886E10,0.2299
2010-12-14,9.715736484603879E10,0.24669
2010-12-15,9.870210617941365E10,0.24
2010-12-16,1.0369357643569016E11,0.24996
2010-12-17,1.048547736225775E11,0.24
2010-12-18,1.0230403839341908E11,0.241
2010-12-19,1.0559432086285498E11,0.2401
2010-12-20,1.0655436758002016E11,0.267
2010-12-21,1.0637551122568365E11,0.24
2010-12-22,1.0697490121526035E11,0.25
2010-12-23,1.0645506352186107E11,0.24875250000000002
2010-12-24,1.0930178545261188E11,0.248
2010-12-25,1.1073658579126459E11,0.2499
2010-12-26,1.0987869837020087E11,0.265
2010-12-27,1.1046803364848967E11,0.265
2010-12-28,1.1131064764113174E11,0.281
2010-12-29,1.1425610024737E11,0.2998
2010-12-30,1.1617085322972176E11,0.3
2010-12-31,1.1656365426848955E11,0.3
2011-01-01,1.2068954521393335E11,0.3
2011-01-02,1.2335353407775452E11,0.29997
2011-01-03,1.2299979066169595E11,0.295
2011-01-04,1.2151875055287785E11,0.29895
2011-01-05,1.2331864095976677E11,0.29892
2011-01-06,1.2334217564045723E11,0.298
2011-01-07,1.2183655256471257E11,0.32
