Time,LTC total addresses,Price
2012-06-16,411699,
2012-06-17,412704,
2012-06-18,413805,
2012-06-19,414801,
2012-06-20,415912,
2012-06-21,417054,
2012-06-22,418241,
2012-06-23,419548,
2012-06-24,420938,
2012-06-25,422446,
2012-06-26,423794,
2012-06-27,424934,
2012-06-28,426271,
2012-06-29,427458,
2012-06-30,428573,
2012-07-01,429714,
2012-07-02,430846,
2012-07-03,432135,
2012-07-04,433648,
2012-07-05,435184,
2012-07-06,436645,
2012-07-07,438256,
2012-07-08,440120,
2012-07-09,442396,
2012-07-10,444027,
2012-07-11,445311,
2012-07-12,446515,
2012-07-13,447635,
2012-07-14,448926,
2012-07-15,450246,
2012-07-16,451741,
2012-07-17,453575,
2012-07-18,455067,
2012-07-19,456617,
2012-07-20,458168,
2012-07-21,459541,
2012-07-22,460750,
2012-07-23,462280,
2012-07-24,463951,
2012-07-25,465933,
2012-07-26,467161,
2012-07-27,468660,
2012-07-28,470075,
2012-07-29,471645,
2012-07-30,473305,
2012-07-31,475209,
2012-08-01,477544,
2012-08-02,479340,
2012-08-03,480974,
2012-08-04,482311,
2012-08-05,484283,
2012-08-06,485558,
2012-08-07,486644,
2012-08-08,487770,
2012-08-09,489190,
2012-08-10,490348,
2012-08-11,491508,
2012-08-12,492916,
2012-08-13,494408,
2012-08-14,495670,
2012-08-15,496964,
2012-08-16,498375,
2012-08-17,499663,
2012-08-18,500782,
2012-08-19,502065,
2012-08-20,503658,
2012-08-21,505169,
2012-08-22,506283,
2012-08-23,507453,
2012-08-24,508629,
2012-08-25,510305,
2012-08-26,511753,
2012-08-27,513257,
2012-08-28,514688,
2012-08-29,515998,
2012-08-30,517613,
2012-08-31,519181,
2012-09-01,520554,
2012-09-02,524484,
2012-09-03,528310,
2012-09-04,531692,
2012-09-05,535433,
2012-09-06,537278,
2012-09-07,538604,
2012-09-08,540145,
2012-09-09,542270,
2012-09-10,544440,
2012-09-11,547200,
2012-09-12,548864,
2012-09-13,550594,
2012-09-14,552115,
2012-09-15,554748,
2012-09-16,556374,
2012-09-17,558249,
2012-09-18,559534,
2012-09-19,562033,
2012-09-20,563902,
2012-09-21,565481,
2012-09-22,567042,
2012-09-23,568615,
2012-09-24,570156,
2012-09-25,571827,
2012-09-26,573314,
2012-09-27,574775,
2012-09-28,576270,
2012-09-29,577710,
2012-09-30,579260,
2012-10-01,580689,
2012-10-02,582267,
2012-10-03,583860,
2012-10-04,585305,
2012-10-05,586805,
2012-10-06,588412,
2012-10-07,590006,
2012-10-08,591460,
2012-10-09,593221,
2012-10-10,595225,
2012-10-11,597069,
2012-10-12,599297,
2012-10-13,601749,
2012-10-14,603905,
2012-10-15,606724,
2012-10-16,609884,
2012-10-17,611732,
2012-10-18,614072,
2012-10-19,615665,
2012-10-20,617208,
2012-10-21,618819,
2012-10-22,620437,
2012-10-23,622819,
2012-10-24,625096,
2012-10-25,626803,
2012-10-26,628251,
2012-10-27,629658,
2012-10-28,631120,
2012-10-29,632442,
2012-10-30,634151,
2012-10-31,635834,
2012-11-01,637495,
2012-11-02,638998,
2012-11-03,641235,
2012-11-04,642966,
2012-11-05,644663,
2012-11-06,646225,
2012-11-07,647755,
2012-11-08,648930,
2012-11-09,650250,
2012-11-10,651544,
2012-11-11,653182,
2012-11-12,654605,
2012-11-13,656230,
2012-11-14,657836,
2012-11-15,659620,
2012-11-16,661088,
2012-11-17,662667,
2012-11-18,663973,
2012-11-19,665295,
2012-11-20,666639,
2012-11-21,668080,
2012-11-22,669628,
2012-11-23,671333,
2012-11-24,673005,
2012-11-25,674898,
2012-11-26,676685,
2012-11-27,678273,
2012-11-28,679844,
2012-11-29,682283,
2012-11-30,684815,
2012-12-01,687299,
2012-12-02,688591,
2012-12-03,689400,
2012-12-04,690397,
2012-12-05,691466,
2012-12-06,692450,
2012-12-07,693628,
2012-12-08,695775,
2012-12-09,698614,
2012-12-10,700871,
2012-12-11,701797,
2012-12-12,702782,
2012-12-13,703725,
2012-12-14,704874,
2012-12-15,706233,
2012-12-16,708386,
2012-12-17,710470,
2012-12-18,711488,
2012-12-19,712422,
2012-12-20,713360,
2012-12-21,714513,
2012-12-22,715645,
2012-12-23,717284,
2012-12-24,719156,
2012-12-25,720782,
2012-12-26,721812,
2012-12-27,722833,
2012-12-28,723875,
2012-12-29,724830,
2012-12-30,726006,
2012-12-31,727410,
2013-01-01,728692,
2013-01-02,729801,
2013-01-03,730748,
2013-01-04,731885,
2013-01-05,732893,
2013-01-06,734117,
2013-01-07,735553,
2013-01-08,736898,
2013-01-09,738322,
2013-01-10,739569,
2013-01-11,741063,
2013-01-12,742236,
2013-01-13,743334,
2013-01-14,744737,
2013-01-15,746479,
2013-01-16,747899,
2013-01-17,749106,
2013-01-18,750193,
2013-01-19,751283,
2013-01-20,752548,
2013-01-21,753695,
2013-01-22,755248,
2013-01-23,757003,
2013-01-24,758967,
2013-01-25,760575,
2013-01-26,762925,
2013-01-27,764288,
2013-01-28,765824,
2013-01-29,767206,
2013-01-30,769004,
2013-01-31,770430,
2013-02-01,771757,
2013-02-02,773150,
2013-02-03,774671,
2013-02-04,776137,
2013-02-05,777505,
2013-02-06,779035,
2013-02-07,780796,
2013-02-08,782448,
2013-02-09,784554,
2013-02-10,787360,
2013-02-11,789320,
2013-02-12,791411,
2013-02-13,792947,
2013-02-14,794582,
2013-02-15,796282,
2013-02-16,798197,
2013-02-17,800155,
2013-02-18,802510,
2013-02-19,804465,
2013-02-20,806489,
2013-02-21,808077,
2013-02-22,809729,
2013-02-23,812082,
2013-02-24,813987,
2013-02-25,816253,
2013-02-26,818104,
2013-02-27,820507,
2013-02-28,823793,
2013-03-01,826910,
2013-03-02,829553,
2013-03-03,831642,
2013-03-04,834360,
2013-03-05,836831,
2013-03-06,839729,
2013-03-07,842780,
2013-03-08,845171,
2013-03-09,847792,
2013-03-10,850640,
2013-03-11,866754,
2013-03-12,871104,
2013-03-13,875221,
2013-03-14,879415,
2013-03-15,883368,
2013-03-16,886983,
2013-03-17,890738,
2013-03-18,894147,
2013-03-19,897604,
2013-03-20,900583,
2013-03-21,904507,
2013-03-22,907441,
2013-03-23,910602,
2013-03-24,914248,
2013-03-25,919328,
2013-03-26,924600,
2013-03-27,929583,
2013-03-28,934256,
2013-03-29,938688,
2013-03-30,943724,
2013-03-31,948928,
2013-04-01,955192,
2013-04-02,964499,
2013-04-03,977316,
2013-04-04,987926,
2013-04-05,999206,
2013-04-06,1009471,
2013-04-07,1018592,
2013-04-08,1030174,
2013-04-09,1040946,
2013-04-10,1053414,
2013-04-11,1065928,
2013-04-12,1076567,
2013-04-13,1086708,
2013-04-14,1097476,
2013-04-15,1106612,
2013-04-16,1115815,
2013-04-17,1124970,
2013-04-18,1133516,
2013-04-19,1142576,
2013-04-20,1150050,
2013-04-21,1158454,
2013-04-22,1167266,
2013-04-23,1175540,
2013-04-24,1184560,
2013-04-25,1194649,
2013-04-26,1203373,
2013-04-27,1212788,
2013-04-28,1222954,
2013-04-29,1232681,
2013-04-30,1243213,4.40351725
2013-05-01,1252722,4.28954124
2013-05-02,1261923,3.78002214
2013-05-03,1269588,3.3904376
2013-05-04,1276644,3.03227091
2013-05-05,1282811,3.49312592
2013-05-06,1292818,3.59422016
2013-05-07,1303010,3.37086749
2013-05-08,1313043,3.28361988
2013-05-09,1324409,3.39939594
2013-05-10,1337349,3.4065299
2013-05-11,1345377,3.46038008
2013-05-12,1352636,3.36281109
2013-05-13,1359794,3.26088858
2013-05-14,1367379,3.28101492
2013-05-15,1374393,2.82399011
2013-05-16,1381995,2.92974305
2013-05-17,1389482,2.89141655
2013-05-18,1395278,3.19864917
2013-05-19,1401397,3.30205488
2013-05-20,1407819,3.31485009
2013-05-21,1414597,3.19326329
2013-05-22,1420278,3.09191275
2013-05-23,1426140,3.11852193
2013-05-24,1432428,3.17013001
2013-05-25,1438409,3.18774509
2013-05-26,1443658,3.12410855
2013-05-27,1448722,3.23070002
2013-05-28,1454112,3.10280037
2013-05-29,1459759,3.09212899
2013-05-30,1465158,3.07745743
2013-05-31,1470791,2.97139311
2013-06-01,1475470,2.94213581
2013-06-02,1479914,2.82779098
2013-06-03,1484632,2.73052502
2013-06-04,1489447,2.70330501
2013-06-05,1494239,2.8674674
2013-06-06,1498839,2.87684035
2013-06-07,1503935,2.7791369
2013-06-08,1508864,2.60405993
2013-06-09,1514095,2.55273461
2013-06-10,1519835,2.38438463
2013-06-11,1524720,2.49284434
2013-06-12,1529549,2.41216993
2013-06-13,1534404,2.39850903
