Time,LTC full node data size,Price
2012-04-23,551.20161800,
2012-04-24,551.83275000,
2012-04-25,552.26643300,
2012-04-26,552.61357800,
2012-04-27,553.00416000,
2012-04-28,553.44933500,
2012-04-29,553.79373400,
2012-04-30,554.19447200,
2012-05-01,554.70150400,
2012-05-02,555.18684400,
2012-05-03,556.17623400,
2012-05-04,556.60017500,
2012-05-05,557.01485400,
2012-05-06,557.38904800,
2012-05-07,557.77235100,
2012-05-08,558.18870700,
2012-05-09,558.56086600,
2012-05-10,558.94850700,
2012-05-11,559.47231400,
2012-05-12,559.79864500,
2012-05-13,560.29751500,
2012-05-14,560.77367700,
2012-05-15,561.18722400,
2012-05-16,561.51795200,
2012-05-17,561.92751700,
2012-05-18,562.42548100,
2012-05-19,562.86723700,
2012-05-20,563.24255100,
2012-05-21,563.75280300,
2012-05-22,564.20546900,
2012-05-23,564.62167600,
2012-05-24,565.14659500,
2012-05-25,565.67623000,
2012-05-26,566.17326500,
2012-05-27,566.56509400,
2012-05-28,567.09175500,
2012-05-29,567.52993200,
2012-05-30,567.99945700,
2012-05-31,568.79297000,
2012-06-01,569.15286100,
2012-06-02,569.53154900,
2012-06-03,570.03147400,
2012-06-04,570.45155000,
2012-06-05,571.16746300,
2012-06-06,571.73724400,
2012-06-07,572.14549500,
2012-06-08,572.51478800,
2012-06-09,572.92043200,
2012-06-10,573.34958800,
2012-06-11,573.69721500,
2012-06-12,574.15581300,
2012-06-13,574.62656700,
2012-06-14,574.99574700,
2012-06-15,575.47088500,
2012-06-16,575.90766300,
2012-06-17,576.33106900,
2012-06-18,576.70416900,
2012-06-19,577.01413100,
2012-06-20,577.41955300,
2012-06-21,577.78353500,
2012-06-22,578.22236900,
2012-06-23,578.83688300,
2012-06-24,579.34608300,
2012-06-25,579.98178000,
2012-06-26,580.62917700,
2012-06-27,581.17157900,
2012-06-28,581.66546200,
2012-06-29,582.19344800,
2012-06-30,583.01814500,
2012-07-01,583.57691500,
2012-07-02,583.93620300,
2012-07-03,584.49426000,
2012-07-04,585.27579600,
2012-07-05,586.59578200,
2012-07-06,587.42563100,
2012-07-07,588.46712200,
2012-07-08,590.18809600,
2012-07-09,591.74614700,
2012-07-10,592.62030600,
2012-07-11,593.19151200,
2012-07-12,593.64468500,
2012-07-13,594.11302400,
2012-07-14,594.72403600,
2012-07-15,595.22865500,
2012-07-16,596.12511700,
2012-07-17,597.14201400,
2012-07-18,597.90335300,
2012-07-19,598.51047100,
2012-07-20,599.11165200,
2012-07-21,599.72431100,
2012-07-22,600.16484400,
2012-07-23,600.83188200,
2012-07-24,601.55428800,
2012-07-25,602.75493600,
2012-07-26,603.21236000,
2012-07-27,603.92684200,
2012-07-28,604.62661100,
2012-07-29,605.30177800,
2012-07-30,606.17382200,
2012-07-31,611.98960300,
2012-08-01,612.97678100,
2012-08-02,613.76695800,
2012-08-03,614.68417200,
2012-08-04,615.50661000,
2012-08-05,617.32408700,
2012-08-06,617.93048200,
2012-08-07,618.39152700,
2012-08-08,618.81157900,
2012-08-09,619.36167500,
2012-08-10,619.87383300,
2012-08-11,620.38326600,
2012-08-12,621.01190600,
2012-08-13,621.74257000,
2012-08-14,622.35662800,
2012-08-15,622.94153600,
2012-08-16,623.49863300,
2012-08-17,624.06917900,
2012-08-18,624.46809200,
2012-08-19,625.00441800,
2012-08-20,625.68590000,
2012-08-21,626.25758400,
2012-08-22,626.68102600,
2012-08-23,627.20440200,
2012-08-24,627.64644000,
2012-08-25,628.23714400,
2012-08-26,628.72496100,
2012-08-27,629.33456700,
2012-08-28,629.88562900,
2012-08-29,630.31477500,
2012-08-30,630.94975300,
2012-08-31,631.58087400,
2012-09-01,632.18144100,
2012-09-02,633.60803400,
2012-09-03,635.02090000,
2012-09-04,636.35208900,
2012-09-05,637.67275200,
2012-09-06,638.45045500,
2012-09-07,638.97050900,
2012-09-08,639.53729000,
2012-09-09,640.51583100,
2012-09-10,641.33753100,
2012-09-11,642.52573200,
2012-09-12,643.27153400,
2012-09-13,644.07087300,
2012-09-14,645.40412600,
2012-09-15,646.81409400,
2012-09-16,647.64788500,
2012-09-17,648.60882000,
2012-09-18,649.24222800,
2012-09-19,650.31910700,
2012-09-20,651.06105500,
2012-09-21,651.77485200,
2012-09-22,652.44847800,
2012-09-23,653.07969900,
2012-09-24,653.74743600,
2012-09-25,655.00370100,
2012-09-26,655.67572200,
2012-09-27,656.32228300,
2012-09-28,656.96320600,
2012-09-29,657.60596800,
2012-09-30,658.29976900,
2012-10-01,658.80690100,
2012-10-02,659.54257100,
2012-10-03,660.24287100,
2012-10-04,661.67509300,
2012-10-05,662.26936500,
2012-10-06,662.94880600,
2012-10-07,663.68162800,
2012-10-08,664.36722600,
2012-10-09,665.10882500,
2012-10-10,666.18522400,
2012-10-11,666.99702000,
2012-10-12,668.05684100,
2012-10-13,669.41031200,
2012-10-14,670.25126500,
2012-10-15,671.44877400,
2012-10-16,672.79984900,
2012-10-17,673.52796900,
2012-10-18,674.54705000,
2012-10-19,675.30097500,
2012-10-20,676.04476900,
2012-10-21,676.59027100,
2012-10-22,677.36214200,
2012-10-23,678.27322900,
2012-10-24,679.10713100,
2012-10-25,679.88804900,
2012-10-26,680.48068000,
2012-10-27,681.30561900,
2012-10-28,681.83466300,
2012-10-29,682.54915200,
2012-10-30,683.12841500,
2012-10-31,683.76229000,
2012-11-01,684.51439500,
2012-11-02,685.13455700,
2012-11-03,686.02527800,
2012-11-04,686.74464400,
2012-11-05,687.65981600,
2012-11-06,688.30967600,
2012-11-07,689.00716500,
2012-11-08,689.60047400,
2012-11-09,690.24562300,
2012-11-10,690.80441400,
2012-11-11,691.50826800,
2012-11-12,692.08616900,
2012-11-13,692.78405100,
2012-11-14,693.44248100,
2012-11-15,694.14604200,
2012-11-16,694.71499200,
2012-11-17,695.32279000,
