Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,BIC_HshRt,D_AvgPrc
2020-12-31,129.48028564453125,130.16624450683594,123.03648376464844,124.69032287597656,6274573135,8334097658.55,0.06360257,247.3169488,0.0002285199289679,8.91513635,126397.0,59759.0,63774.0,245567399307950.0,126.84333419799805
2021-01-01,124.67276763916016,133.18576049804688,123.3280792236328,126.2303466796875,7326980728,8451272984.025,0.04542655,257.80746995,0.0002094897769538,8.91513635,106138.0,48758.0,51514.0,265860731765080.0,126.85423851013184
2021-01-02,126.27296447753906,140.37257385253906,123.69361877441406,136.94488525390625,10532067985,8738095453.2,0.05474458,254.52803874,0.0002118128300056,8.89227998,117800.0,53584.0,59802.0,253544029948900.0,131.8210105895996
2021-01-03,136.94940185546875,163.8986358642578,135.7399139404297,160.19058227539062,15385661271,10084217559.675,0.06727745,259.38945803,0.0002570717607317,8.89227998,142332.0,66018.0,72379.0,262464014274500.0,149.19463348388672
2021-01-04,160.2711639404297,173.02781677246094,143.62396240234375,154.8073272705078,13659785704,10175796727.775,0.06719121,270.83925847,0.0002764686544732,8.89227998,150561.0,69704.0,74521.0,276140360825630.0,157.93256759643555
2021-01-05,154.89755249023438,162.85018920898438,147.4000701904297,158.5947723388672,10192818976,10317222137.075,0.06516813,265.19008869,0.0002704500605544,8.89227998,153697.0,66927.0,62258.0,264957971567530.0,155.9356460571289
2021-01-06,158.6659698486328,169.65745544433594,155.45286560058594,169.0169219970703,10743884477,10999196260.0,0.08148439,266.27417306,0.0003027479030712,9.28400012,185139.0,67749.0,65739.0,276447476037060.0,163.19830322265625
2021-01-07,169.06822204589844,180.87338256835932,162.80654907226562,169.61595153808594,13099581396,11398304938.05,0.07624766,276.16829529,0.0003064054057142,9.28400012,157075.0,72225.0,70875.0,275715127972510.0,170.59102630615234
2021-01-08,169.6415252685547,181.76663208007807,151.65025329589844,173.27987670898438,14705614969,11495002650.025,0.08041632,279.62464977,0.0003645934340443,9.28400012,163803.0,74566.0,67553.0,281997805430760.0,169.0845718383789
2021-01-09,173.25375366210938,179.09007263183594,164.15248107910156,177.4839324951172,11136779198,11391980199.15,0.06888499,288.49439189,0.0002911146641664,9.75144433,145980.0,69291.0,62129.0,296905070133954.0,173.49505996704102
2021-01-10,177.47718811035156,185.7803497314453,163.7847900390625,171.11483764648438,12774461582,11603841772.325,0.07407316,297.45390242,0.0003102457224786,9.75144433,147584.0,67822.0,64341.0,299104294416430.0,174.53929138183594
2021-01-11,171.09483337402344,171.09483337402344,114.95645904541016,139.25222778320312,17994263494,8331518866.65,0.06669536,298.88521663,0.0003412342749094,9.75144433,155877.0,59519.0,63199.0,301232693703518.0,149.09958839416504
2021-01-12,139.07998657226562,146.7163848876953,128.9265899658203,132.6359100341797,11898878222,9106656315.2,0.07406038,291.84112,0.0002806773962327,10.36838689,173004.0,81205.0,65194.0,300268717089710.0,136.83971786499023
2021-01-13,132.658935546875,147.87789916992188,126.86204528808594,147.4213409423828,8421748673,9242172770.8125,0.0597891,285.28076412,0.0002482387178292,10.36838689,137596.0,61009.0,57933.0,292703366037360.0,138.7050552368164
2021-01-14,147.37974548339844,156.56692504882812,144.1827850341797,152.08457946777344,8271411810,10245993699.375,0.05728849,294.70077861,0.0002719641887668,10.36838689,143537.0,64346.0,59841.0,297840664645150.0,150.05350875854492
2021-01-15,152.1115264892578,155.1172332763672,132.19332885742188,144.237548828125,8416625031,9102498220.8,0.06174872,301.63976049,0.000300582881253,10.36838689,144392.0,66429.0,55993.0,294410928898010.0,145.91490936279297
2021-01-16,144.1881866455078,152.06082153320312,140.00201416015625,144.2654266357422,7183807955,10019104864.3125,0.05505776,289.03033476,0.0002344517289159,10.20706515,140961.0,66740.0,55931.0,288549336772040.0,145.12911224365234
2021-01-17,144.22483825683594,146.82423400878906,137.0695037841797,142.43081665039062,6098835633,9507012620.9625,0.04935572,299.83560245,0.0002157106721389,10.20706515,133264.0,62199.0,54334.0,308212449553800.0,142.63734817504883
2021-01-18,142.4346466064453,154.52569580078125,138.81143188476562,152.1440887451172,6640211538,10145825101.025,0.05711567,292.80482752,0.0002441000966073,10.20706515,139479.0,63316.0,56828.0,292101307785390.0,146.97896575927734
2021-01-19,152.1975555419922,165.92430114746094,150.48788452148438,153.4874267578125,9314780275,10789827056.625,0.06188426,288.19804933,0.0002478553384653,10.28545764,160925.0,69448.0,60405.0,293338674947660.0,155.5242919921875
2021-01-20,153.35609436035156,156.13848876953125,139.0926971435547,149.93142700195312,9002037330,9395230529.4375,0.07233312,286.20977939,0.0002266026120873,10.28545764,157922.0,73220.0,72042.0,288596403968323.0,149.62967681884766
2021-01-21,149.944091796875,149.944091796875,126.23419952392578,130.1334991455078,8703006148,8752751728.4875,0.06259987,292.09821895,0.0002147500662785,10.28545764,155830.0,71442.0,73176.0,293517374272580.0,139.0639705657959
2021-01-22,130.07383728027344,141.0155029296875,123.6469268798828,137.27145385742188,8550579025,9373504321.125,0.05975052,290.45397449,0.0002114857547048,10.28545764,147756.0,64143.0,62382.0,286219257644990.0,133.0019302368164
2021-01-23,137.19769287109375,142.33926391601562,135.1113739013672,137.75099182128906,5380627901,9292011171.3,0.0566319,291.51728612,0.0001875847643641,10.0850732,142320.0,65819.0,63509.0,287263809614000.0,138.0998306274414
2021-01-24,137.73870849609375,142.65240478515625,134.4783935546875,141.47731018066406,4972171240,9219631024.575,0.05177079,299.03342199,0.000170413685375,10.0850732,134677.0,59264.0,60561.0,302722398422160.0,139.0867042541504
