Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2017-11-19,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,1181529984,0.22,14229082585,6266,14551,13.6,190248,15515,6714834,23975090718,46,34230680994.78554,77238.0,449378,12720582.556889571,354.4544906616211
2017-11-20,354.093994140625,372.1369934082031,353.2890014648437,366.7300109863281,807027008,0.26,16089304528,6176,16654,13.81,220195,11954,6713109,26027982305,85,34679764572.963455,96314.0,507333,16158683.060373597,361.5625
2017-11-21,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,949912000,0.25,17548793491,6174,16182,13.8,218786,13914,6715338,25906539931,81,35428324633.504906,96993.0,529870,17121237.64674622,362.75174713134766
2017-11-22,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,800819008,0.25,16469836119,6242,15978,13.67,221517,17558,6716259,26017543726,75,34847857502.405045,102601.0,543224,17030213.903094124,370.6327590942383
2017-11-23,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,1845680000,0.27,15992127664,6190,16029,13.73,226587,20908,6715977,26725364867,77,39589635721.2138,95269.0,534787,16861831.95009087,398.3102493286133
2017-11-24,412.5010070800781,480.9729919433594,402.7579956054688,474.9110107421875,2292829952,0.28,15456892039,6234,15104,13.68,218669,20574,6713855,26317732352,74,39543119594.505486,115050.0,526149,16403109.9743723,442.78575134277344
2017-11-25,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,1422080000,0.24,12891179323,6201,16192,13.69,217824,17320,6717095,27394849746,55,45569312927.85049,143052.0,582150,15424277.32512082,472.0492477416992
2017-11-26,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,1197779968,0.31,14953923259,6169,16099,13.79,221071,19358,6715381,27674135132,80,44153914097.16278,91857.0,512176,15388348.66841722,465.40824127197266
2017-11-27,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,1396480000,0.29,15537337870,6086,22187,14.02,261418,11180,6717512,30599511959,61,46134728975.41965,102164.0,596422,18651621.68320798,478.4440002441406
2017-11-28,480.51800537109375,482.4800109863281,466.3469848632813,472.9020080566406,1346499968,0.31,16779210323,6094,18980,13.95,279130,27819,6717145,30288687055,73,46095688455.28391,113474.0,632945,22545553.765813254,475.56175231933594
2017-11-29,473.281005859375,522.3070068359375,425.0710144042969,427.5230102539063,2675940096,0.29,17499867713,6108,18539,13.92,300257,13008,6716943,29519996063,91,47671892487.11046,136728.0,646205,29228578.199764084,462.0455093383789
2017-11-30,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,1903040000,0.28,16354038320,6151,18059,13.83,286670,9617,6716861,28880894729,92,39256042877.60332,112790.0,651132,28702166.50607905,436.2672576904297
2017-12-01,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,1247879936,0.31,14561757161,6127,18184,13.89,269459,19158,6718817,31811531693,79,43900048172.24516,124891.0,641016,20418603.912791666,453.1675109863281
2017-12-02,466.85101318359375,476.239013671875,456.6530151367188,463.4490051269531,943649984,0.25,13179215357,6053,17954,14.07,271772,10478,6720306,30183667434,60,45094146320.34218,112814.0,625443,22445696.689461254,465.79801177978516
2017-12-03,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,990556992,0.27,14068434201,6029,19326,14.08,294406,8424,6721650,33003047721,52,44419268513.87356,100872.0,642128,22977472.39989956,466.05599212646484
2017-12-04,466.0539855957031,474.7770080566406,453.31201171875,470.2040100097656,1005550016,0.53,21962218932,5671,19741,14.86,277304,13428,6722294,34887121288,55,44847316121.92413,122546.0,712422,25424221.00113996,466.08675384521484
2017-12-05,470.29400634765625,473.5580139160156,457.6600036621094,463.281005859375,1216720000,0.78,30921177676,5588,19800,14.94,291425,10495,6726859,35038771633,56,45069102356.49757,136151.0,713651,11970137.125695186,466.19825744628906
2017-12-06,462.60400390625,462.7080078125,420.2099914550781,428.5880126953125,1998259968,0.82,42116421717,5473,21174,15.36,382371,14972,6722801,33872524569,31,43870554702.35615,172379.0,763422,10956453.272531988,443.52750396728516
2017-12-07,426.3689880371094,441.3970031738281,414.4110107421875,434.4079895019531,2129570048,1.43,59656597683,5798,17899,14.57,292205,35111,6730260,37125990058,46,40942492270.433815,180354.0,696178,14006447.84020913,429.14624786376953
2017-12-08,434.989013671875,466.06201171875,422.3670043945313,456.031005859375,2336379904,1.36,61102848374,5803,21220,14.58,334093,8584,6735817,37650148331,48,43637116926.87376,141058.0,726526,10515375.282383136,444.8622589111328
2017-12-09,457.343994140625,504.1470031738281,456.25299072265625,473.50201416015625,2003849984,1.42,55563635227,5813,19891,14.51,314888,11226,6777454,38152909553,25,45389727896.02735,124105.0,736665,6876278.773430763,472.8115005493164
2017-12-10,472.78900146484375,472.78900146484375,429.5140075683594,441.7210083007813,1404179968,1.17,43572173439,5781,20864,14.57,316657,16451,7555518,41534619670,70,43520182309.66124,114982.0,716602,7053218.335503466,454.20325469970703
2017-12-11,440.3580017089844,516.968994140625,439.10400390625,515.135986328125,1771440000,0.95,35272081823,5749,23554,14.68,383467,8920,7799361,42190609044,88,45630273432.293465,124102.0,806220,6524235.496309955,477.8917465209961
2017-12-12,522.2860107421875,657.3179931640625,504.4939880371094,651.4310302734375,5179829760,1.17,38367405491,5715,25607,14.73,413364,7740,7906762,42534383833,58,51552776099.889946,135742.0,823580,11557468.992395887,583.8822555541992
