Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,OL_MktCap,OL_BlkSz,OL_AvgComPwr,OL_AvgTransFee,OL_MinDif,OL_ActAdd,OL_NewAdd,OL_ChnTrans,OL_ChnVol,BIC_HshRt,D_AvgPrc
2019-03-13,3913.04736328125,3926.59765625,3891.904296875,3906.71728515625,9469184841,68704700141.97431,1162788.4444444445,4.2257176059543e+19,0.0001176485962024,6068891541676.553,714321.0,366388,288553,710217.13720086,4.1888687406464e+19,3909.566650390625
2019-03-14,3905.576904296875,3946.50439453125,3901.296875,3924.369140625,10480789570,69021804047.384,1191700.9264705882,4.198110114290679e+19,0.0001342004174779,6068891541676.553,727960.0,374173,299944,761895.59393648,4.158408342334e+19,3919.4368286132812
2019-03-15,3926.663330078125,3968.54296875,3914.015380859375,3960.9111328125,9394210605,69672774363.98409,914755.0359281438,4.3234611502483366e+19,0.0001099886530098,6068891541676.553,732235.0,377481,300069,877751.26079441,4.9632758860105e+19,3942.533203125
2019-03-16,3963.900146484375,4077.036376953125,3961.657470703125,4048.725830078125,9856166973,71225084880.44649,911200.6026490066,4.41089810035905e+19,9.296372870947933e-05,6068891541676.553,650355.0,344340,278469,657246.2257938,4.6646455556722e+19,4012.8299560546875
2019-03-17,4047.719482421875,4054.1220703125,4006.4111328125,4025.22900390625,8221625400,70819878668.13803,689118.5493827161,4.459848411976938e+19,7.644386543040812e-05,6068891541676.553,530096.0,282621,229294,506957.03177195,4.9592291011754e+19,4033.3704223632812
2019-03-18,4029.968505859375,4071.556640625,4009.1171875,4032.50732421875,9646954186,70955395074.22333,920508.9797297296,4.518902641187638e+19,7.640450467859675e-05,6068891541676.553,658287.0,332964,272197,620689.09777271,4.3390699210053e+19,4035.7874145507812
2019-03-19,4032.69189453125,4082.216064453125,4023.8125,4071.190185546875,9344919956,71644754250.42642,881633.2397660819,4.676646708922081e+19,7.156393159735716e-05,6068891541676.553,719901.0,366322,295895,668294.99335501,5.2011489621978e+19,4052.4776611328125
2019-03-20,4070.7939453125,4089.4619140625,4031.11083984375,4087.476318359375,10175916388,71939327387.38734,965752.9102564104,4.8048265005117735e+19,8.165436297650558e-05,6068891541676.553,719268.0,364403,293176,778603.43099306,4.9070373830229e+19,4069.7107543945312
2019-03-21,4083.953857421875,4097.35986328125,4005.1513671875,4029.326904296875,10831212662,70923204886.34335,1094597.8689655173,4.703663475743525e+19,0.0001123366965898,6068891541676.553,723591.0,379305,306229,795254.47025852,4.4892984357758e+19,4053.947998046875
2019-03-22,4028.5146484375,4053.90673828125,4021.54248046875,4023.96826171875,9252935969,70837432523.0747,913583.8235294118,4.775050002702158e+19,9.984719448498969e-05,6068891541676.553,736997.0,377444,310353,714238.94207015,4.8429667114958e+19,4031.9830322265625
2019-03-23,4022.71337890625,4049.882568359375,4015.964599609375,4035.826416015625,9578850549,71053699327.59166,894850.4630872483,4.702266093772619e+19,7.83444959517912e-05,6068891541676.553,641914.0,334790,270490,599369.08847321,4.5753419117938e+19,4031.0967407226562
2019-03-24,4035.16357421875,4040.69970703125,4006.19287109375,4022.168212890625,9144851065,70820881076.9753,746247.6842105263,4.799793276153234e+19,6.937453191479921e-05,6379265451411.053,543012.0,282857,225397,457352.08741103,4.9299271014124e+19,4026.0560913085938
2019-03-25,4024.11279296875,4038.8408203125,3934.03125,3963.070556640625,10359818883,69787246838.98192,962929.9,4.711668062445818e+19,8.823466288225048e-05,6379265451411.053,649957.0,328765,265827,604269.13322344,4.4915799891588e+19,3990.0138549804688
2019-03-26,3969.228759765625,3985.080810546875,3944.753173828125,3985.080810546875,10707678815,70182154662.52422,1185862.62585034,4.624652910156714e+19,8.143362338410114e-05,6379265451411.053,695233.0,353152,392506,697745.09990506,4.657554893958e+19,3971.035888671875
2019-03-27,3984.244873046875,4087.066162109375,3977.810546875,4087.066162109375,10897131934,71985599684.23671,1196682.0694444445,4.600114263034456e+19,0.0001255050422883,6379265451411.053,765305.0,402131,375990,817205.51757614,4.5164257859722e+19,4034.0469360351562
2019-03-28,4087.58447265625,4094.902099609375,4040.266357421875,4069.107177734375,9353915899,71676508621.7686,1218676.6126760563,4.6254245431460176e+19,0.0001225234897856,6379265451411.053,740955.0,385274,380201,759826.07597848,4.5413211116353e+19,4072.9650268554688
2019-03-29,4068.2998046875,4113.5009765625,4034.09716796875,4098.37451171875,10918665557,72199578620.80307,1241320.5646258504,4.571901790851807e+19,0.0001522324328442,6379265451411.053,752768.0,377054,370184,829971.81116159,4.7722181643644e+19,4078.568115234375
2019-03-30,4092.13623046875,4296.806640625,4053.90966796875,4106.66015625,9732688060,72353293368.08434,1194954.2715231788,4.655053323601402e+19,0.0001515215909507,6379265451411.053,748133.0,381836,403438,720784.22442595,4.703921239098e+19,4137.378173828125
2019-03-31,4105.4560546875,4113.0234375,4094.100830078125,4105.404296875,9045122443,72337942144.44342,1191795.5909090908,4.538855850781825e+19,0.0001325983811021,6379265451411.053,626209.0,322469,361777,570068.92594741,4.1918729970289e+19,4104.496154785156
2019-04-01,4105.3623046875,4164.953125,4096.9013671875,4158.18310546875,10157794171,73275138226.45123,1181245.4388489209,4.54302940492078e+19,0.0001342273015428,6379265451411.053,645046.0,323587,381770,718974.8765392,4.5303428582058e+19,4131.3499755859375
2019-04-02,4156.91943359375,4905.95458984375,4155.31689453125,4879.8779296875,21315047816,86001563883.72713,1228577.0625,4.497794580948338e+19,0.0002505616035137,6379265451411.053,812844.0,422028,377259,1142351.28052916,4.5153648700429e+19,4524.5172119140625
2019-04-03,4879.9580078125,5307.00341796875,4876.62109375,4973.02197265625,22899891582,87652493306.34163,1230692.298013245,4.556843974153262e+19,0.0003579855565064,6379265451411.053,872568.0,446455,379762,1233895.65704474,4.7250644576875e+19,5009.151123046875
2019-04-04,4971.3076171875,5063.15966796875,4836.7939453125,4922.798828125,18251810240,86775774141.80408,1223304.1376811594,4.549570186630316e+19,0.000447318152922,6379265451411.053,816978.0,418131,348269,1006309.82368049,4.4746258329155e+19,4948.5150146484375
