Date,Open,High,Low,Close,Adj Close,Volume,Transactions,Block Size,Difficulty,Hashrate,Active Addressses
2017-11-09,62.48960113525391,66.83830261230469,61.72579956054688,64.26969909667969,64.26969909667969,279652992,29077.0,23252.0,1033230.0,28985094798528.0,61141.0
2017-11-10,64.43620300292969,65.89640045166016,56.91320037841797,59.260101318359375,59.260101318359375,291596000,29698.0,21139.0,1032491.0,32510690431180.0,63062.0
2017-11-11,59.348899841308594,63.71160125732422,59.2421989440918,62.30329895019531,62.30329895019531,272494016,25978.0,20012.0,1032169.0,33456814194287.0,69496.0
2017-11-12,62.309200286865234,62.309200286865234,57.41339874267578,59.005401611328125,59.005401611328125,322820000,34159.0,23095.0,1032169.0,34542027423952.0,83931.0
2017-11-13,59.17580032348633,62.76440048217773,58.84870147705078,61.39649963378906,61.39649963378906,237478000,26605.0,23983.0,1120077.0,35012758836997.0,70442.0
2017-11-14,61.64289855957031,63.81240081787109,60.8661003112793,62.67959976196289,62.67959976196289,174111008,24375.0,20100.0,1180126.0,31731188805113.0,55356.0
2017-11-15,62.77519989013672,65.52469635009766,62.70880126953125,63.82360076904297,63.82360076904297,194636000,26290.0,25304.0,1180126.0,31332375455064.0,69656.0
2017-11-16,63.80910110473633,72.4791030883789,62.93740081787109,71.0602035522461,71.0602035522461,418128992,30400.0,27770.0,1180126.0,31159338976429.0,65263.0
2017-11-17,70.44840240478516,71.11840057373047,65.78179931640625,67.56900024414062,67.56900024414062,350504992,31024.0,31210.0,1094517.0,28318689012874.0,79350.0
2017-11-18,67.40519714355469,69.7656021118164,65.71410369873047,69.6436996459961,69.6436996459961,174063008,24365.0,18052.0,1074554.0,32683408969026.0,58726.0
2017-11-19,69.51190185546875,72.98079681396484,68.60420227050781,71.58930206298828,71.58930206298828,243056992,23815.0,16674.0,1074554.0,34851312529383.0,63657.0
2017-11-20,71.41300201416016,72.91840362548828,70.79299926757812,72.25279998779297,72.25279998779297,188976000,29536.0,21737.0,1154132.0,40239311922335.0,81525.0
2017-11-21,72.1968002319336,72.53450012207031,68.1093978881836,70.0282974243164,70.0282974243164,231664992,29760.0,24510.0,1198322.0,37946690170797.0,80660.0
2017-11-22,70.18219757080078,71.95099639892578,70.18219757080078,71.8927993774414,71.8927993774414,157890000,28407.0,25061.0,1198322.0,33109468140896.0,78751.0
2017-11-23,71.97509765625,76.39679718017578,70.90280151367188,73.22339630126953,73.22339630126953,315247008,30623.0,26690.0,1203038.0,33640139245821.0,74092.0
2017-11-24,73.14189910888672,77.96829986572266,72.81230163574219,77.96829986572266,77.96829986572266,287392000,28816.0,25022.0,1222794.0,34257635840323.0,78102.0
2017-11-25,77.90869903564453,89.36720275878906,77.52230072021484,88.81690216064453,88.81690216064453,487896992,33856.0,28668.0,1222794.0,33927076719585.0,84456.0
2017-11-26,88.93930053710938,88.93930053710938,84.01730346679688,85.92680358886719,85.92680358886719,357456992,33004.0,24362.0,1222794.0,36836001477524.0,77131.0
2017-11-27,85.88970184326172,93.28620147705078,85.88970184326172,91.60269927978516,91.60269927978516,429591008,40417.0,26287.0,1252346.0,42995542523584.0,101664.0
2017-11-28,91.7239990234375,96.03379821777344,90.3397979736328,96.03379821777344,96.03379821777344,388931008,43480.0,28035.0,1260381.0,42423879578297.0,102115.0
2017-11-29,96.0124969482422,104.60900115966795,81.76809692382812,85.57099914550781,85.57099914550781,786819968,55781.0,33814.0,1260381.0,41870089455933.0,121354.0
2017-11-30,86.24669647216797,93.53990173339844,78.07540130615234,88.33070373535156,88.33070373535156,481948000,42914.0,34904.0,1466130.0,48684551259252.0,109459.0
2017-12-01,88.00350189208984,100.41200256347656,83.73829650878906,99.00370025634766,99.00370025634766,561342976,40679.0,35100.0,1502826.0,40535693430104.0,100824.0
2017-12-02,98.94149780273438,103.79499816894533,98.31590270996094,100.28399658203124,100.28399658203124,402553984,38855.0,35059.0,1502826.0,37958822333257.0,90964.0
2017-12-03,100.19499969482422,106.39099884033205,98.10160064697266,101.26300048828124,101.26300048828124,364022016,39697.0,32422.0,1492736.0,39560471531260.0,103862.0
2017-12-04,101.39600372314452,104.23600006103516,96.53250122070312,104.23600006103516,104.23600006103516,331151008,45698.0,28212.0,1391827.0,44047606317598.0,109777.0
2017-12-05,104.2770004272461,104.3030014038086,101.83999633789062,102.39700317382812,102.39700317382812,328726016,53733.0,33833.0,1391827.0,44132453863247.0,123361.0
2017-12-06,102.47799682617188,104.81800079345705,97.314697265625,100.35199737548828,100.35199737548828,547512000,68780.0,37698.0,1472632.0,58186110709414.0,161057.0
2017-12-07,99.98410034179688,101.34300231933594,92.27169799804688,98.29239654541016,98.29239654541016,645691008,64009.0,38997.0,1736262.0,63431501304613.0,164354.0
2017-12-08,98.3281021118164,133.07000732421875,95.39600372314452,124.84600067138672,124.84600067138672,1515559936,70853.0,33765.0,1736262.0,75355774508434.0,164381.0
