Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2017-11-19,7766.02978515625,8101.91015625,7694.10009765625,8036.490234375,8036.490234375,3149319936,16688762.5,134119109450.29295,1043571.213836478,1.002962736043745e+19,0.000985013421510208,1364422081125.1477,891550.0,386578,329917597,255925,142880.581388,2621739.28079319
2017-11-20,8039.06982421875,8336.8603515625,7949.35986328125,8200.6396484375,8200.6396484375,3488450048,16690850.0,136875678875.39774,1018074.1856287426,1.0252710287553917e+19,0.0009794013686492784,1364422081125.1477,939156.0,459448,330377045,309020,143050.599777,3029641.30616217
2017-11-21,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,8071.259765625,4277609984,16693012.5,134733607554.78516,1042983.4624277456,1.0706191119124607e+19,0.0008751122181292006,1364422081125.1477,978861.0,520349,330897394,369735,143231.035916,2942825.96522917
2017-11-22,8077.9501953125,8302.259765625,8075.47021484375,8253.5498046875,8253.5498046875,3633530112,16695087.5,137793785086.33838,1065407.4819277108,1.0944866443823722e+19,0.0007918067497590859,1364422081125.1477,923750.0,496569,331393963,345559,143407.893558,2643680.62121343
2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,8038.77001953125,4225179904,16696950.0,134222998147.26562,1055861.510067114,1.0780280784578986e+19,0.0008027674525131611,1364422081125.1477,897375.0,496808,331890771,332987,143565.216923,2555190.09310349
2017-11-24,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,8253.6904296875,5058610176,16698875.0,137827279544.10913,1053413.0649350649,1.0884185430180596e+19,0.0007600125347638835,1364422081125.1477,922406.0,461700,332352471,316708,143727.442535,2370824.03120742
2017-11-25,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,8790.919921875,4342060032,16700800.0,146815362812.5,1058369.4090909092,1.078902918189987e+19,0.0006359445341308213,1347001430558.5703,930289.0,490444,332842915,340235,143890.431424,2469420.60658115
2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,9330.5498046875,5475579904,16702712.5,155845572410.83984,1029603.4248366014,1.086207723430231e+19,0.0005716223705523877,1347001430558.5703,898505.0,473354,333316269,316209,144047.960748,1645926.69445424
2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,9818.349609375,5653320192,16704737.5,164012936594.57495,1059504.9259259258,1.0627374884775164e+19,0.0006242028042532462,1347001430558.5703,1001646.0,551183,333867452,357186,144219.600546,1907170.0150893896
2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,10058.7998046875,6348819968,16706737.5,168049368968.1101,1052967.8,1.0436457642812176e+19,0.0006491063173244097,1347001430558.5703,1018633.0,586980,334454432,374437,144388.075394,2141172.04116451
2017-11-29,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,9888.6103515625,11568799744,16708900.0,165227850455.07812,1060845.2832369942,1.0803917853087525e+19,0.0007005292395107069,1347001430558.5703,1104395.0,640991,335095423,401886,144571.601628,2930012.29292966
2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,10233.599609375,8310689792,16711012.5,171013468285.90793,1067582.1420118343,1.0788452395487715e+19,0.0007129238260275562,1347001430558.5703,1090540.0,603224,335698647,387935,144752.02301,2380430.85312615
2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,10975.599609375,6783119872,16713125.0,183436209150.39062,1072343.1301775149,1.1019568100764457e+19,0.0006605805637767036,1347001430558.5703,1072743.0,561207,336259854,384780,144933.248999,2061419.56838421
2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,11074.599609375,5138500096,16715262.5,185114235583.613,1046042.1520467836,1.122886285197403e+19,0.0005817554605938923,1347001430558.5703,989253.0,512373,336772227,365083,145112.122207,1813981.15507196
2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,11323.2001953125,6608309760,16717412.5,189295016625.15683,1040252.4011627908,1.131415213841124e+19,0.0005282385372419528,1347001430558.5703,940628.0,477524,337249751,329494,145291.04562,1591009.80155975
2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,11657.2001953125,6132409856,16719600.0,194903397830.8176,1063693.7028571428,1.154170168406296e+19,0.0005789211074290937,1347001430558.5703,1080008.0,574950,337824701,374191,145477.192018,2076938.26897079
2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,11916.7001953125,6895260160,16721937.5,199271067053.08133,1064115.5668449197,1.164965079867728e+19,0.0005228154776865937,1347001430558.5703,1179220.0,656793,338481494,436845,145676.181629,2422162.97467326
2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,14291.5,12656300032,16724325.0,239016115378.64807,1058371.2356020943,1.1965379637921583e+19,0.0005565195045616552,1347001430558.5703,1226925.0,692573,339174067,446110,145878.330535,2489366.26347218
2017-12-07,14266.099609375,17899.69921875,14057.2998046875,17899.69921875,17899.69921875,17950699520,16726200.0,299393132363.7555,1040636.88,1.201811257916884e+19,0.0007422029932541817,1590896927258.0786,1005805.0,594601,339768668,351477,146034.426067,2779212.32614819
2017-12-08,17802.900390625,18353.400390625,14336.900390625,16569.400390625,16569.400390625,21135998976,16728137.5,277175632764.7949,1053040.464516129,1.2101835889270622e+19,0.0015278395394008,1590896927258.0786,1123168.0,683823,340452491,392923,146197.647339,2252549.99815457
2017-12-09,16523.30078125,16783.0,13674.900390625,15178.2001953125,15178.2001953125,13911300096,16730200.0,253934700683.59372,1053535.084848485,1.2387661403442366e+19,0.001492068713567,1590896927258.0786,1142865.0,640153,341092644,398746,146371.480628,2420869.50382201
2017-12-10,15168.400390625,15850.599609375,13226.599609375,15455.400390625,15455.400390625,13433299968,16732362.5,258606031866.7288,1062673.0346820808,1.26295335320905e+19,0.0012824148272162,1590896927258.0786,1153701.0,580320,341672964,383109,146555.323063,1898733.23980186
2017-12-11,15427.400390625,17513.900390625,15404.7998046875,16936.80078125,16936.80078125,12153900032,16734487.5,283428027272.9004,1047106.2941176472,1.286086016982455e+19,0.0013472960280971,1590896927258.0786,1084719.0,547846,342220810,340177,146733.331133,1961695.07508562
2017-12-12,16919.80078125,17781.80078125,16571.599609375,17415.400390625,17415.400390625,14603799552,16736500.0,291472489064.4531,1069693.5403726709,1.2777580644576637e+19,0.0014417913313556,1590896927258.0786,1114566.0,614982,342835792,373837,146905.551793,2706532.47444723
2017-12-13,17500.0,17653.099609375,16039.7001953125,16408.19921875,16408.19921875,12976900096,16738612.5,274649965463.8184,1058585.5917159764,1.29967320931865e+19,0.0014229069400235,1590896927258.0786,1169158.0,654255,343490047,405209,147084.452758,2636029.16101118
2017-12-14,16384.599609375,17085.80078125,16185.900390625,16564.0,16564.0,13777399808,16740937.5,277297084932.8613,1041887.5215053764,1.353541584758093e+19,0.0013378281639074,1590896927258.0786,1278170.0,751483,344241530,459906,147278.243837,2398967.50990314
2017-12-15,16601.30078125,18154.099609375,16601.30078125,17706.900390625,17706.900390625,14309999616,16743187.5,296469757074.9128,1057559.7222222222,1.3684508057149469e+19,0.0014340152456003,1590896927258.0786,1215330.0,719547,344961077,447760,147468.604587,2336279.93973394
2017-12-16,17760.30078125,19716.69921875,17515.30078125,19497.400390625,19497.400390625,12740599808,16745237.5,326487913357.22656,1051549.3719512196,1.3566689199198292e+19,0.001468910232855,1590896927258.0786,1103017.0,572317,345533394,357132,147641.058684,1811643.44657119
2017-12-17,19475.80078125,20089.0,18974.099609375,19140.80078125,19140.80078125,13314599936,16747587.5,320561483571.10425,1045752.3563829788,1.378292721895655e+19,0.0013436223604575,1590896927258.0786,1199209.0,657183,346190577,412509,147837.660127,2047649.69295052
2017-12-18,19106.400390625,19371.0,18355.900390625,19114.19921875,19114.19921875,14839499776,16749762.5,320158657150.0105,1044842.5804597702,1.410908018523833e+19,0.0015026129512116,1873105475221.611,1113821.0,580873,346771450,352584,148019.462736,1976374.90510143
2017-12-19,19118.30078125,19177.80078125,17275.400390625,17776.69921875,17776.69921875,16894499840,16751800.0,297791088323.91187,1049544.4969325154,1.4209424773396589e+19,0.0015642772116481,1873105475221.611,1149305.0,691122,347462572,419054,148190.538489,2083230.63708044
