Time,Number of new addresses added per day on BTC,Price
2009-03-20,119,0.0
2009-03-21,85,0.0
2009-03-22,86,0.0
2009-03-23,127,0.0
2009-03-24,109,0.0
2009-03-25,117,0.0
2009-03-26,113,0.0
2009-03-27,111,0.0
2009-03-28,117,0.0
2009-03-29,112,0.0
2009-03-30,125,0.0
2009-03-31,112,0.0
2009-04-01,109,0.0
2009-04-02,121,0.0
2009-04-03,112,0.0
2009-04-04,111,0.0
2009-04-05,132,0.0
2009-04-06,110,0.0
2009-04-07,102,0.0
2009-04-08,107,0.0
2009-04-09,97,0.0
2009-04-10,99,0.0
2009-04-11,128,0.0
2009-04-12,113,0.0
2009-04-13,119,0.0
2009-04-14,125,0.0
2009-04-15,111,0.0
2009-04-16,124,0.0
2009-04-17,116,0.0
2009-04-18,123,0.0
2009-04-19,120,0.0
2009-04-20,118,0.0
2009-04-21,121,0.0
2009-04-22,123,0.0
2009-04-23,84,0.0
2009-04-24,107,0.0
2009-04-25,125,0.0
2009-04-26,109,0.0
2009-04-27,105,0.0
2009-04-28,114,0.0
2009-04-29,122,0.0
2009-04-30,135,0.0
2009-05-01,119,0.0
2009-05-02,129,0.0
2009-05-03,111,0.0
2009-05-04,127,0.0
2009-05-05,134,0.0
2009-05-06,129,0.0
2009-05-07,125,0.0
2009-05-08,127,0.0
2009-05-09,93,0.0
2009-05-10,58,0.0
2009-05-11,117,0.0
2009-05-12,130,0.0
2009-05-13,117,0.0
2009-05-14,132,0.0
2009-05-15,148,0.0
2009-05-16,116,0.0
2009-05-17,120,0.0
2009-05-18,122,0.0
2009-05-19,116,0.0
2009-05-20,89,0.0
2009-05-21,93,0.0
2009-05-22,94,0.0
2009-05-23,6,0.0
2009-05-24,94,0.0
2009-05-25,99,0.0
2009-05-26,117,0.0
2009-05-27,127,0.0
2009-05-28,104,0.0
2009-05-29,104,0.0
2009-05-30,104,0.0
2009-05-31,118,0.0
2009-06-01,77,0.0
2009-06-02,86,0.0
2009-06-03,100,0.0
2009-06-04,39,0.0
2009-06-05,66,0.0
2009-06-06,19,0.0
2009-06-07,9,0.0
2009-06-08,66,0.0
2009-06-09,91,0.0
2009-06-10,85,0.0
2009-06-11,90,0.0
2009-06-12,95,0.0
2009-06-13,69,0.0
2009-06-14,73,0.0
2009-06-15,80,0.0
2009-06-16,78,0.0
2009-06-17,76,0.0
2009-06-18,82,0.0
2009-06-19,85,0.0
2009-06-20,82,0.0
2009-06-21,79,0.0
2009-06-22,79,0.0
2009-06-23,78,0.0
2009-06-24,79,0.0
2009-06-25,76,0.0
2009-06-26,92,0.0
2009-06-27,83,0.0
2009-06-28,57,0.0
2009-06-29,70,0.0
2009-06-30,87,0.0
2009-07-01,88,0.0
2009-07-02,68,0.0
2009-07-03,87,0.0
2009-07-04,85,0.0
2009-07-05,83,0.0
2009-07-06,88,0.0
2009-07-07,65,0.0
2009-07-08,79,0.0
2009-07-09,81,0.0
2009-07-10,84,0.0
2009-07-11,81,0.0
2009-07-12,77,0.0
2009-07-13,79,0.0
2009-07-14,70,0.0
2009-07-15,48,0.0
2009-07-16,67,0.0
2009-07-17,70,0.0
2009-07-18,4,0.0
2009-07-19,44,0.0
2009-07-20,75,0.0
2009-07-21,75,0.0
2009-07-22,71,0.0
2009-07-23,64,0.0
2009-07-24,76,0.0
2009-07-25,60,0.0
2009-07-26,9,0.0
2009-07-27,60,0.0
2009-07-28,51,0.0
2009-07-29,30,0.0
2009-07-30,14,0.0
2009-07-31,14,0.0
2009-08-01,25,0.0
2009-08-02,28,0.0
2009-08-03,17,0.0
2009-08-04,52,0.0
2009-08-05,92,0.0
2009-08-06,95,0.0
2009-08-07,72,0.0
2009-08-08,83,0.0
2009-08-09,97,0.0
2009-08-10,82,0.0
2009-08-11,69,0.0
2009-08-12,70,0.0
2009-08-13,81,0.0
2009-08-14,64,0.0
2009-08-15,39,0.0
2009-08-16,21,0.0
2009-08-17,21,0.0
2009-08-18,10,0.0
2009-08-19,13,0.0
2009-08-20,24,0.0
2009-08-21,18,0.0
2009-08-22,6,0.0
2009-08-23,14,0.0
2009-08-24,8,0.0
2009-08-25,51,0.0
2009-08-26,40,0.0
2009-08-27,31,0.0
2009-08-28,64,0.0
2009-08-29,85,0.0
2009-08-30,84,0.0
2009-08-31,95,0.0
2009-09-01,83,0.0
2009-09-02,65,0.0
2009-09-03,63,0.0
2009-09-04,58,0.0
2009-09-05,73,0.0
2009-09-06,74,0.0
2009-09-07,78,0.0
2009-09-08,67,0.0
2009-09-09,56,0.0
2009-09-10,63,0.0
2009-09-11,67,0.0
2009-09-12,68,0.0
2009-09-13,72,0.0
2009-09-14,80,0.0
2009-09-15,63,0.0
2009-09-16,54,0.0
2009-09-17,80,0.0
2009-09-18,85,0.0
2009-09-19,69,0.0
2009-09-20,77,0.0
2009-09-21,77,0.0
2009-09-22,38,0.0
2009-09-23,23,0.0
2009-09-24,76,0.0
2009-09-25,102,0.0
2009-09-26,90,0.0
2009-09-27,94,0.0
2009-09-28,86,0.0
2009-09-29,85,0.0
2009-09-30,83,0.0
2009-10-01,84,0.0
2009-10-02,84,0.0
2009-10-03,53,0.0
2009-10-04,67,0.0
2009-10-05,52,0.0
2009-10-06,47,0.0
2009-10-07,49,0.0
2009-10-08,67,0.0
2009-10-09,76,0.0
2009-10-10,79,0.0
2009-10-11,81,0.0
2009-10-12,62,0.0
2009-10-13,52,0.0
2009-10-14,58,0.0
2009-10-15,79,0.0
2009-10-16,70,0.0
2009-10-17,54,0.0
2009-10-18,64,0.0
2009-10-19,100,0.0
2009-10-20,110,0.0
2009-10-21,84,0.0
2009-10-22,86,0.0
2009-10-23,84,0.0
2009-10-24,80,0.0
2009-10-25,71,0.0
2009-10-26,67,0.0
2009-10-27,69,0.0
2009-10-28,62,0.0
2009-10-29,54,0.0
2009-10-30,58,0.0
2009-10-31,47,0.0
2009-11-01,33,0.0
2009-11-02,32,0.0
2009-11-03,46,0.0
2009-11-04,64,0.0
2009-11-05,70,0.0
2009-11-06,50,0.0
2009-11-07,74,0.0
2009-11-08,69,0.0
2009-11-09,63,0.0
2009-11-10,73,0.0
2009-11-11,73,0.0
2009-11-12,66,0.0
2009-11-13,73,0.0
2009-11-14,79,0.0
2009-11-15,99,0.0
2009-11-16,96,0.0
2009-11-17,94,0.0
2009-11-18,81,0.0
2009-11-19,72,0.0
2009-11-20,82,0.0
2009-11-21,78,0.0
2009-11-22,101,0.0
2009-11-23,94,0.0
2009-11-24,102,0.0
2009-11-25,87,0.0
2009-11-26,79,0.0
2009-11-27,74,0.0
2009-11-28,79,0.0
2009-11-29,56,0.0
2009-11-30,75,0.0
2009-12-01,66,0.0
2009-12-02,99,0.0
2009-12-03,78,0.0
2009-12-04,59,0.0
2009-12-05,53,0.0
2009-12-06,102,0.0
2009-12-07,95,0.0
2009-12-08,118,0.0
2009-12-09,103,0.0
2009-12-10,103,0.0
2009-12-11,130,0.0
2009-12-12,98,0.0
2009-12-13,103,0.0
2009-12-14,109,0.0
2009-12-15,119,0.0
2009-12-16,117,0.0
2009-12-17,163,0.0
2009-12-18,194,0.0
2009-12-19,223,0.0
2009-12-20,182,0.0
2009-12-21,188,0.0
2009-12-22,153,0.0
2009-12-23,173,0.0
2009-12-24,142,0.0
2009-12-25,164,0.0
2009-12-26,148,0.0
2009-12-27,169,0.0
2009-12-28,144,0.0
2009-12-29,172,0.0
2009-12-30,154,0.0
2009-12-31,140,0.0
2010-01-01,127,0.0
2010-01-02,128,0.0
2010-01-03,156,0.0
2010-01-04,199,0.0
2010-01-05,206,0.0
2010-01-06,161,0.0
2010-01-07,152,0.0
2010-01-08,158,0.0
2010-01-09,149,0.0
2010-01-10,175,0.0
2010-01-11,164,0.0
2010-01-12,170,0.0
2010-01-13,155,0.0
2010-01-14,152,0.0
2010-01-15,149,0.0
2010-01-16,138,0.0
2010-01-17,119,0.0
2010-01-18,131,0.0
2010-01-19,123,0.0
2010-01-20,137,0.0
2010-01-21,182,0.0
2010-01-22,157,0.0
2010-01-23,144,0.0
2010-01-24,151,0.0
2010-01-25,207,0.0
2010-01-26,200,0.0
2010-01-27,185,0.0
2010-01-28,168,0.0
2010-01-29,193,0.0
2010-01-30,185,0.0
2010-01-31,206,0.0
2010-02-01,179,0.0
2010-02-02,147,0.0
2010-02-03,237,0.0
2010-02-04,228,0.0
2010-02-05,257,0.0
2010-02-06,190,0.0
2010-02-07,205,0.0
2010-02-08,231,0.0
2010-02-09,210,0.0
2010-02-10,171,0.0
2010-02-11,175,0.0
2010-02-12,185,0.0
2010-02-13,224,0.0
2010-02-14,211,0.0
2010-02-15,189,0.0
2010-02-16,186,0.0
2010-02-17,223,0.0
2010-02-18,246,0.0
2010-02-19,171,0.0
2010-02-20,238,0.0
2010-02-21,210,0.0
2010-02-22,254,0.0
2010-02-23,240,0.0
2010-02-24,215,0.0
2010-02-25,147,0.0
2010-02-26,174,0.0
2010-02-27,168,0.0
2010-02-28,168,0.0
2010-03-01,182,0.0
2010-03-02,201,0.0
2010-03-03,152,0.0
2010-03-04,166,0.0
2010-03-05,192,0.0
2010-03-06,179,0.0
2010-03-07,163,0.0
2010-03-08,155,0.0
2010-03-09,150,0.0
2010-03-10,143,0.0
2010-03-11,151,0.0
2010-03-12,125,0.0
2010-03-13,154,0.0
2010-03-14,126,0.0
2010-03-15,138,0.0
2010-03-16,134,0.0
2010-03-17,126,0.0
2010-03-18,162,0.0
2010-03-19,139,0.0
2010-03-20,193,0.0
2010-03-21,192,0.0
2010-03-22,176,0.0
2010-03-23,205,0.0
2010-03-24,184,0.0
2010-03-25,189,0.0
2010-03-26,205,0.0
2010-03-27,174,0.0
2010-03-28,195,0.0
2010-03-29,192,0.0
2010-03-30,208,0.0
2010-03-31,212,0.0
2010-04-01,192,0.0
2010-04-02,147,0.0
2010-04-03,178,0.0
2010-04-04,161,0.0
2010-04-05,168,0.0
2010-04-06,171,0.0
2010-04-07,193,0.0
2010-04-08,204,0.0
2010-04-09,183,0.0
2010-04-10,277,0.0
2010-04-11,265,0.0
2010-04-12,248,0.0
2010-04-13,181,0.0
2010-04-14,214,0.0
2010-04-15,254,0.0
2010-04-16,225,0.0
2010-04-17,231,0.0
2010-04-18,328,0.0
2010-04-19,3272,0.0
2010-04-20,221,0.0
2010-04-21,227,0.0
2010-04-22,212,0.0
2010-04-23,170,0.0
2010-04-24,178,0.0
2010-04-25,186,0.0
2010-04-26,199,0.0
2010-04-27,197,0.0
2010-04-28,193,0.0
2010-04-29,174,0.0
2010-04-30,169,0.0
2010-05-01,164,0.0
2010-05-02,188,0.0
2010-05-03,171,0.0
2010-05-04,132,0.0
2010-05-05,161,0.0
2010-05-06,149,0.0
2010-05-07,147,0.0
2010-05-08,149,0.0
2010-05-09,176,0.0
2010-05-10,148,0.0
2010-05-11,122,0.0
2010-05-12,127,0.0
2010-05-13,129,0.0
2010-05-14,137,0.0
2010-05-15,121,0.0
2010-05-16,101,0.0
2010-05-17,141,0.0
2010-05-18,188,0.0
2010-05-19,182,0.0
2010-05-20,216,0.0
2010-05-21,200,0.0
2010-05-22,194,0.0
2010-05-23,274,0.0
2010-05-24,239,0.0
2010-05-25,241,0.0
2010-05-26,246,0.0
2010-05-27,231,0.0
2010-05-28,244,0.0
2010-05-29,263,0.0
2010-05-30,188,0.0
2010-05-31,183,0.0
2010-06-01,158,0.0
2010-06-02,171,0.0
2010-06-03,193,0.0
2010-06-04,193,0.0
2010-06-05,166,0.0
2010-06-06,182,0.0
2010-06-07,173,0.0
2010-06-08,212,0.0
2010-06-09,205,0.0
2010-06-10,188,0.0
2010-06-11,232,0.0
2010-06-12,216,0.0
2010-06-13,203,0.0
2010-06-14,221,0.0
2010-06-15,265,0.0
2010-06-16,203,0.0
2010-06-17,181,0.0
2010-06-18,184,0.0
2010-06-19,197,0.0
2010-06-20,210,0.0
2010-06-21,230,0.0
2010-06-22,225,0.0
2010-06-23,250,0.0
2010-06-24,228,0.0
2010-06-25,228,0.0
2010-06-26,183,0.0
2010-06-27,186,0.0
2010-06-28,191,0.0
2010-06-29,231,0.0
2010-06-30,246,0.0
2010-07-01,235,0.0
2010-07-02,223,0.0
2010-07-03,234,0.0
2010-07-04,219,0.0
2010-07-05,190,0.0
2010-07-06,201,0.0
2010-07-07,198,0.0
2010-07-08,207,0.0
2010-07-09,256,0.0
2010-07-10,225,0.0
2010-07-11,218,0.0
2010-07-12,2461,0.0
2010-07-13,2290,0.0
2010-07-14,2868,0.0
2010-07-15,5099,0.0
2010-07-16,1624,0.0
2010-07-17,566,0.049510000000000005
2010-07-18,517,0.08584
2010-07-19,526,0.0808
2010-07-20,731,0.07473333333333332
2010-07-21,487,0.07921
2010-07-22,445,0.055945
2010-07-23,429,0.062283333333333336
2010-07-24,410,0.05454
2010-07-25,2140,0.0505
2010-07-26,448,0.056
2010-07-27,495,0.059844444444444436
2010-07-28,404,0.0589
2010-07-29,364,0.06920000000000001
2010-07-30,396,0.06428333333333333
2010-07-31,310,0.06785
2010-08-01,350,0.0611
2010-08-02,410,0.06
2010-08-03,561,0.06
2010-08-04,445,0.05795
2010-08-05,710,0.061
2010-08-06,393,0.0621
2010-08-07,302,0.059
2010-08-08,341,0.0609
2010-08-09,400,0.071
2010-08-10,446,0.07
2010-08-11,381,0.067
2010-08-12,398,0.07
2010-08-13,576,0.0645
2010-08-14,406,0.067
2010-08-15,408,0.06529
2010-08-16,295,0.0655
2010-08-17,395,0.07
2010-08-18,399,0.068
2010-08-19,363,0.0667
2010-08-20,390,0.0655
2010-08-21,350,0.0664
2010-08-22,326,0.066
2010-08-23,377,0.06491
2010-08-24,362,0.065
2010-08-25,400,0.0648
2010-08-26,348,0.064
2010-08-27,295,0.065
2010-08-28,362,0.0646
2010-08-29,274,0.064
2010-08-30,297,0.06497
2010-08-31,404,0.06
2010-09-01,419,0.062300000000000015
2010-09-02,323,0.0631
2010-09-03,319,0.06085
2010-09-04,271,0.06238
2010-09-05,337,0.0616
2010-09-06,278,0.0616
2010-09-07,263,0.061505
2010-09-08,300,0.061495
2010-09-09,352,0.06111000000000001
2010-09-10,355,0.0618
2010-09-11,292,0.06366000000000001
2010-09-12,334,0.0615
2010-09-13,439,0.062179999999999985
2010-09-14,417,0.06199
2010-09-15,414,0.0604
2010-09-16,360,0.0618
2010-09-17,338,0.05938
2010-09-18,405,0.061
2010-09-19,340,0.0627
2010-09-20,430,0.0621
2010-09-21,630,0.06265
2010-09-22,998,0.062038
2010-09-23,739,0.06231
2010-09-24,592,0.0622
2010-09-25,422,0.06202000000000001
2010-09-26,512,0.06219
2010-09-27,724,0.0622
2010-09-28,416,0.061904999999999995
2010-09-29,953,0.06183
2010-09-30,378,0.0619
2010-10-01,631,0.06197
2010-10-02,531,0.0614
2010-10-03,406,0.06111000000000001
2010-10-04,447,0.06129
2010-10-05,429,0.0614
2010-10-06,428,0.06297666666666668
2010-10-07,394,0.067
2010-10-08,366,0.084925
2010-10-09,437,0.0938
2010-10-10,393,0.0965
2010-10-11,389,0.095
2010-10-12,399,0.0949
2010-10-13,410,0.105
2010-10-14,405,0.102
2010-10-15,342,0.105
2010-10-16,440,0.101
2010-10-17,556,0.102
2010-10-18,552,0.1024
2010-10-19,969,0.09715
2010-10-20,764,0.099
2010-10-21,605,0.107
2010-10-22,528,0.106
2010-10-23,585,0.104995
2010-10-24,443,0.11501
2010-10-25,560,0.132
2010-10-26,557,0.1503
2010-10-27,638,0.1877
2010-10-28,603,0.1731
2010-10-29,492,0.19
2010-10-30,449,0.1989
2010-10-31,301,0.1925
2010-11-01,346,0.1955
2010-11-02,312,0.1938
2010-11-03,342,0.1931
2010-11-04,309,0.23
2010-11-05,395,0.2639
2010-11-06,422,0.38
2010-11-07,439,0.34
2010-11-08,457,0.243
2010-11-09,467,0.21
2010-11-10,382,0.2362
2010-11-11,426,0.2231
2010-11-12,312,0.2682
2010-11-13,313,0.276
2010-11-14,389,0.27904
2010-11-15,608,0.2682
2010-11-16,6497,0.225
2010-11-17,521,0.24736666666666665
2010-11-18,454,0.2678
2010-11-19,362,0.2752
2010-11-20,479,0.283955
2010-11-21,507,0.27675
2010-11-22,438,0.2843
2010-11-23,372,0.28295
2010-11-24,522,0.28299
2010-11-25,535,0.28
2010-11-26,873,0.2844
2010-11-27,600,0.28300000000000003
2010-11-28,521,0.2710819672131145
2010-11-29,470,0.23305
2010-11-30,510,0.2082
2010-12-01,632,0.2275
2010-12-02,558,0.255
2010-12-03,480,0.25105
2010-12-04,446,0.206
2010-12-05,519,0.195
2010-12-06,503,0.204
2010-12-07,626,0.2366
2010-12-08,628,0.2388
2010-12-09,604,0.192105
2010-12-10,494,0.20385
2010-12-11,655,0.228
2010-12-12,745,0.22
2010-12-13,1066,0.2299
2010-12-14,837,0.24669
2010-12-15,766,0.24
2010-12-16,648,0.24996
2010-12-17,586,0.24
2010-12-18,501,0.241
2010-12-19,735,0.2401
2010-12-20,1056,0.267
2010-12-21,641,0.24
2010-12-22,792,0.25
2010-12-23,757,0.24875250000000002
2010-12-24,675,0.248
2010-12-25,675,0.2499
2010-12-26,780,0.265
2010-12-27,578,0.265
2010-12-28,716,0.281
2010-12-29,739,0.2998
2010-12-30,602,0.3
2010-12-31,653,0.3
2011-01-01,666,0.3
2011-01-02,698,0.29997
2011-01-03,808,0.295
2011-01-04,858,0.29895
2011-01-05,842,0.29892
2011-01-06,841,0.298
2011-01-07,715,0.32
2011-01-08,1064,0.3229
2011-01-09,902,0.32299999999999995
2011-01-10,1061,0.32659
2011-01-11,1008,0.32659
2011-01-12,889,0.3188
2011-01-13,1016,0.3176
2011-01-14,920,0.4
2011-01-15,934,0.386
2011-01-16,1092,0.38679
2011-01-17,863,0.3495
2011-01-18,1047,0.31299
2011-01-19,1090,0.31299
2011-01-20,946,0.39
2011-01-21,1181,0.419905
2011-01-22,1480,0.44399
2011-01-23,1312,0.4424
2011-01-24,1442,0.4199
2011-01-25,1119,0.41
2011-01-26,1056,0.41367
2011-01-27,1033,0.4212
2011-01-28,1076,0.446
2011-01-29,1445,0.439
2011-01-30,2167,0.47985
2011-01-31,2098,0.5501
2011-02-01,1122,0.70773
2011-02-02,1136,0.716
2011-02-03,808,0.69639
2011-02-04,941,0.8109999999999999
2011-02-05,904,0.90735
2011-02-06,869,0.8968
2011-02-07,878,0.89
2011-02-08,887,0.918
2011-02-09,1140,1.084495
2011-02-10,2356,0.9751549999999999
2011-02-11,3389,1.0700049999999999
2011-02-12,2617,1.0799
2011-02-13,2430,1.05
2011-02-14,2392,1.0753366666666668
2011-02-15,2768,1.05
2011-02-16,2164,1.028624
2011-02-17,2612,1.04
2011-02-18,2543,0.8989
2011-02-19,2325,0.94898
2011-02-20,2046,0.85
2011-02-21,2502,0.8345
2011-02-22,2719,0.87023
2011-02-23,2911,0.9
2011-02-24,2430,0.993715
2011-02-25,2726,0.9111
2011-02-26,2473,0.958
2011-02-27,2666,0.89
2011-02-28,2436,0.8701
2011-03-01,2119,0.92022
2011-03-02,4192,0.9399
2011-03-03,3402,0.93909
2011-03-04,2606,0.9012
2011-03-05,2251,0.9103
2011-03-06,2218,0.8866299999999999
2011-03-07,2450,0.88502
2011-03-08,3130,0.8699899999999999
2011-03-09,2254,0.86449
2011-03-10,2064,0.9329
2011-03-11,2336,0.88
2011-03-12,2173,0.918
2011-03-13,2138,0.89249
2011-03-14,1863,0.8949
2011-03-15,2365,0.8711200000000001
2011-03-16,2132,0.8599899999999999
2011-03-17,2020,0.82542
2011-03-18,2294,0.81648
2011-03-19,2224,0.765
2011-03-20,2074,0.7410800000000001
2011-03-21,4575,0.75897
2011-03-22,3267,0.80901
2011-03-23,4580,0.8497100000000001
2011-03-24,3722,0.8668799999999999
2011-03-25,2816,0.8837700000000001
2011-03-26,2959,0.8552
2011-03-27,2964,0.8275399999999999
2011-03-28,3575,0.79898
2011-03-29,3569,0.7925
2011-03-30,2152,0.7897
2011-03-31,2744,0.78461
2011-04-01,2167,0.7741100000000001
2011-04-02,1993,0.78199
2011-04-03,1944,0.779
2011-04-04,2970,0.68
2011-04-05,2950,0.71
2011-04-06,2396,0.74
2011-04-07,2278,0.7538
2011-04-08,2081,0.7499899999999999
2011-04-09,2246,0.746584
2011-04-10,2055,0.7369
2011-04-11,2297,0.77
2011-04-12,2419,0.86
2011-04-13,2790,0.93115
2011-04-14,4678,0.99936
2011-04-15,2276,0.9869040000000002
2011-04-16,2257,1.0499
2011-04-17,2554,1.13057
2011-04-18,2967,1.16199
2011-04-19,4144,1.1965
2011-04-20,3759,1.1421
2011-04-21,2247,1.208
2011-04-22,2707,1.40901
2011-04-23,2438,1.665325
2011-04-24,3146,1.63011
2011-04-25,2897,1.57623
2011-04-26,3413,1.7949
2011-04-27,5184,1.9
2011-04-28,4198,2.2105900000000003
2011-04-29,4437,2.88
2011-04-30,5026,3.5
2011-05-01,5524,3.03311
2011-05-02,3415,3.2
2011-05-03,3668,3.3975
2011-05-04,3988,3.4060900000000003
2011-05-05,4263,3.333
2011-05-06,4335,3.452
2011-05-07,4767,3.641
2011-05-08,3742,3.86585
2011-05-09,4471,3.8
2011-05-10,3923,5.805
2011-05-11,4432,5.5
2011-05-12,3537,6.363463333333333
2011-05-13,5726,8.193999999999999
2011-05-14,5586,7.026584285714287
2011-05-15,5376,6.988455
2011-05-16,7169,8.0
2011-05-17,7554,7.20995
2011-05-18,7329,6.8849912500000015
2011-05-19,8408,6.88955
2011-05-20,6878,5.5903616666666665
2011-05-21,7339,6.132744285714287
2011-05-22,7055,6.736269999999999
2011-05-23,7304,7.106383999999999
2011-05-24,7662,7.42
2011-05-25,9669,8.409413571428571
2011-05-26,8770,8.77355
2011-05-27,7074,8.5002
2011-05-28,6425,8.3001
2011-05-29,6536,8.4299
2011-05-30,6744,8.800025000000002
2011-05-31,8705,8.715455
2011-06-01,7859,9.607497500000001
2011-06-02,8795,10.643019999999998
2011-06-03,10301,14.317785714285714
2011-06-04,12334,18.64759333333334
2011-06-05,10521,16.675
2011-06-06,12247,18.37141428571429
2011-06-07,11130,23.396988372093016
2011-06-08,13976,29.64085384615385
2011-06-09,16746,28.9407
2011-06-10,15532,23.86174117647059
2011-06-11,14324,14.651199999999998
2011-06-12,14839,18.71959
2011-06-13,16896,19.409272222222214
2011-06-14,16055,19.32056428571429
2011-06-15,17964,19.49
2011-06-16,16430,17.363817999999995
2011-06-17,15999,15.834064285714286
2011-06-18,16701,16.876666666666665
2011-06-19,16106,17.405467272497287
2011-06-20,15944,17.4795582704942
2011-06-21,13719,17.850482972780885
2011-06-22,16230,17.906287114865226
2011-06-23,14331,18.16839759701135
2011-06-24,15597,18.585396059959713
2011-06-25,12002,17.943275642315022
2011-06-26,14101,16.366438571428574
2011-06-27,17051,16.750066666666665
2011-06-28,15825,16.943002500000002
2011-06-29,14963,16.899833333333333
2011-06-30,13130,16.153598125000002
2011-07-01,18940,15.363328181818185
2011-07-02,26120,15.4
2011-07-03,13228,15.440396666666668
2011-07-04,13630,13.820056
2011-07-05,11272,12.886805625
2011-07-06,16398,14.767071111111115
2011-07-07,13904,14.770078461538462
2011-07-08,14262,14.313770000000002
2011-07-09,15136,14.3775
2011-07-10,20549,14.74739
2011-07-11,14088,14.210998421052633
2011-07-12,15298,14.01648166666667
2011-07-13,16971,13.954294285714285
2011-07-14,15876,13.997809
2011-07-15,17569,13.81
2011-07-16,15216,13.719048571428573
2011-07-17,15347,13.167918750000005
2011-07-18,14278,13.423071481481482
2011-07-19,17274,13.84199375
2011-07-20,15160,13.693134848484846
2011-07-21,16706,13.612104
2011-07-22,15665,13.69542
2011-07-23,14710,13.68
2011-07-24,14829,13.98001
2011-07-25,16359,14.0026
2011-07-26,15278,13.88117
2011-07-27,15016,13.9076
2011-07-28,14754,13.481906666666667
2011-07-29,15698,13.514396363636365
2011-07-30,13334,13.53281315789474
2011-07-31,14085,13.379893333333333
2011-08-01,16022,13.095602000000005
2011-08-02,13644,12.060019
2011-08-03,9923,9.26005
2011-08-04,10044,10.743663333333332
2011-08-05,12453,9.7726675
2011-08-06,13860,6.511275454545455
2011-08-07,11952,8.166288292682923
2011-08-08,13006,7.8298549999999985
2011-08-09,15403,9.74886068965517
2011-08-10,10931,10.01468625
2011-08-11,10209,9.45624
2011-08-12,9266,9.460339999999999
2011-08-13,10805,10.123339655172405
2011-08-14,13448,10.744264615384619
2011-08-15,11590,11.138136
2011-08-16,11429,10.958955
2011-08-17,11171,10.993066666666667
2011-08-18,12606,10.847017692307693
2011-08-19,13802,11.65
2011-08-20,13292,11.450997999999998
2011-08-21,13739,11.323212000000002
2011-08-22,15721,10.940764736842107
2011-08-23,15928,10.927407
2011-08-24,13428,10.8506
2011-08-25,13419,9.684139710144926
2011-08-26,14288,8.179189444444445
2011-08-27,10875,8.5902
2011-08-28,11939,9.078464285714286
2011-08-29,12312,8.96809375
2011-08-30,9251,8.795466000000001
2011-08-31,8914,8.22353625
2011-09-01,8679,8.228883750000001
2011-09-02,8446,8.62278
2011-09-03,7881,8.479
2011-09-04,9591,8.17871357142857
2011-09-05,10076,7.629207142857145
2011-09-06,9672,6.864676666666665
2011-09-07,9100,7.186077777777778
2011-09-08,7981,6.5331220000000005
2011-09-09,8465,5.05558
2011-09-10,7908,4.764342000000001
2011-09-11,7782,5.914224166666667
2011-09-12,8278,6.061434285714286
2011-09-13,8074,5.8
2011-09-14,7981,5.619543333333333
2011-09-15,7311,4.805915714285715
2011-09-16,7628,4.811
2011-09-17,7726,4.7647
2011-09-18,6772,5.2382333333333335
2011-09-19,7610,5.462770769230769
2011-09-20,12492,6.114797272727272
2011-09-21,10151,5.660935625
2011-09-22,10106,5.473564
2011-09-23,12439,5.557576363636364
2011-09-24,13831,5.4715266666666675
2011-09-25,12889,5.331829999999999
