Time,BTC daily transaction volume on the chain,Price
2009-08-08,5500.13,0.0
2009-08-09,0.0,0.0
2009-08-10,0.0,0.0
2009-08-11,0.0,0.0
2009-08-12,0.0,0.0
2009-08-13,0.0,0.0
2009-08-14,0.0,0.0
2009-08-15,0.0,0.0
2009-08-16,0.0,0.0
2009-08-17,0.0,0.0
2009-08-18,0.0,0.0
2009-08-19,0.0,0.0
2009-08-20,0.0,0.0
2009-08-21,0.0,0.0
2009-08-22,0.0,0.0
2009-08-23,0.0,0.0
2009-08-24,0.0,0.0
2009-08-25,0.0,0.0
2009-08-26,0.0,0.0
2009-08-27,2299.5299999999997,0.0
2009-08-28,0.0,0.0
2009-08-29,0.0,0.0
2009-08-30,50.0,0.0
2009-08-31,300.0,0.0
2009-09-01,0.0,0.0
2009-09-02,0.0,0.0
2009-09-03,700.0,0.0
2009-09-04,0.0,0.0
2009-09-05,0.0,0.0
2009-09-06,0.0,0.0
2009-09-07,650.0,0.0
2009-09-08,0.0,0.0
2009-09-09,0.0,0.0
2009-09-10,0.0,0.0
2009-09-11,0.0,0.0
2009-09-12,0.0,0.0
2009-09-13,0.0,0.0
2009-09-14,0.0,0.0
2009-09-15,0.0,0.0
2009-09-16,1.0,0.0
2009-09-17,0.0,0.0
2009-09-18,5000.12,0.0
2009-09-19,0.0,0.0
2009-09-20,0.0,0.0
2009-09-21,0.0,0.0
2009-09-22,400.0,0.0
2009-09-23,2000.0,0.0
2009-09-24,0.0,0.0
2009-09-25,1000.0,0.0
2009-09-26,300.0,0.0
2009-09-27,800.0,0.0
2009-09-28,0.0,0.0
2009-09-29,2150.0,0.0
2009-09-30,0.0,0.0
2009-10-01,0.0,0.0
2009-10-02,500.0,0.0
2009-10-03,0.0,0.0
2009-10-04,0.0,0.0
2009-10-05,0.0,0.0
2009-10-06,200.0,0.0
2009-10-07,0.0,0.0
2009-10-08,0.0,0.0
2009-10-09,0.0,0.0
2009-10-10,0.0,0.0
2009-10-11,0.0,0.0
2009-10-12,5050.0,0.0
2009-10-13,0.0,0.0
2009-10-14,0.0,0.0
2009-10-15,0.0,0.0
2009-10-16,9700.0,0.0
2009-10-17,0.0,0.0
2009-10-18,350.0,0.0
2009-10-19,0.0,0.0
2009-10-20,0.0,0.0
2009-10-21,5000.12,0.0
2009-10-22,12849.76,0.0
2009-10-23,0.0,0.0
2009-10-24,0.0,0.0
2009-10-25,12250.0,0.0
2009-10-26,0.0,0.0
2009-10-27,13000.0,0.0
2009-10-28,0.0,0.0
2009-10-29,500.0,0.0
2009-10-30,1550.0,0.0
2009-10-31,0.0,0.0
2009-11-01,0.0,0.0
2009-11-02,0.0,0.0
2009-11-03,0.0,0.0
2009-11-04,0.0,0.0
2009-11-05,15500.0,0.0
2009-11-06,0.0,0.0
2009-11-07,0.0,0.0
2009-11-08,0.0,0.0
2009-11-09,0.0,0.0
2009-11-10,0.0,0.0
2009-11-11,18000.0,0.0
2009-11-12,0.0,0.0
2009-11-13,520.0,0.0
2009-11-14,0.0,0.0
2009-11-15,0.0,0.0
2009-11-16,0.0,0.0
2009-11-17,0.0,0.0
2009-11-18,0.0,0.0
2009-11-19,0.0,0.0
2009-11-20,44350.0,0.0
2009-11-21,0.0,0.0
2009-11-22,0.0,0.0
2009-11-23,0.0,0.0
2009-11-24,0.0,0.0
2009-11-25,0.0,0.0
2009-11-26,0.0,0.0
2009-11-27,0.0,0.0
2009-11-28,0.0,0.0
2009-11-29,0.0,0.0
2009-11-30,0.0,0.0
2009-12-01,0.0,0.0
2009-12-02,10050.0,0.0
2009-12-03,0.0,0.0
2009-12-04,0.0,0.0
2009-12-05,0.0,0.0
2009-12-06,1040.0,0.0
2009-12-07,0.0,0.0
2009-12-08,1500.0,0.0
2009-12-09,2104.0,0.0
2009-12-10,21.0,0.0
2009-12-11,0.0,0.0
2009-12-12,5200.0,0.0
2009-12-13,0.0,0.0
2009-12-14,32308.7,0.0
2009-12-15,5638.0,0.0
2009-12-16,851.0,0.0
2009-12-17,200.5,0.0
2009-12-18,0.5,0.0
2009-12-19,50.0,0.0
2009-12-20,0.0,0.0
2009-12-21,50.0,0.0
2009-12-22,0.0,0.0
2009-12-23,0.0,0.0
2009-12-24,0.0,0.0
2009-12-25,0.5,0.0
2009-12-26,0.0,0.0
2009-12-27,250.0,0.0
2009-12-28,0.0,0.0
2009-12-29,0.0,0.0
2009-12-30,0.0,0.0
2009-12-31,0.0,0.0
2010-01-01,0.0,0.0
2010-01-02,100.0,0.0
2010-01-03,0.0,0.0
2010-01-04,20654.35,0.0
2010-01-05,150.0,0.0
2010-01-06,0.0,0.0
2010-01-07,0.0,0.0
2010-01-08,0.0,0.0
2010-01-09,0.0,0.0
2010-01-10,0.0,0.0
2010-01-11,0.0,0.0
2010-01-12,0.0,0.0
2010-01-13,10750.26,0.0
2010-01-14,10.0,0.0
2010-01-15,400.0,0.0
2010-01-16,200.74,0.0
2010-01-17,251.0,0.0
2010-01-18,0.0,0.0
2010-01-19,50.0,0.0
2010-01-20,0.0,0.0
2010-01-21,488.29,0.0
2010-01-22,200.0,0.0
2010-01-23,50.0,0.0
2010-01-24,101.0,0.0
2010-01-25,3300.0,0.0
2010-01-26,150.0,0.0
2010-01-27,824.0,0.0
2010-01-28,900.0,0.0
2010-01-29,1500.0,0.0
2010-01-30,800.0,0.0
2010-01-31,1650.0,0.0
2010-02-01,2700.0,0.0
2010-02-02,650.0,0.0
2010-02-03,1050.0,0.0
2010-02-04,700.0,0.0
2010-02-05,13898.99,0.0
2010-02-06,1200.0,0.0
2010-02-07,900.0,0.0
2010-02-08,7152.0,0.0
2010-02-09,200.0,0.0
2010-02-10,51000.44,0.0
2010-02-11,800.0,0.0
2010-02-12,8850.0,0.0
2010-02-13,2199.0,0.0
2010-02-14,24924.510000000002,0.0
2010-02-15,850.0,0.0
2010-02-16,4299.98,0.0
2010-02-17,6297.54,0.0
2010-02-18,54435.33,0.0
2010-02-19,1450.0,0.0
2010-02-20,150.01,0.0
2010-02-21,1566.83,0.0
2010-02-22,18350.0,0.0
2010-02-23,1300.0,0.0
2010-02-24,5300.0,0.0
2010-02-25,200.0,0.0
2010-02-26,21349.0,0.0
2010-02-27,450.0,0.0
2010-02-28,5299.0,0.0
2010-03-01,0.0,0.0
2010-03-02,3250.0,0.0
2010-03-03,500.0,0.0
2010-03-04,10100.0,0.0
2010-03-05,19450.0,0.0
2010-03-06,23647.39,0.0
2010-03-07,6250.0,0.0
2010-03-08,9695.18,0.0
2010-03-09,4700.0,0.0
2010-03-10,1400.0,0.0
2010-03-11,4449.99,0.0
2010-03-12,250.0,0.0
2010-03-13,1900.0,0.0
2010-03-14,1550.0,0.0
2010-03-15,102.0,0.0
2010-03-16,150.0,0.0
2010-03-17,2151.0,0.0
2010-03-18,330.0,0.0
2010-03-19,8820.0,0.0
2010-03-20,3946.0,0.0
2010-03-21,2552.0,0.0
2010-03-22,2700.0,0.0
2010-03-23,3660.59,0.0
2010-03-24,1076.34,0.0
2010-03-25,1950.0,0.0
2010-03-26,25251.04,0.0
2010-03-27,3600.0,0.0
2010-03-28,2750.0,0.0
2010-03-29,1450.0,0.0
2010-03-30,2700.0,0.0
2010-03-31,1100.0,0.0
2010-04-01,1174.2,0.0
2010-04-02,1700.0,0.0
2010-04-03,1623.48,0.0
2010-04-04,2205.26,0.0
2010-04-05,4150.0,0.0
2010-04-06,12506.82,0.0
2010-04-07,5499.139999999999,0.0
2010-04-08,1335.0,0.0
2010-04-09,4724.01,0.0
2010-04-10,40893.0,0.0
2010-04-11,4357.8,0.0
2010-04-12,36684.14,0.0
2010-04-13,5176.98,0.0
2010-04-14,5765.29,0.0
2010-04-15,60878.18,0.0
2010-04-16,61590.57000000001,0.0
2010-04-17,7740.58,0.0
2010-04-18,9731.84,0.0
2010-04-19,35404.37,0.0
2010-04-20,31413.8,0.0
2010-04-21,4608.8099999999995,0.0
2010-04-22,23267.85,0.0
2010-04-23,5403.99,0.0
2010-04-24,3907.04,0.0
2010-04-25,12920.8,0.0
2010-04-26,9065.5,0.0
2010-04-27,14147.869999999999,0.0
2010-04-28,6576.17,0.0
2010-04-29,5630.73,0.0
2010-04-30,33460.32000000001,0.0
2010-05-01,33244.6,0.0
2010-05-02,3903.0,0.0
2010-05-03,7801.0,0.0
2010-05-04,5804.0,0.0
2010-05-05,29805.75,0.0
2010-05-06,9499.970000000001,0.0
2010-05-07,42445.01,0.0
2010-05-08,3760.0,0.0
2010-05-09,24098.66,0.0
2010-05-10,6050.0,0.0
2010-05-11,4063.88,0.0
2010-05-12,10250.05,0.0
2010-05-13,19170.11,0.0
2010-05-14,17225.33,0.0
2010-05-15,4170.03,0.0
2010-05-16,3388.64,0.0
2010-05-17,9847.48,0.0
2010-05-18,5521.0,0.0
2010-05-19,15045.81,0.0
2010-05-20,8722.67,0.0
2010-05-21,4812.96,0.0
2010-05-22,38536.75,0.0
2010-05-23,48803.78,0.0
2010-05-24,19194.36,0.0
