Time,BTC full node data size,Price
2009-07-21,4.443811,null
2009-07-22,4.45912,null
2009-07-23,4.472909,null
2009-07-24,4.489316,null
2009-07-25,4.502271,null
2009-07-26,4.504211,null
2009-07-27,4.517159,null
2009-07-28,4.528164,null
2009-07-29,4.534636,null
2009-07-30,4.537713,null
2009-07-31,4.54075,null
2009-08-01,4.546143,null
2009-08-02,4.552186,null
2009-08-03,4.55585,null
2009-08-04,4.567059,null
2009-08-05,4.586911,null
2009-08-06,4.607413,null
2009-08-07,4.622963,null
2009-08-08,4.653649,null
2009-08-09,4.674597,null
2009-08-10,4.692309,null
2009-08-11,4.707208,null
2009-08-12,4.722311,null
2009-08-13,4.739776,null
2009-08-14,4.753591,null
2009-08-15,4.761999,null
2009-08-16,4.766523,null
2009-08-17,4.771054,null
2009-08-18,4.773213,null
2009-08-19,4.776015,null
2009-08-20,4.781182,null
2009-08-21,4.785052,null
2009-08-22,4.786342,null
2009-08-23,4.789359,null
2009-08-24,4.79108,null
2009-08-25,4.802071,null
2009-08-26,4.810705,null
2009-08-27,4.822932,null
2009-08-28,4.836733,null
2009-08-29,4.855074,null
2009-08-30,4.873364,null
2009-08-31,4.89459,null
2009-09-01,4.912502,null
2009-09-02,4.926531,null
2009-09-03,4.941777,null
2009-09-04,4.954288,null
2009-09-05,4.970047,null
2009-09-06,4.986016,null
2009-09-07,5.004383,null
2009-09-08,5.01884,null
2009-09-09,5.030925,null
2009-09-10,5.044522,null
2009-09-11,5.05898,null
2009-09-12,5.073656,null
2009-09-13,5.089197,null
2009-09-14,5.106467,null
2009-09-15,5.120066,null
2009-09-16,5.131941,null
2009-09-17,5.149197,null
2009-09-18,5.179172,null
2009-09-19,5.194074,null
2009-09-20,5.210704,null
2009-09-21,5.227334,null
2009-09-22,5.236485,null
2009-09-23,5.246049,null
2009-09-24,5.262434,null
2009-09-25,5.286755,null
2009-09-26,5.306881,null
2009-09-27,5.329029,null
2009-09-28,5.347602,null
2009-09-29,5.370941,null
2009-09-30,5.388853,null
2009-10-01,5.406988,null
2009-10-02,5.426307,null
2009-10-03,5.437727,null
2009-10-04,5.452168,null
2009-10-05,5.463387,null
2009-10-06,5.475177,null
2009-10-07,5.485748,null
2009-10-08,5.500188,null
2009-10-09,5.516573,null
2009-10-10,5.533618,null
2009-10-11,5.551096,null
2009-10-12,5.573095,null
2009-10-13,5.584317,null
2009-10-14,5.596832,null
2009-10-15,5.613846,null
2009-10-16,5.638129,null
2009-10-17,5.649787,null
2009-10-18,5.664433,null
2009-10-19,5.685982,null
2009-10-20,5.709691,null
2009-10-21,5.739426,null
2009-10-22,5.76457,null
2009-10-23,5.782669,null
2009-10-24,5.799909,null
2009-10-25,5.815905,null
2009-10-26,5.830362,null
2009-10-27,5.84696,null
2009-10-28,5.86033,null
2009-10-29,5.873166,null
2009-10-30,5.889247,null
2009-10-31,5.899366,null
2009-11-01,5.906472,null
2009-11-02,5.91336,null
2009-11-03,5.923281,null
2009-11-04,5.937069,null
2009-11-05,5.95689,null
2009-11-06,5.967666,null
2009-11-07,5.983626,null
2009-11-08,5.998499,null
2009-11-09,6.012086,null
2009-11-10,6.027811,null
2009-11-11,6.050749,null
2009-11-12,6.064963,null
2009-11-13,6.082316,null
2009-11-14,6.09935,null
2009-11-15,6.120692,null
2009-11-16,6.1414,null
2009-11-17,6.161672,null
2009-11-18,6.179133,null
2009-11-19,6.194639,null
2009-11-20,6.223067,null
2009-11-21,6.23989,null
2009-11-22,6.261674,null
2009-11-23,6.281968,null
2009-11-24,6.303963,null
2009-11-25,6.322723,null
2009-11-26,6.33975,null
2009-11-27,6.355697,null
2009-11-28,6.372721,null
2009-11-29,6.384797,null
2009-11-30,6.400977,null
2009-12-01,6.415223,null
2009-12-02,6.455701,null
2009-12-03,6.472533,null
2009-12-04,6.485256,null
2009-12-05,6.496664,null
2009-12-06,6.520438,null
2009-12-07,6.540924,null
2009-12-08,6.569886,null
2009-12-09,6.593969,null
2009-12-10,6.616512,null
2009-12-11,6.644511,null
2009-12-12,6.673441,null
2009-12-13,6.695646,null
2009-12-14,6.756316,null
2009-12-15,6.783049,null
2009-12-16,6.810114,null
2009-12-17,6.846195,null
2009-12-18,6.887993,null
2009-12-19,6.936272,null
2009-12-20,6.975574,null
2009-12-21,7.016073,null
2009-12-22,7.049088,null
2009-12-23,7.086394,null
2009-12-24,7.117019,null
2009-12-25,7.152416,null
2009-12-26,7.184345,null
