Time,BTC number of daily transactions on the chain,Price
2009-10-20,110,null
2009-10-21,85,null
2009-10-22,87,null
2009-10-23,84,null
2009-10-24,80,null
2009-10-25,71,null
2009-10-26,67,null
2009-10-27,69,null
2009-10-28,62,null
2009-10-29,55,null
2009-10-30,59,null
2009-10-31,47,null
2009-11-01,33,null
2009-11-02,32,null
2009-11-03,46,null
2009-11-04,64,null
2009-11-05,70,null
2009-11-06,50,null
2009-11-07,74,null
2009-11-08,69,null
2009-11-09,63,null
2009-11-10,73,null
2009-11-11,81,null
2009-11-12,66,null
2009-11-13,75,null
2009-11-14,79,null
2009-11-15,99,null
2009-11-16,96,null
2009-11-17,94,null
2009-11-18,81,null
2009-11-19,72,null
2009-11-20,82,null
2009-11-21,78,null
2009-11-22,101,null
2009-11-23,94,null
2009-11-24,102,null
2009-11-25,87,null
2009-11-26,79,null
2009-11-27,74,null
2009-11-28,79,null
2009-11-29,56,null
2009-11-30,75,null
2009-12-01,66,null
2009-12-02,98,null
2009-12-03,78,null
2009-12-04,59,null
2009-12-05,53,null
2009-12-06,101,null
2009-12-07,95,null
2009-12-08,120,null
2009-12-09,104,null
2009-12-10,104,null
2009-12-11,130,null
2009-12-12,100,null
2009-12-13,103,null
2009-12-14,109,null
2009-12-15,120,null
2009-12-16,117,null
2009-12-17,163,null
2009-12-18,194,null
2009-12-19,224,null
2009-12-20,182,null
2009-12-21,188,null
2009-12-22,153,null
2009-12-23,173,null
2009-12-24,142,null
2009-12-25,164,null
2009-12-26,148,null
2009-12-27,169,null
2009-12-28,144,null
2009-12-29,172,null
2009-12-30,154,null
2009-12-31,140,null
2010-01-01,127,null
2010-01-02,128,null
2010-01-03,156,null
2010-01-04,200,null
2010-01-05,205,null
2010-01-06,161,null
2010-01-07,152,null
2010-01-08,158,null
2010-01-09,149,null
2010-01-10,175,null
2010-01-11,164,null
2010-01-12,170,null
2010-01-13,157,null
2010-01-14,151,null
2010-01-15,150,null
2010-01-16,139,null
2010-01-17,119,null
2010-01-18,131,null
2010-01-19,122,null
2010-01-20,137,null
2010-01-21,183,null
2010-01-22,159,null
2010-01-23,143,null
2010-01-24,153,null
2010-01-25,207,null
2010-01-26,202,null
2010-01-27,188,null
2010-01-28,170,null
2010-01-29,195,null
2010-01-30,188,null
2010-01-31,207,null
2010-02-01,181,null
2010-02-02,147,null
2010-02-03,238,null
2010-02-04,231,null
2010-02-05,257,null
2010-02-06,201,null
2010-02-07,206,null
2010-02-08,234,null
2010-02-09,210,null
2010-02-10,175,null
2010-02-11,178,null
2010-02-12,187,null
2010-02-13,227,null
2010-02-14,213,null
2010-02-15,193,null
2010-02-16,187,null
2010-02-17,229,null
2010-02-18,252,null
2010-02-19,173,null
2010-02-20,236,null
2010-02-21,212,null
2010-02-22,257,null
2010-02-23,240,null
2010-02-24,219,null
2010-02-25,148,null
2010-02-26,177,null
2010-02-27,171,null
2010-02-28,170,null
2010-03-01,182,null
2010-03-02,207,null
2010-03-03,155,null
2010-03-04,171,null
2010-03-05,194,null
2010-03-06,183,null
2010-03-07,166,null
2010-03-08,157,null
2010-03-09,151,null
2010-03-10,144,null
2010-03-11,154,null
2010-03-12,126,null
2010-03-13,155,null
2010-03-14,128,null
2010-03-15,135,null
2010-03-16,134,null
2010-03-17,126,null
2010-03-18,161,null
2010-03-19,145,null
2010-03-20,195,null
2010-03-21,194,null
2010-03-22,184,null
2010-03-23,209,null
2010-03-24,193,null
2010-03-25,193,null
2010-03-26,218,null
2010-03-27,180,null
2010-03-28,201,null
2010-03-29,197,null
2010-03-30,219,null
2010-03-31,219,null
2010-04-01,197,null
2010-04-02,156,null
2010-04-03,179,null
2010-04-04,168,null
2010-04-05,178,null
2010-04-06,180,null
2010-04-07,203,null
2010-04-08,207,null
2010-04-09,189,null
2010-04-10,276,null
2010-04-11,277,null
2010-04-12,277,null
2010-04-13,193,null
2010-04-14,232,null
2010-04-15,278,null
2010-04-16,239,null
2010-04-17,247,null
2010-04-18,323,null
2010-04-19,3306,null
2010-04-20,241,null
2010-04-21,244,null
2010-04-22,223,null
2010-04-23,190,null
2010-04-24,193,null
2010-04-25,216,null
2010-04-26,222,null
2010-04-27,221,null
2010-04-28,219,null
2010-04-29,197,null
2010-04-30,185,null
2010-05-01,181,null
2010-05-02,205,null
2010-05-03,189,null
2010-05-04,144,null
2010-05-05,195,null
2010-05-06,166,null
