Time,BTC number of daily transactions on the chain,Price
2011-11-28,5847,2.5472952941176468
2011-11-29,6344,2.750195
2011-11-30,6572,2.9443099999999998
2011-12-01,6632,3.068399583333333
2011-12-02,6214,3.1109315384615384
2011-12-03,5823,2.7837090243902427
2011-12-04,5312,2.8280966666666667
2011-12-05,6218,2.85107
2011-12-06,6876,3.0335100000000006
2011-12-07,7260,2.9737285714285715
2011-12-08,5709,2.988714000000001
2011-12-09,5759,2.962285
2011-12-10,6042,3.05437625
2011-12-11,5005,3.25089125
2011-12-12,4956,3.1458730000000004
2011-12-13,5611,3.2499
2011-12-14,5283,3.147667777777777
2011-12-15,5169,3.201991666666667
2011-12-16,5286,3.206595
2011-12-17,4931,3.2000233333333328
2011-12-18,4688,3.192505
2011-12-19,5103,3.5238750000000003
2011-12-20,6450,3.981072424242424
2011-12-21,6004,3.8821
2011-12-22,5683,3.908236249999999
2011-12-23,5850,3.94678
2011-12-24,4661,3.94
2011-12-25,4989,4.225
2011-12-26,5519,4.011599411764705
2011-12-27,5741,4.107745
2011-12-28,4887,4.183901479291041
2011-12-29,5276,4.166566666666666
2011-12-30,4727,4.2478428571428575
2011-12-31,5355,4.721629090909091
2012-01-01,4554,5.27839909090909
2012-01-02,5809,5.21678
2012-01-03,5564,4.883427777777778
2012-01-04,5688,5.58749
2012-01-05,6642,6.982924814814817
2012-01-06,6450,6.696863333333334
2012-01-07,6227,6.811656666666668
2012-01-08,6206,7.13009076923077
2012-01-09,6302,6.3162949999999976
2012-01-10,6445,6.449687599999999
2012-01-11,7057,6.899966666666668
2012-01-12,6933,6.797846666666668
2012-01-13,6715,6.413502074303406
2012-01-14,6939,6.750014999999999
2012-01-15,6824,7.0275609090909095
2012-01-16,6401,6.648461904761903
2012-01-17,6742,5.56730760869565
2012-01-18,7233,5.9170500000000015
2012-01-19,6345,6.3543171428571465
2012-01-20,6554,6.37286
2012-01-21,6933,6.165864
2012-01-22,5481,6.3065940000000005
2012-01-23,6018,6.343111578947367
2012-01-24,6548,6.2675833333333335
2012-01-25,8082,5.795209444444442
2012-01-26,6696,5.335037058823528
2012-01-27,6733,5.288307142857144
2012-01-28,5847,5.630534444444443
2012-01-29,6463,5.38777
2012-01-30,6007,5.490466666666666
2012-01-31,6621,5.4956314285714285
2012-02-01,6787,6.07439125
2012-02-02,6947,6.100066666666666
2012-02-03,6985,5.95465
2012-02-04,7443,5.872845
2012-02-05,6770,5.684396666666667
2012-02-06,6469,5.48982
2012-02-07,6731,5.633037777777778
2012-02-08,6722,5.59998
2012-02-09,6978,5.839615431034474
2012-02-10,8734,5.9169264
2012-02-11,7962,5.6005
2012-02-12,7106,5.51468
2012-02-13,7616,5.2851921875
2012-02-14,9454,4.433381818181816
2012-02-15,9250,4.271745454545455
2012-02-16,9480,4.26945
2012-02-17,7357,4.39621
2012-02-18,6788,4.2372890909090914
2012-02-19,6040,4.3784025
2012-02-20,5889,4.3729900000000015
2012-02-21,6427,4.3025400000000005
2012-02-22,7196,4.446645833333334
2012-02-23,7440,5.019525199999999
2012-02-24,7466,5.02920125
2012-02-25,6709,4.7802454545454545
2012-02-26,5873,4.9259825
2012-02-27,6203,4.959988
2012-02-28,6721,4.862755
2012-02-29,7083,4.860007083333335
2012-03-01,6735,4.92133
2012-03-02,7265,4.71674142857143
2012-03-03,5793,4.617961428571427
2012-03-04,6115,4.825593333333333
2012-03-05,6961,4.978101428571429
2012-03-06,6771,4.9941958333333325
2012-03-07,6418,4.922407499999999
2012-03-08,6637,4.93016
2012-03-09,6553,4.862108
2012-03-10,6098,4.46
2012-03-11,5106,4.882311538461538
2012-03-12,5581,4.903366666666667
2012-03-13,6515,5.274977999999999
2012-03-14,7473,5.386665000000002
2012-03-15,6576,5.197815
2012-03-16,6758,5.34374
2012-03-17,7367,5.180602500000001
2012-03-18,5987,5.279683333333334
2012-03-19,6345,4.6945440000000005
2012-03-20,6946,4.8374558333333315
2012-03-21,6821,4.80403
2012-03-22,6720,4.7301400000000005
2012-03-23,6324,4.675243333333333
2012-03-24,6373,4.6669599999999996
2012-03-25,6259,4.5500099999999986
2012-03-26,6451,4.621338333333333
2012-03-27,6721,4.810291537920626
2012-03-28,6789,4.8102475
2012-03-29,7553,4.756541363636363
2012-03-30,7191,4.8591425
2012-03-31,6420,4.8943925
2012-04-01,5616,4.8207049999999985
2012-04-02,5842,4.980836000000001
2012-04-03,7615,4.952
2012-04-04,7407,4.920066666666667
2012-04-05,7127,4.919
2012-04-06,6963,4.9333922222222215
2012-04-07,6125,4.681678461538461
2012-04-08,6066,4.794499999999998
2012-04-09,5940,4.850681428571427
2012-04-10,8160,4.833646666666667
2012-04-11,8046,4.928101666666668
2012-04-12,8162,4.90060875
2012-04-13,7633,4.936494705882354
2012-04-14,7971,4.96381
2012-04-15,7317,4.968925833333332
2012-04-16,7541,4.94573
2012-04-17,8518,4.974027142857142
2012-04-18,8309,5.1133
2012-04-19,7855,5.1059575000000015
2012-04-20,8179,5.367622000000001
2012-04-21,7816,5.2347825
2012-04-22,6612,5.203516666666666
2012-04-23,6887,4.9993401395352315
2012-04-24,7192,5.09822
2012-04-25,8036,5.1318199999999985
2012-04-26,9839,5.0976550000000005
2012-04-27,7291,5.104490196078428
2012-04-28,7191,4.9793
2012-04-29,8006,4.88741
2012-04-30,8730,4.936656000000001
2012-05-01,9740,4.99750857142857
2012-05-02,9798,5.03139375
2012-05-03,11822,5.100782499999999
2012-05-04,14227,5.0675050000000015
2012-05-05,13599,5.0766175
2012-05-06,12894,5.04991
2012-05-07,15313,5.073795
2012-05-08,16839,5.04494
2012-05-09,19275,4.98185
2012-05-10,13726,4.863997236842108
2012-05-11,13101,4.953752
2012-05-12,22569,4.9461900000000005
2012-05-13,14185,4.92996
2012-05-14,26855,5.007936428571427
2012-05-15,20221,5.03501
2012-05-16,21368,5.052466666666667
2012-05-17,15024,5.0884583333333335
2012-05-18,20851,5.11801
2012-05-19,37413,5.1096499999999985
2012-05-20,33045,5.09002
2012-05-21,30257,5.089795
2012-05-22,25595,5.0830275
2012-05-23,26041,5.132372500000002
2012-05-24,26443,5.11904
2012-05-25,29626,5.135513333333333
2012-05-26,22885,5.103236666666667
2012-05-27,22412,5.1044800000000015
2012-05-28,31196,5.1358
2012-05-29,30922,5.14997
2012-05-30,27967,5.134995
2012-05-31,21541,5.191893846153846
2012-06-01,22123,5.257021428571427
2012-06-02,21299,5.24898
2012-06-03,23983,5.207307777777777
2012-06-04,44157,5.259519999999999
2012-06-05,46618,5.4058790494853435
2012-06-06,19448,5.461776666666666
2012-06-07,30479,5.591628
2012-06-08,26542,5.631736666666666
2012-06-09,30770,5.55997
2012-06-10,39431,5.46525
2012-06-11,35187,5.581583333333334
2012-06-12,22450,5.7100133333333325
2012-06-13,51064,5.920347499999999
2012-06-14,51797,5.964776315789472
2012-06-15,62785,6.532364516129032
2012-06-16,49207,6.43582
2012-06-17,38309,6.17805125
2012-06-18,40502,6.294876808510639
2012-06-19,37195,6.498756666666666
2012-06-20,35451,6.6717150000000025
2012-06-21,26281,6.6615142857142855
2012-06-22,25677,6.5253525
2012-06-23,22249,6.439432000000003
2012-06-24,20924,6.350021666666668
2012-06-25,26018,6.308441428571429
2012-06-26,31724,6.4195
2012-06-27,31796,6.622337272727273
2012-06-28,27962,6.605946666666667
2012-06-29,21862,6.6512055555555545
2012-06-30,23159,6.689967499999999
2012-07-01,19594,6.628989999999999
2012-07-02,24252,6.7600609090909085
2012-07-03,22904,6.449972
2012-07-04,21697,6.5101
2012-07-05,22929,6.658883333333333
2012-07-06,22188,6.6287400000000005
2012-07-07,25775,6.7784274999999985
2012-07-08,22382,6.79898
2012-07-09,24173,6.9465625
2012-07-10,33175,7.199859999999998
2012-07-11,31507,7.167266666666667
2012-07-12,26048,7.688739230769229
2012-07-13,22879,7.646275
2012-07-14,26201,7.544697999999999
2012-07-15,25520,7.621010000000001
2012-07-16,29411,8.478222222222222
2012-07-17,34519,8.747044166666667
2012-07-18,29073,9.087988571428571
2012-07-19,32740,8.858418333333333
2012-07-20,36583,8.538545
2012-07-21,37142,8.84553
2012-07-22,30511,8.433048
2012-07-23,35900,8.444405714285713
2012-07-24,29908,8.562244999999999
2012-07-25,28580,8.801195
2012-07-26,30056,8.890338181818182
2012-07-27,26515,8.9
2012-07-28,33446,8.853267500000001
2012-07-29,31240,8.709648888888887
2012-07-30,40876,9.085184444444444
2012-07-31,34191,9.321236874999997
2012-08-01,36231,9.504267500000001
2012-08-02,31236,10.573568846153846
2012-08-03,29819,10.8454475
2012-08-04,25766,10.904964000000005
2012-08-05,34645,10.844743333333335
2012-08-06,34172,10.841448
2012-08-07,30768,10.951328521408579
2012-08-08,36260,11.06151
2012-08-09,36070,11.127167857142858
2012-08-10,25911,11.362767142857145
2012-08-11,32211,11.51378333333333
2012-08-12,31352,11.62340818181818
2012-08-13,49571,12.02189375
2012-08-14,38418,12.185994
2012-08-15,45627,13.24609681818182
2012-08-16,50183,13.476283333333335
2012-08-17,41738,11.679850689655176
2012-08-18,39084,11.40391125
2012-08-19,35786,7.920336249999999
2012-08-20,35583,10.073154202864243
2012-08-21,38871,9.906821111111112
2012-08-22,42306,9.763395
2012-08-23,32190,10.0999925
2012-08-24,32415,10.613777777777775
2012-08-25,34021,10.555836666666666
2012-08-26,29858,10.556
2012-08-27,31885,10.928728333333332
2012-08-28,31856,10.868043333333333
2012-08-29,33278,10.866303333333335
2012-08-30,29811,10.772274000000001
2012-08-31,42162,10.12176
2012-09-01,42580,9.97696
2012-09-02,31807,10.206460000000002
2012-09-03,40904,10.528666666666666
2012-09-04,34708,10.36613
2012-09-05,41835,10.976521111111113
2012-09-06,45160,11.18497
2012-09-07,33333,11.003323333333334
2012-09-08,33220,11.038995
2012-09-09,30940,11.073326666666668
2012-09-10,32026,11.127033333333333
2012-09-11,36903,11.2258135
2012-09-12,32498,11.3389225
2012-09-13,26045,11.373003333333335
2012-09-14,36091,11.7316
2012-09-15,30097,11.682625
2012-09-16,28168,11.863090555555553
2012-09-17,25246,11.897081666666665
2012-09-18,30033,12.294733333333333
2012-09-19,34286,12.521989999999999
2012-09-20,33160,12.337124285714285
2012-09-21,29563,12.344472857142858
2012-09-22,24680,12.2159
2012-09-23,22998,12.0983275
2012-09-24,31011,12.09198
2012-09-25,24536,12.134418
2012-09-26,29879,12.33285857142857
2012-09-27,31897,12.317598333333335
2012-09-28,28329,12.28
2012-09-29,28289,12.363095
2012-09-30,21937,12.37475
2012-10-01,22480,12.047820654016881
2012-10-02,27280,12.693781666666665
2012-10-03,33897,12.9395
2012-10-04,26571,12.766666666666666
2012-10-05,36974,12.7
2012-10-06,34799,12.505
2012-10-07,30556,11.815475
2012-10-08,39714,11.754278333333332
2012-10-09,35372,11.883887142857144
2012-10-10,33093,12.094166666666665
2012-10-11,30775,12.03
2012-10-12,23389,11.923916666666674
2012-10-13,38638,11.865472857142858
2012-10-14,25534,11.728699230769232
2012-10-15,29272,11.801467777777773
2012-10-16,34840,11.81490142857143
2012-10-17,32701,11.923778333333333
2012-10-18,29545,11.916797777777774
2012-10-19,26432,11.765486629213502
2012-10-20,27614,11.70436789473684
2012-10-21,40011,11.660545
2012-10-22,35251,11.732331666666667
2012-10-23,40671,11.7110025
2012-10-24,33655,11.64999
2012-10-25,27696,10.754429
2012-10-26,23209,10.17753181818182
2012-10-27,18945,10.321827857142855
2012-10-28,17021,10.68099
2012-10-29,18060,10.59333
2012-10-30,29272,10.846225
2012-10-31,28928,11.038845714285717
2012-11-01,25101,10.588944699114066
2012-11-02,27530,10.415661304347829
2012-11-03,26807,10.6425
2012-11-04,21737,10.823336666666668
2012-11-05,31808,10.705152857142858
2012-11-06,28192,10.831798999999998
2012-11-07,37605,10.875523333333335
2012-11-08,35211,10.855767777777777
2012-11-09,27239,10.815263157894735
2012-11-10,27009,10.875083999999998
2012-11-11,22706,10.53394
2012-11-12,24777,10.9172
2012-11-13,25068,10.881670588235293
2012-11-14,28838,10.94934
2012-11-15,38150,11.120750384615386
2012-11-16,36902,11.744632
2012-11-17,33879,11.788836999999996
2012-11-18,34302,11.606691818181815
2012-11-19,33066,11.76062
2012-11-20,37862,11.66508
2012-11-21,40624,11.697982666666665
2012-11-22,34918,12.32543923076923
2012-11-23,31811,12.33623153846154
2012-11-24,27191,12.370765
2012-11-25,34983,12.50539
2012-11-26,34821,12.221585
2012-11-27,30336,12.187300000000002
2012-11-28,35916,12.296015833333335
2012-11-29,40056,12.45
2012-11-30,28378,12.55498
2012-12-01,37916,12.578930297707243
2012-12-02,21176,12.4360175
2012-12-03,22471,12.654310844398156
2012-12-04,27010,13.41
2012-12-05,33006,13.201336666666664
2012-12-06,36324,13.357560006819973
2012-12-07,33189,13.455864444444439
2012-12-08,32097,13.5414715
2012-12-09,33996,13.348245714285715
2012-12-10,37852,13.461103846153845
2012-12-11,35876,13.605317586206901
2012-12-12,35731,13.646908214285714
2012-12-13,39938,13.728511052631578
2012-12-14,42230,13.604542499999999
2012-12-15,33075,13.510539047619051
2012-12-16,33646,13.395528571428573
2012-12-17,40522,13.23335
2012-12-18,43758,13.25036589147287
2012-12-19,51375,13.530313333333332
2012-12-20,36619,13.555235
2012-12-21,41071,13.323996
2012-12-22,50793,13.402473333333335
2012-12-23,38614,13.335932000000001
2012-12-24,39538,13.1285
2012-12-25,27303,13.37277
2012-12-26,35474,13.456875000000002
2012-12-27,38624,13.342924545454547
2012-12-28,48785,13.420328571428572
2012-12-29,42421,13.34399
2012-12-30,44060,13.45713
2012-12-31,35493,13.512004999999998
2013-01-01,27292,13.220000000000002
2013-01-02,37414,13.034
2013-01-03,43846,13.190000000000001
2013-01-04,45402,13.174000000000001
2013-01-05,41478,13.15
2013-01-06,36308,13.15
2013-01-07,38520,13.2
2013-01-08,36795,13.5
2013-01-09,41437,13.580000000000002
2013-01-10,50101,14.000000000000004
2013-01-11,55717,14.0
2013-01-12,47192,13.89
2013-01-13,47738,13.64
2013-01-14,45470,14.046000000000001
2013-01-15,43696,14.214000000000002
2013-01-16,50685,14.530000000000001
2013-01-17,50467,15.34
2013-01-18,49156,15.566000000000003
2013-01-19,57424,15.38
2013-01-20,41672,15.5
2013-01-21,40761,16.588
2013-01-22,40268,17.35
2013-01-23,49926,17.5
2013-01-24,45734,17.29
2013-01-25,46463,17.49
2013-01-26,50529,17.411405772
2013-01-27,52197,17.6
2013-01-28,55534,18.67
2013-01-29,52314,19.35
2013-01-30,47511,19.45
2013-01-31,45668,20.46
2013-02-01,55848,20.363142521
2013-02-02,60405,19.821209783
2013-02-03,53321,20.296
2013-02-04,58997,20.3
2013-02-05,54008,20.512
2013-02-06,43620,20.91
2013-02-07,56660,21.71
2013-02-08,65900,22.400970678
2013-02-09,52873,23.133565506
2013-02-10,56188,23.660000000000004
2013-02-11,61495,23.94
2013-02-12,56612,25.466
2013-02-13,57831,25.089999999999996
2013-02-14,54680,27.4
2013-02-15,56947,27.0
2013-02-16,51098,27.5
2013-02-17,51666,26.98
2013-02-18,46493,26.920000000000005
2013-02-19,53856,29.389999999999997
2013-02-20,55902,30.031999999999993
2013-02-21,59567,30.0
2013-02-22,59730,30.4
2013-02-23,56620,29.54
2013-02-24,59728,29.78
2013-02-25,66073,30.43
2013-02-26,60657,31.1
2013-02-27,64408,31.393769999999996
2013-02-28,60089,33.49101492460001
2013-03-01,65829,34.552
2013-03-02,61726,34.16
2013-03-03,49811,34.33
2013-03-04,64285,36.548158722
2013-03-05,54726,40.949999999999996
2013-03-06,68564,42.4250868578
2013-03-07,59611,41.6804369272
2013-03-08,68444,43.76
2013-03-09,44627,46.0
2013-03-10,71099,45.29
2013-03-11,67528,48.25
2013-03-12,46569,44.84
2013-03-13,54839,46.99
2013-03-14,58926,46.95
2013-03-15,61226,47.056
2013-03-16,43629,46.735095501
2013-03-17,34942,47.08816512040001
2013-03-18,38622,50.4324924394
2013-03-19,49501,59.40999999999999
2013-03-20,41655,64.45797156040001
2013-03-21,53931,72.23
2013-03-22,57921,69.9
2013-03-23,60789,63.9
2013-03-24,48547,70.388
2013-03-25,51435,75.11
2013-03-26,46890,79.81
2013-03-27,53734,89.3
2013-03-28,54671,88.976531972
2013-03-29,66029,90.0
2013-03-30,59193,92.2521875764
2013-03-31,47391,96.1491459096
2013-04-01,50442,104.70599999999999
2013-04-02,58755,115.803181554
2013-04-03,66057,132.54567795
2013-04-04,69477,134.94032495599998
2013-04-05,58362,141.78941638999999
2013-04-06,56119,141.0
2013-04-07,57971,164.96912500000002
2013-04-08,63508,185.21723709000003
2013-04-09,62493,229.47235258199998
2013-04-10,65894,160.082621718
2013-04-11,69420,81.2033201272
2013-04-12,62706,108.311396838
2013-04-13,53926,92.8058935256
2013-04-14,54086,91.11
2013-04-15,52876,74.0
2013-04-16,66532,67.9798189258
2013-04-17,57236,89.88799999999999
2013-04-18,53324,109.05463468
2013-04-19,55179,117.86900352799998
2013-04-20,50782,126.363163676
2013-04-21,45806,117.612451752
2013-04-22,45847,123.944
2013-04-23,54445,137.034
2013-04-24,68144,149.4
2013-04-25,61428,141.892
2013-04-26,59057,137.32
2013-04-27,48639,128.749986266
2013-04-28,40506,135.288855642
2013-04-29,49965,143.29557655399998
2013-04-30,48522,139.584
2013-05-01,51005,116.75
2013-05-02,55294,106.435208518
2013-05-03,55753,97.959073549
2013-05-04,49217,112.830658892
2013-05-05,50370,116.829559784
2013-05-06,50879,112.5799
2013-05-07,58335,110.939616114
2013-05-08,48218,113.50619419
2013-05-09,65631,111.644
2013-05-10,68991,117.882657834
2013-05-11,70567,115.39099999999999
2013-05-12,67570,114.5
2013-05-13,61598,115.928315862
2013-05-14,64151,107.06204360199999
2013-05-15,65826,108.59263393400002
2013-05-16,62423,113.320324916
2013-05-17,59179,117.45716305199998
2013-05-18,53826,118.4838
2013-05-19,47031,116.38
2013-05-20,49382,117.599041804
2013-05-21,55820,117.348
2013-05-22,53604,119.07552183600001
2013-05-23,53624,123.83527744400001
2013-05-24,57420,128.66391794400002
2013-05-25,55282,128.88057261
2013-05-26,38949,130.002080756
2013-05-27,52218,126.247715494
2013-05-28,54116,125.8736908
2013-05-29,56125,130.25148722199998
2013-05-30,55996,126.96199999999999
2013-05-31,57982,127.88138951199998
2013-06-01,52148,128.737533108
2013-06-02,51450,122.34617757000001
2013-06-03,51059,123.15253922
2013-06-04,59450,120.321727896
2013-06-05,56074,121.19039534999999
2013-06-06,56458,118.81145690400001
2013-06-07,54239,110.31002074400001
2013-06-08,48241,109.12055701599999
2013-06-09,46922,99.6530898088
2013-06-10,42853,104.314550266
2013-06-11,49386,107.362
2013-06-12,47846,106.01216110199998
2013-06-13,43631,102.075927028
2013-06-14,46260,99.22391874860003
2013-06-15,43313,99.701081323
2013-06-16,39575,98.9963649952
2013-06-17,43990,100.0
2013-06-18,47516,104.21250556
2013-06-19,45777,105.2384867
2013-06-20,49387,102.995886484
2013-06-21,53099,101.578550412
2013-06-22,41930,100.0
2013-06-23,41682,100.41
2013-06-24,42104,99.1983071558
2013-06-25,45457,102.08999634
2013-06-26,45274,103.32933044
2013-06-27,45618,104.0
2013-06-28,48611,101.73677826
2013-06-29,39885,94.66000366
2013-06-30,33753,94.99900055
2013-07-01,33735,97.51000214
2013-07-02,42161,88.05000305
2013-07-03,36366,90.40502167
2013-07-04,33877,78.88999939
2013-07-05,36494,79.98999786
2013-07-06,37689,68.50502014
2013-07-07,29498,68.74900055
2013-07-08,35729,76.49999237
2013-07-09,41546,76.00003052
2013-07-10,38345,76.72000122
2013-07-11,42289,88.0
2013-07-12,47364,88.97901154
2013-07-13,42955,93.98993683
2013-07-14,34424,98.69999695
2013-07-15,36145,93.60500336
2013-07-16,39507,98.89028168
2013-07-17,40006,96.70999908
2013-07-18,38652,98.50000763
2013-07-19,39809,90.06889343
2013-07-20,35254,92.0
2013-07-21,35582,89.82138062
2013-07-22,36871,91.9980011
2013-07-23,40087,91.60001373
2013-07-24,38070,95.55850983
2013-07-25,42563,94.50501251
2013-07-26,41832,96.94999695
2013-07-27,37521,96.02014923
2013-07-28,33246,94.40000153
2013-07-29,43053,98.60001373
2013-07-30,39769,101.48899078
2013-07-31,51898,107.94998932
2013-08-01,44289,106.21260834
2013-08-02,55121,104.85566711
2013-08-03,49884,104.50102234
2013-08-04,43517,104.94999695
2013-08-05,46271,105.12000275
2013-08-06,51731,106.72000885
2013-08-07,57709,106.75
2013-08-08,56759,106.75
2013-08-09,54277,103.06999969
2013-08-10,52133,102.80000305
2013-08-11,42994,102.99999237
2013-08-12,43751,105.0
2013-08-13,52537,106.9899826
2013-08-14,51199,109.55500031
2013-08-15,59722,112.5620575
2013-08-16,65791,109.99497223
2013-08-17,60621,108.99437714
2013-08-18,53398,112.75
2013-08-19,67859,113.37999725
2013-08-20,66180,119.0
2013-08-21,64621,121.21005249
2013-08-22,62805,123.30001831
2013-08-23,62116,121.99992371
2013-08-24,47597,118.51003265
2013-08-25,48358,119.60254669
2013-08-26,53258,122.11102295
2013-08-27,57316,120.06999969
2013-08-28,66380,126.48000336
2013-08-29,61617,122.62000275
2013-08-30,60440,122.34999847
2013-08-31,53883,133.08999634
2013-09-01,46290,135.13999939
2013-09-02,49069,138.63000488
2013-09-03,50796,135.61000061
2013-09-04,52281,136.52999878
2013-09-05,58379,126.76000214
2013-09-06,64116,126.48999786
2013-09-07,53405,118.88999939
2013-09-08,47549,124.12999725
2013-09-09,50778,121.86000061
2013-09-10,56997,127.26999664
2013-09-11,49939,125.88999939
2013-09-12,51876,135.55000305
2013-09-13,47828,132.83000183
2013-09-14,46791,135.00999451
2013-09-15,46647,129.3999939
2013-09-16,51832,130.86000061
2013-09-17,64595,131.58999634
2013-09-18,63835,131.71000671
2013-09-19,58374,131.36999512
2013-09-20,59460,129.69999695
2013-09-21,54891,126.94999695
2013-09-22,51682,127.87000275
2013-09-23,59730,128.97999573
2013-09-24,64237,126.05000305
2013-09-25,57776,127.37999725
2013-09-26,54526,128.21000671
2013-09-27,50946,128.94000244
2013-09-28,44530,133.77000427
2013-09-29,43061,134.8999939
2013-09-30,40422,137.1499939
2013-10-01,55529,132.67999268
2013-10-02,59157,132.05000305
2013-10-03,61965,114.44999695
2013-10-04,56772,123.41000366
2013-10-05,47629,128.63000488
2013-10-06,45550,128.36000061
2013-10-07,42033,129.42999268
2013-10-08,43952,126.73999786
2013-10-09,46013,125.84999847
2013-10-10,58809,130.66999817
2013-10-11,53556,130.75
2013-10-12,48125,130.8999939
2013-10-13,52746,135.19000244
2013-10-14,52903,139.27000427
2013-10-15,59969,140.77000427
2013-10-16,53529,145.6499939
2013-10-17,44226,142.41000366
2013-10-18,59505,146.36999512
2013-10-19,53857,155.91000366
2013-10-20,51936,171.66000366
2013-10-21,55520,174.80000305
2013-10-22,65662,182.6499939
2013-10-23,54236,193.36000061
2013-10-24,62476,214.30000305
2013-10-25,60653,197.69000244
2013-10-26,51370,187.44999695
2013-10-27,45192,176.6000061
2013-10-28,47351,196.21000671
2013-10-29,51071,198.55000305
2013-10-30,47779,204.38999939
2013-10-31,55774,199.83000183
2013-11-01,49864,203.8999939
2013-11-02,41731,205.80999756
2013-11-03,36579,205.99000549
2013-11-04,40172,214.66000366
2013-11-05,49662,229.21000671
2013-11-06,55523,244.77999878
2013-11-07,58065,261.67999268
2013-11-08,61334,297.8500061
2013-11-09,57912,338.57998657
2013-11-10,57161,348.82000732
2013-11-11,52671,325.41000366
2013-11-12,59174,343.05999756
2013-11-13,62974,360.97000122
2013-11-14,68827,406.41000366
2013-11-15,63931,419.41000366
2013-11-16,53170,417.27999878
2013-11-17,46493,440.95999146
2013-11-18,68800,496.57998657
2013-11-19,93635,712.76000977
2013-11-20,80619,577.97998047
2013-11-21,71920,594.32000732
2013-11-22,75001,724.07000732
2013-11-23,76969,771.70001221
2013-11-24,61128,795.63000488
2013-11-25,68316,773.02001953
2013-11-26,80456,805.72998047
2013-11-27,87578,923.84997559
2013-11-28,104582,1003.38000488
2013-11-29,89634,1042.01000977
2013-11-30,84203,1129.36999512
2013-12-01,66740,1128.92004395
2013-12-02,72494,951.41998291
2013-12-03,77439,1046.40002441
2013-12-04,81075,1077.57995605
2013-12-05,86003,1152.72998047
2013-12-06,70609,1042.38000488
2013-12-07,77997,835.32000732
2013-12-08,49105,697.30999756
2013-12-09,55784,793.79998779
2013-12-10,67402,892.32000732
2013-12-11,69389,989.07000732
2013-12-12,60848,882.7800293
2013-12-13,58794,874.97998047
2013-12-14,57017,899.84997559
2013-12-15,50509,875.28997803
2013-12-16,61178,880.33001709
2013-12-17,73156,706.36999512
2013-12-18,80833,678.20001221
2013-12-19,68647,519.05999756
2013-12-20,70818,694.2199707
2013-12-21,59817,619.90002441
2013-12-22,51998,601.7800293
2013-12-23,49718,613.05999756
2013-12-24,58728,672.35998535
2013-12-25,58205,666.30999756
2013-12-26,47295,683.94000244
2013-12-27,55806,763.2800293
2013-12-28,48046,737.97998047
2013-12-29,49038,728.04998779
2013-12-30,55595,741.34997559
2013-12-31,52939,760.32000732
2014-01-01,42281,754.9699707
2014-01-02,47251,773.44000244
2014-01-03,63817,802.84997559
2014-01-04,54018,823.27001953
2014-01-05,54983,858.54998779
2014-01-06,67414,936.04998779
2014-01-07,60949,946.48999023
2014-01-08,65230,795.98999023
2014-01-09,58011,841.4699707
2014-01-10,56674,846.69000244
2014-01-11,57224,867.32000732
2014-01-12,49585,919.59997559
2014-01-13,52788,860.19000244
2014-01-14,55642,843.16998291
2014-01-15,60701,833.11999512
2014-01-16,58632,860.28997803
2014-01-17,56977,834.48999023
2014-01-18,52907,816.07000732
2014-01-19,50918,839.65997314
2014-01-20,57927,871.39001465
2014-01-21,69942,869.65002441
2014-01-22,65972,867.21002197
2014-01-23,65275,845.46002197
2014-01-24,67180,822.42999268
2014-01-25,57284,796.23999023
2014-01-26,50997,853.67999268
2014-01-27,59053,884.59997559
2014-01-28,67748,774.02001953
2014-01-29,61160,809.96002197
2014-01-30,61347,826.02001953
2014-01-31,61570,818.42999268
2014-02-01,56872,828.60998535
2014-02-02,51827,832.90002441
2014-02-03,57252,824.08001709
2014-02-04,64561,823.77001953
2014-02-05,68846,829.96002197
2014-02-06,69104,815.59002686
2014-02-07,71798,783.20001221
2014-02-08,64056,699.57000732
2014-02-09,61836,671.46002197
2014-02-10,65949,681.32000732
2014-02-11,61968,683.5
2014-02-12,64080,672.38000488
2014-02-13,67192,651.08001709
2014-02-14,74112,601.16998291
2014-02-15,66163,660.90002441
2014-02-16,57291,651.29998779
2014-02-17,55651,614.22998047
2014-02-18,70102,627.15997314
2014-02-19,65820,625.9699707
2014-02-20,71349,623.09002686
2014-02-21,73057,556.88000488
2014-02-22,59521,574.23999023
2014-02-23,59629,606.4699707
2014-02-24,67114,606.03997803
2014-02-25,82100,540.23999023
2014-02-26,72294,537.03997803
2014-02-27,72374,581.65002441
2014-02-28,71397,579.70001221
2014-03-01,65230,549.91998291
2014-03-02,59255,567.22998047
2014-03-03,68198,562.55999756
2014-03-04,87022,668.23999023
2014-03-05,75602,666.23999023
2014-03-06,71556,664.52001953
2014-03-07,69318,664.30999756
2014-03-08,72717,629.65997314
2014-03-09,61358,616.30999756
2014-03-10,64952,636.33001709
2014-03-11,78584,627.95001221
2014-03-12,73007,631.90997314
2014-03-13,76350,633.61999512
2014-03-14,67606,638.14001465
2014-03-15,68029,629.36999512
2014-03-16,58696,636.5
2014-03-17,65621,630.91998291
2014-03-18,58672,621.83776855
2014-03-19,65767,613.89556885
2014-03-20,71588,609.74468994
2014-03-21,72730,588.29351807
2014-03-22,70990,571.17962646
2014-03-23,57805,565.76409912
2014-03-24,63752,562.50714111
2014-03-25,75419,585.0255127
2014-03-26,69703,583.48187256
2014-03-27,69076,580.25689697
