Time,BTC average daily block size,Price
2009-01-04,285.0,null
2009-01-05,0.0,null
2009-01-06,0.0,null
2009-01-07,0.0,null
2009-01-08,0.0,null
2009-01-09,215.0,null
2009-01-10,215.0,null
2009-01-11,215.3148148148148,null
2009-01-12,232.22471910112358,null
2009-01-13,218.01709401709402,null
2009-01-14,215.8951612903226,null
2009-01-15,242.60162601626016,null
2009-01-16,218.2377049180328,null
2009-01-17,218.23809523809524,null
2009-01-18,215.93203883495147,null
2009-01-19,219.54621848739495,null
2009-01-20,232.76724137931035,null
2009-01-21,227.43859649122808,null
2009-01-22,231.48,null
2009-01-23,223.88679245283018,null
2009-01-24,225.42857142857142,null
2009-01-25,216.9492385786802,null
2009-01-26,215.91935483870967,null
2009-01-27,243.27,null
2009-01-28,215.85576923076923,null
2009-01-29,215.42241379310346,null
2009-01-30,226.9763779527559,null
2009-01-31,215.5655737704918,null
2009-02-01,235.05785123966942,null
2009-02-02,217.95275590551182,null
2009-02-03,244.40441176470588,null
2009-02-04,222.33870967741936,null
2009-02-05,215.71666666666667,null
2009-02-06,215.82539682539684,null
2009-02-07,239.94656488549617,null
2009-02-08,217.56060606060606,null
2009-02-09,215.890625,null
2009-02-10,255.79365079365078,null
2009-02-11,224.98507462686567,null
2009-02-12,220.4,null
2009-02-13,215.85833333333332,null
2009-02-14,215.87591240875912,null
2009-02-15,215.6904761904762,null
2009-02-16,229.832,null
2009-02-17,245.35042735042734,null
2009-02-18,215.94214876033058,null
2009-02-19,215.97435897435898,null
2009-02-20,229.91729323308272,null
2009-02-21,215.96190476190475,null
2009-02-22,228.2741935483871,null
2009-02-23,215.9351851851852,null
2009-02-24,215.97196261682242,null
2009-02-25,215.84684684684686,null
2009-02-26,215.96907216494844,null
2009-02-27,215.70833333333334,null
2009-02-28,255.52380952380952,null
2009-03-01,224.1747572815534,null
2009-03-02,215.96226415094338,null
2009-03-03,225.43809523809523,null
2009-03-04,215.77777777777777,null
2009-03-05,245.16504854368932,null
2009-03-06,223.85714285714286,null
2009-03-07,215.9909090909091,null
2009-03-08,215.9203539823009,null
2009-03-09,243.0854700854701,null
2009-03-10,215.78846153846155,null
2009-03-11,215.93457943925233,null
2009-03-12,219.5,null
2009-03-13,229.64864864864865,null
2009-03-14,215.93965517241378,null
2009-03-15,215.78761061946904,null
2009-03-16,215.96875,null
2009-03-17,262.2689075630252,null
2009-03-18,215.96330275229357,null
2009-03-19,229.8181818181818,null
2009-03-20,215.7983193277311,null
2009-03-21,232.48235294117646,null
2009-03-22,215.84883720930233,null
2009-03-23,226.46456692913387,null
2009-03-24,215.9724770642202,null
2009-03-25,215.86324786324786,null
2009-03-26,244.50442477876106,null
2009-03-27,215.95495495495496,null
2009-03-28,215.94017094017093,null
2009-03-29,237.50892857142858,null
2009-03-30,215.872,null
2009-03-31,248.90178571428572,null
2009-04-01,215.89908256880733,null
2009-04-02,215.8595041322314,null
2009-04-03,215.96428571428572,null
2009-04-04,215.7927927927928,null
2009-04-05,215.91666666666666,null
2009-04-06,234.38181818181818,null
2009-04-07,215.99019607843138,null
2009-04-08,216.0,null
2009-04-09,215.96907216494844,null
2009-04-10,215.73737373737373,null
2009-04-11,222.9291338582677,null
2009-04-12,215.9203539823009,null
2009-04-13,226.8034188034188,null
2009-04-14,215.928,null
2009-04-15,215.73873873873873,null
2009-04-16,215.94354838709677,null
2009-04-17,215.82758620689654,null
2009-04-18,220.96694214876032,null
2009-04-19,225.25833333333333,null
2009-04-20,260.44444444444446,null
2009-04-21,282.12396694214874,null
2009-04-22,217.81967213114754,null
2009-04-23,215.86904761904762,null
2009-04-24,215.78504672897196,null
2009-04-25,215.864,null
2009-04-26,232.4954128440367,null
2009-04-27,215.94285714285715,null
2009-04-28,215.78947368421052,null
2009-04-29,215.77868852459017,null
2009-04-30,233.14814814814815,null
2009-05-01,215.91596638655463,null
2009-05-02,217.6953125,null
2009-05-03,231.48181818181817,null
2009-05-04,222.54032258064515,null
