Time,Number of new addresses added per day on LTC,Price
2011-12-21,1273,
2011-12-22,1573,
2011-12-23,1328,
2011-12-24,966,
2011-12-25,785,
2011-12-26,845,
2011-12-27,1039,
2011-12-28,1003,
2011-12-29,1913,
2011-12-30,2196,
2011-12-31,1278,
2012-01-01,1137,
2012-01-02,1342,
2012-01-03,1356,
2012-01-04,1385,
2012-01-05,1331,
2012-01-06,1327,
2012-01-07,1078,
2012-01-08,764,
2012-01-09,669,
2012-01-10,617,
2012-01-11,652,
2012-01-12,857,
2012-01-13,1916,
2012-01-14,1770,
2012-01-15,899,
2012-01-16,797,
2012-01-17,650,
2012-01-18,617,
2012-01-19,443,
2012-01-20,462,
2012-01-21,495,
2012-01-22,643,
2012-01-23,988,
2012-01-24,948,
2012-01-25,1047,
2012-01-26,1073,
2012-01-27,1263,
2012-01-28,1426,
2012-01-29,1867,
2012-01-30,1620,
2012-01-31,1015,
2012-02-01,906,
2012-02-02,1461,
2012-02-03,1614,
2012-02-04,1726,
2012-02-05,1846,
2012-02-06,1598,
2012-02-07,1519,
2012-02-08,1621,
2012-02-09,1525,
2012-02-10,1311,
2012-02-11,1476,
2012-02-12,1402,
2012-02-13,1271,
2012-02-14,1317,
2012-02-15,1267,
2012-02-16,1208,
2012-02-17,1328,
2012-02-18,1200,
2012-02-19,1371,
2012-02-20,1305,
2012-02-21,1362,
2012-02-22,1275,
2012-02-23,1400,
2012-02-24,1069,
2012-02-25,1018,
2012-02-26,1018,
2012-02-27,768,
2012-02-28,828,
2012-02-29,769,
2012-03-01,900,
2012-03-02,1398,
2012-03-03,1542,
2012-03-04,1230,
2012-03-05,739,
2012-03-06,782,
2012-03-07,734,
2012-03-08,782,
2012-03-09,795,
2012-03-10,864,
2012-03-11,862,
2012-03-12,879,
2012-03-13,1015,
2012-03-14,1482,
2012-03-15,1639,
2012-03-16,1144,
2012-03-17,1066,
2012-03-18,1041,
2012-03-19,1276,
2012-03-20,1315,
2012-03-21,1270,
2012-03-22,1131,
2012-03-23,961,
2012-03-24,1180,
2012-03-25,872,
2012-03-26,986,
2012-03-27,1102,
2012-03-28,1048,
2012-03-29,1054,
2012-03-30,1066,
2012-03-31,955,
2012-04-01,1011,
2012-04-02,972,
2012-04-03,952,
2012-04-04,922,
2012-04-05,918,
2012-04-06,970,
2012-04-07,1049,
2012-04-08,969,
2012-04-09,1022,
2012-04-10,1140,
2012-04-11,947,
2012-04-12,1069,
2012-04-13,1096,
2012-04-14,1002,
2012-04-15,975,
2012-04-16,1039,
2012-04-17,993,
2012-04-18,1019,
2012-04-19,895,
2012-04-20,868,
2012-04-21,878,
2012-04-22,859,
2012-04-23,988,
2012-04-24,1059,
2012-04-25,1005,
2012-04-26,864,
2012-04-27,907,
2012-04-28,928,
2012-04-29,957,
2012-04-30,1119,
2012-05-01,1114,
2012-05-02,1116,
2012-05-03,1058,
2012-05-04,873,
2012-05-05,825,
2012-05-06,938,
2012-05-07,938,
2012-05-08,1064,
2012-05-09,995,
2012-05-10,1105,
2012-05-11,1071,
2012-05-12,960,
2012-05-13,1034,
2012-05-14,1099,
2012-05-15,991,
2012-05-16,988,
2012-05-17,993,
2012-05-18,1034,
2012-05-19,1004,
2012-05-20,1138,
2012-05-21,1234,
2012-05-22,1287,
2012-05-23,1311,
2012-05-24,1318,
2012-05-25,1374,
2012-05-26,1259,
2012-05-27,998,
2012-05-28,1359,
2012-05-29,1130,
2012-05-30,1099,
2012-05-31,1203,
2012-06-01,944,
2012-06-02,1017,
2012-06-03,1276,
2012-06-04,1074,
2012-06-05,1100,
2012-06-06,1332,
2012-06-07,1087,
2012-06-08,1193,
2012-06-09,1196,
2012-06-10,1159,
2012-06-11,1010,
2012-06-12,1154,
2012-06-13,1185,
2012-06-14,1118,
2012-06-15,1185,
2012-06-16,1178,
2012-06-17,1005,
2012-06-18,1101,
2012-06-19,996,
2012-06-20,1111,
2012-06-21,1142,
2012-06-22,1187,
2012-06-23,1307,
2012-06-24,1390,
2012-06-25,1508,
2012-06-26,1348,
2012-06-27,1140,
2012-06-28,1337,
2012-06-29,1187,
2012-06-30,1115,
2012-07-01,1141,
2012-07-02,1132,
2012-07-03,1289,
2012-07-04,1513,
2012-07-05,1536,
2012-07-06,1461,
2012-07-07,1611,
2012-07-08,1864,
2012-07-09,2276,
2012-07-10,1631,
2012-07-11,1284,
2012-07-12,1204,
2012-07-13,1120,
2012-07-14,1291,
2012-07-15,1320,
2012-07-16,1495,
2012-07-17,1834,
2012-07-18,1492,
2012-07-19,1550,
2012-07-20,1551,
2012-07-21,1373,
2012-07-22,1209,
2012-07-23,1530,
2012-07-24,1671,
2012-07-25,1982,
2012-07-26,1228,
2012-07-27,1499,
2012-07-28,1415,
2012-07-29,1570,
2012-07-30,1660,
2012-07-31,1904,
2012-08-01,2335,
2012-08-02,1796,
2012-08-03,1634,
2012-08-04,1337,
2012-08-05,1972,
2012-08-06,1275,
2012-08-07,1086,
2012-08-08,1126,
2012-08-09,1420,
2012-08-10,1158,
2012-08-11,1160,
2012-08-12,1408,
2012-08-13,1492,
2012-08-14,1262,
2012-08-15,1294,
2012-08-16,1411,
2012-08-17,1288,
2012-08-18,1119,
2012-08-19,1283,
2012-08-20,1593,
2012-08-21,1511,
2012-08-22,1114,
2012-08-23,1170,
2012-08-24,1176,
2012-08-25,1676,
2012-08-26,1448,
2012-08-27,1504,
2012-08-28,1431,
2012-08-29,1310,
2012-08-30,1615,
2012-08-31,1568,
2012-09-01,1373,
2012-09-02,3930,
2012-09-03,3826,
2012-09-04,3382,
2012-09-05,3741,
2012-09-06,1845,
2012-09-07,1326,
2012-09-08,1541,
2012-09-09,2125,
2012-09-10,2170,
2012-09-11,2760,
2012-09-12,1664,
2012-09-13,1730,
2012-09-14,1521,
2012-09-15,2633,
2012-09-16,1626,
2012-09-17,1875,
2012-09-18,1285,
2012-09-19,2499,
2012-09-20,1869,
2012-09-21,1579,
2012-09-22,1561,
2012-09-23,1573,
2012-09-24,1541,
2012-09-25,1671,
2012-09-26,1487,
2012-09-27,1461,
2012-09-28,1495,
2012-09-29,1440,
2012-09-30,1550,
2012-10-01,1429,
2012-10-02,1578,
2012-10-03,1593,
2012-10-04,1445,
2012-10-05,1500,
2012-10-06,1607,
2012-10-07,1594,
2012-10-08,1454,
2012-10-09,1761,
2012-10-10,2004,
2012-10-11,1844,
2012-10-12,2228,
2012-10-13,2452,
2012-10-14,2156,
2012-10-15,2819,
2012-10-16,3160,
2012-10-17,1848,
2012-10-18,2340,
2012-10-19,1593,
2012-10-20,1543,
2012-10-21,1611,
2012-10-22,1618,
2012-10-23,2382,
2012-10-24,2277,
2012-10-25,1707,
2012-10-26,1448,
2012-10-27,1407,
2012-10-28,1462,
2012-10-29,1322,
2012-10-30,1709,
2012-10-31,1683,
2012-11-01,1661,
2012-11-02,1503,
2012-11-03,2237,
2012-11-04,1731,
2012-11-05,1697,
2012-11-06,1562,
2012-11-07,1530,
2012-11-08,1175,
2012-11-09,1320,
2012-11-10,1294,
2012-11-11,1638,
2012-11-12,1423,
2012-11-13,1625,
2012-11-14,1606,
2012-11-15,1784,
2012-11-16,1468,
2012-11-17,1579,
2012-11-18,1306,
2012-11-19,1322,
2012-11-20,1344,
2012-11-21,1441,
2012-11-22,1548,
2012-11-23,1705,
2012-11-24,1672,
2012-11-25,1893,
2012-11-26,1787,
2012-11-27,1588,
2012-11-28,1571,
2012-11-29,2439,
2012-11-30,2532,
2012-12-01,2484,
2012-12-02,1292,
2012-12-03,809,
2012-12-04,997,
2012-12-05,1069,
2012-12-06,984,
2012-12-07,1178,
2012-12-08,2147,
2012-12-09,2839,
2012-12-10,2257,
2012-12-11,926,
2012-12-12,985,
2012-12-13,943,
2012-12-14,1149,
2012-12-15,1359,
2012-12-16,2153,
2012-12-17,2084,
2012-12-18,1018,
2012-12-19,934,
2012-12-20,938,
2012-12-21,1153,
2012-12-22,1132,
2012-12-23,1639,
2012-12-24,1872,
2012-12-25,1626,
2012-12-26,1030,
2012-12-27,1021,
2012-12-28,1042,
2012-12-29,955,
2012-12-30,1176,
2012-12-31,1404,
2013-01-01,1282,
2013-01-02,1109,
2013-01-03,947,
2013-01-04,1137,
2013-01-05,1008,
2013-01-06,1224,
2013-01-07,1436,
2013-01-08,1345,
2013-01-09,1424,
2013-01-10,1247,
2013-01-11,1494,
2013-01-12,1173,
2013-01-13,1098,
2013-01-14,1403,
2013-01-15,1742,
2013-01-16,1420,
2013-01-17,1207,
2013-01-18,1087,
2013-01-19,1090,
2013-01-20,1265,
2013-01-21,1147,
2013-01-22,1553,
2013-01-23,1755,
2013-01-24,1964,
2013-01-25,1608,
2013-01-26,2350,
2013-01-27,1363,
2013-01-28,1536,
2013-01-29,1382,
2013-01-30,1798,
2013-01-31,1426,
2013-02-01,1327,
2013-02-02,1393,
2013-02-03,1521,
2013-02-04,1466,
2013-02-05,1368,
2013-02-06,1530,
2013-02-07,1761,
2013-02-08,1652,
2013-02-09,2106,
2013-02-10,2806,
2013-02-11,1960,
2013-02-12,2091,
2013-02-13,1536,
2013-02-14,1635,
2013-02-15,1700,
2013-02-16,1915,
2013-02-17,1958,
2013-02-18,2355,
2013-02-19,1955,
2013-02-20,2024,
2013-02-21,1588,
2013-02-22,1652,
2013-02-23,2353,
2013-02-24,1905,
2013-02-25,2266,
2013-02-26,1851,
2013-02-27,2403,
2013-02-28,3286,
2013-03-01,3117,
2013-03-02,2643,
2013-03-03,2089,
2013-03-04,2718,
2013-03-05,2471,
2013-03-06,2898,
2013-03-07,3051,
2013-03-08,2391,
2013-03-09,2621,
2013-03-10,2848,
2013-03-11,16114,
2013-03-12,4350,
2013-03-13,4117,
2013-03-14,4194,
2013-03-15,3953,
2013-03-16,3615,
2013-03-17,3755,
2013-03-18,3409,
2013-03-19,3457,
2013-03-20,2979,
2013-03-21,3924,
2013-03-22,2934,
2013-03-23,3161,
2013-03-24,3646,
2013-03-25,5080,
2013-03-26,5272,
2013-03-27,4983,
2013-03-28,4673,
2013-03-29,4432,
2013-03-30,5036,
2013-03-31,5204,
2013-04-01,6264,
2013-04-02,9307,
2013-04-03,12817,
2013-04-04,10610,
2013-04-05,11280,
2013-04-06,10265,
2013-04-07,9121,
2013-04-08,11582,
2013-04-09,10772,
2013-04-10,12468,
2013-04-11,12514,
2013-04-12,10639,
2013-04-13,10141,
2013-04-14,10768,
2013-04-15,9136,
2013-04-16,9203,
2013-04-17,9155,
2013-04-18,8546,
2013-04-19,9060,
2013-04-20,7474,
2013-04-21,8404,
2013-04-22,8812,
2013-04-23,8274,
2013-04-24,9020,
2013-04-25,10089,
2013-04-26,8724,
2013-04-27,9415,
2013-04-28,10166,
2013-04-29,9727,
2013-04-30,10532,4.40351725
2013-05-01,9509,4.28954124
2013-05-02,9201,3.78002214
2013-05-03,7665,3.3904376
2013-05-04,7056,3.03227091
2013-05-05,6167,3.49312592
2013-05-06,10007,3.59422016
2013-05-07,10192,3.37086749
2013-05-08,10033,3.28361988
2013-05-09,11366,3.39939594
2013-05-10,12940,3.4065299
2013-05-11,8028,3.46038008
2013-05-12,7259,3.36281109
2013-05-13,7158,3.26088858
2013-05-14,7585,3.28101492
2013-05-15,7014,2.82399011
2013-05-16,7602,2.92974305
2013-05-17,7487,2.89141655
2013-05-18,5796,3.19864917
2013-05-19,6119,3.30205488
2013-05-20,6422,3.31485009
2013-05-21,6778,3.19326329
2013-05-22,5681,3.09191275
2013-05-23,5862,3.11852193
2013-05-24,6288,3.17013001
2013-05-25,5981,3.18774509
2013-05-26,5249,3.12410855
2013-05-27,5064,3.23070002
2013-05-28,5390,3.10280037
2013-05-29,5647,3.09212899
2013-05-30,5399,3.07745743
2013-05-31,5633,2.97139311
2013-06-01,4679,2.94213581
2013-06-02,4444,2.82779098
2013-06-03,4718,2.73052502
2013-06-04,4815,2.70330501
2013-06-05,4792,2.8674674
2013-06-06,4600,2.87684035
2013-06-07,5096,2.7791369
2013-06-08,4929,2.60405993
2013-06-09,5231,2.55273461
2013-06-10,5740,2.38438463
2013-06-11,4885,2.49284434
2013-06-12,4829,2.41216993
2013-06-13,4855,2.39850903
2013-06-14,4934,2.26920676
2013-06-15,4288,2.1389997
2013-06-16,3581,2.08581996
2013-06-17,3739,2.13885903
2013-06-18,4622,2.28164101
2013-06-19,4862,2.30478644
2013-06-20,4500,2.29816866
2013-06-21,4562,2.32596111
2013-06-22,5223,2.86342502
2013-06-23,4892,2.89759588
2013-06-24,4690,3.13449526
2013-06-25,4419,2.84831095
2013-06-26,5109,2.80642462
2013-06-27,4563,2.88080001
2013-06-28,4681,3.03684282
2013-06-29,4274,2.76123214
2013-06-30,3850,2.78822064
2013-07-01,4873,3.00915861
2013-07-02,5349,2.94967508
2013-07-03,5673,2.84685397
2013-07-04,5085,2.67515993
2013-07-05,3822,2.7068615
2013-07-06,4339,2.42302251
2013-07-07,3752,2.45777678
2013-07-08,4881,2.71115971
2013-07-09,4391,2.5847609
2013-07-10,4522,2.60924721
2013-07-11,4852,2.83712006
2013-07-12,5062,2.72275782
2013-07-13,3647,2.80747962
2013-07-14,3855,2.92842889
2013-07-15,4148,2.87367344
2013-07-16,4763,2.9993422
2013-07-17,4495,3.07634521
2013-07-18,4436,3.14510536
2013-07-19,3837,2.88130379
2013-07-20,4533,2.96239996
2013-07-21,3492,2.87428427
2013-07-22,4020,2.94577599
2013-07-23,3911,2.8872323
2013-07-24,3991,2.9881146
2013-07-25,3817,2.94855642
2013-07-26,3644,2.98315144
2013-07-27,3487,2.89692783
2013-07-28,3443,2.88486409
2013-07-29,3523,2.94328332
2013-07-30,4104,2.97261262
2013-07-31,3595,3.0010097
2013-08-01,4017,2.87411332
2013-08-02,3624,2.94225001
2013-08-03,4061,2.84242773
2013-08-04,3938,3.01101542
2013-08-05,4728,2.99907351
2013-08-06,3782,2.84408832
2013-08-07,4496,2.82161355
2013-08-08,4141,2.75361848
2013-08-09,3851,2.71074104
2013-08-10,3876,2.68513608
2013-08-11,3735,2.55130982
2013-08-12,3631,2.69429994
2013-08-13,3910,2.65549135
2013-08-14,3606,2.75969052
2013-08-15,4804,2.7352581
2013-08-16,3523,2.76197362
2013-08-17,3448,2.71722984
2013-08-18,3273,2.80070996
2013-08-19,3972,2.80048609
2013-08-20,4431,2.82386994
2013-08-21,4518,2.77449799
2013-08-22,4211,2.69410539
2013-08-23,4052,2.78159809
2013-08-24,4177,2.73876691
2013-08-25,4210,2.67909718
2013-08-26,3664,2.57654262
2013-08-27,4026,2.56829739
2013-08-28,4188,2.57513285
2013-08-29,3872,2.53700781
2013-08-30,3889,2.53509212
2013-08-31,3926,2.6564765
2013-09-01,3787,2.59063387
2013-09-02,3678,2.57158661
2013-09-03,3124,2.55353642
2013-09-04,3526,2.59953117
2013-09-05,4212,2.81660724
2013-09-06,4053,2.78025031
2013-09-07,4149,2.68096948
2013-09-08,3797,2.70479274
2013-09-09,3127,2.7321012
2013-09-10,2869,2.73121428
2013-09-11,2500,2.64369011
2013-09-12,2826,2.74895406
2013-09-13,2770,2.68980742
2013-09-14,2939,2.66239715
2013-09-15,2801,2.58541203
2013-09-16,2900,2.64729786
2013-09-17,2844,2.6304841
2013-09-18,2653,2.60258961
2013-09-19,2688,2.54857802
2013-09-20,2627,2.60956407
2013-09-21,2480,2.4793334
2013-09-22,2514,2.52543259
2013-09-23,3418,2.52671814
2013-09-24,3154,2.47184038
2013-09-25,2980,2.46989822
2013-09-26,3031,2.36675668
2013-09-27,2877,2.4021523
2013-09-28,3063,2.39180756
2013-09-29,3297,2.26631999
2013-09-30,2805,2.29863405
2013-10-01,2935,2.34312868
2013-10-02,3099,2.42047644
2013-10-03,3945,1.97769594
2013-10-04,3338,2.17695236
2013-10-05,3220,2.19185519
2013-10-06,4098,2.13334322
2013-10-07,3119,2.17442393
2013-10-08,3242,2.09501219
2013-10-09,3179,1.98087895
2013-10-10,3422,1.93130255
2013-10-11,3840,2.02531743
2013-10-12,2634,2.0682199
2013-10-13,2721,2.12248302
2013-10-14,3020,2.14893603
2013-10-15,2972,2.05524206
2013-10-16,3656,1.97210097
2013-10-17,2464,1.91683865
2013-10-18,2795,1.91598332
2013-10-19,3053,1.90522015
2013-10-20,2798,1.86937737
2013-10-21,2900,1.93154001
2013-10-22,3272,1.82102048
2013-10-23,2679,1.69963443
2013-10-24,3646,2.0573101
2013-10-25,3881,2.29320407
2013-10-26,2954,2.16129851
2013-10-27,2903,2.20396805
2013-10-28,2983,2.12691641
2013-10-29,2684,2.17213702
2013-10-30,2800,2.12974381
2013-10-31,3074,2.27834201
2013-11-01,4287,2.34485006
2013-11-02,3546,2.4594295
2013-11-03,5253,2.71700811
2013-11-04,6150,2.9000566
2013-11-05,5127,3.08287454
2013-11-06,4797,3.04261541
2013-11-07,7537,3.35997128
2013-11-08,7352,4.37839508
2013-11-09,8182,4.60807371
2013-11-10,5829,4.3358326
2013-11-11,5001,3.91142821
2013-11-12,5026,4.01380205
2013-11-13,5443,4.01759624
2013-11-14,6207,4.10880518
2013-11-15,7010,4.27378798
2013-11-16,6623,4.19366407
2013-11-17,7588,4.33022738
2013-11-18,10026,4.12657976
2013-11-19,16858,9.42268753
2013-11-20,10336,7.96456432
2013-11-21,9548,8.0114336
2013-11-22,10100,9.36222553
2013-11-23,11179,10.11698723
2013-11-24,10192,10.58983517
2013-11-25,9733,10.31981659
2013-11-26,15631,12.3760128
2013-11-27,21799,19.90896797
2013-11-28,28953,38.99134827
2013-11-29,21758,44.36878586
2013-11-30,20616,36.94169235
2013-12-01,18152,40.57338333
2013-12-02,19375,34.46994781
2013-12-03,17631,33.34876633
2013-12-04,18707,39.32089233
2013-12-05,19872,44.52996063
2013-12-06,15266,37.46313858
2013-12-07,16418,29.73739243
2013-12-08,14671,23.17858505
2013-12-09,17316,27.21146393
2013-12-10,17677,31.49889565
2013-12-11,19030,36.28897858
2013-12-12,16014,31.23275566
2013-12-13,15023,31.64802742
2013-12-14,13914,31.44975662
2013-12-15,14713,30.46009254
2013-12-16,17817,31.39256859
2013-12-17,21093,24.43333817
2013-12-18,21857,21.85160446
2013-12-19,17848,13.42808247
2013-12-20,17567,19.85469246
2013-12-21,13427,17.30760765
2013-12-22,11208,16.60310936
2013-12-23,13080,16.73653793
2013-12-24,12591,17.81081581
2013-12-25,14255,17.65055275
2013-12-26,14635,21.64670181
2013-12-27,14454,24.80660057
2013-12-28,12136,23.19471169
2013-12-29,11712,22.56226921
2013-12-30,15090,23.89371109
2013-12-31,12541,24.5051136
2014-01-01,10959,24.34778214
2014-01-02,12625,24.70367432
2014-01-03,15656,25.66711426
2014-01-04,13154,24.81335831
2014-01-05,13017,25.03531837
2014-01-06,19648,26.91143799
2014-01-07,15948,29.24417877
2014-01-08,14669,22.84491348
2014-01-09,12455,24.48677635
2014-01-10,11518,24.45240784
2014-01-11,12634,24.9874897
2014-01-12,10841,27.05463219
2014-01-13,11563,25.13475227
2014-01-14,11262,24.28329659
2014-01-15,11818,24.10216141
2014-01-16,11492,25.26671791
2014-01-17,10490,24.4004879
2014-01-18,10561,23.81292343
2014-01-19,11040,24.56005478
2014-01-20,12975,25.42716026
2014-01-21,14479,25.20245743
2014-01-22,14059,24.8455658
2014-01-23,12473,23.64751625
2014-01-24,16098,22.29607773
2014-01-25,13703,20.70223999
2014-01-26,14831,23.203022
2014-01-27,15444,24.13188744
2014-01-28,15361,20.12451935
2014-01-29,14431,21.42344284
2014-01-30,14087,21.91431046
2014-01-31,12582,21.64747429
2014-02-01,12197,22.09902954
2014-02-02,14053,22.5049572
2014-02-03,11961,22.37377167
2014-02-04,14237,21.89580727
2014-02-05,14870,21.52528
2014-02-06,13952,20.85820961
2014-02-07,12909,19.90085983
2014-02-08,11767,18.53008842
2014-02-09,11227,18.02235031
2014-02-10,12906,18.29627991
2014-02-11,12744,17.7591095
2014-02-12,14294,17.40956879
2014-02-13,13267,16.92671585
2014-02-14,13665,15.36582565
2014-02-15,11570,16.45173836
2014-02-16,11813,16.0914669
2014-02-17,12809,15.1361475
2014-02-18,11453,15.47172737
2014-02-19,10626,15.5575037
2014-02-20,11378,15.70151424
2014-02-21,11588,13.98104382
2014-02-22,10737,13.91518021
2014-02-23,12425,14.983325
2014-02-24,11474,15.41858673
2014-02-25,12660,14.49923897
2014-02-26,11278,13.80181503
2014-02-27,11718,14.25644875
2014-02-28,10558,14.28622437
2014-03-01,10399,13.22712803
2014-03-02,10405,13.65520573
2014-03-03,12217,12.77824688
2014-03-04,18157,14.28829479
2014-03-05,15222,16.99282265
2014-03-06,13019,16.37731361
2014-03-07,12138,16.48243523
2014-03-08,11225,15.85789776
2014-03-09,10982,15.40605164
2014-03-10,10443,15.98194408
2014-03-11,10236,16.00627327
2014-03-12,12727,16.10233498
2014-03-13,11466,17.16038132
2014-03-14,11025,16.9979496
2014-03-15,11597,16.6016674
2014-03-16,12351,16.89461327
2014-03-17,12251,17.34573174
2014-03-18,16659,17.29459
2014-03-19,21753,19.45343399
2014-03-20,14042,17.16661072
2014-03-21,13648,16.40228844
2014-03-22,10828,15.63930225
2014-03-23,10290,15.71037388
2014-03-24,11472,15.29675198
2014-03-25,11172,16.22605133
2014-03-26,12135,16.29013062
2014-03-27,12490,16.28004646
2014-03-28,12007,12.66046524
2014-03-29,9534,13.9084549
2014-03-30,9384,13.44649887
2014-03-31,11243,13.14605522
2014-04-01,10553,12.77492714
2014-04-02,10959,13.09333038
2014-04-03,12432,11.26337433
2014-04-04,9818,11.06604385
2014-04-05,8877,11.00299263
2014-04-06,7991,11.17957497
2014-04-07,9009,11.6559267
2014-04-08,8178,11.21057606
2014-04-09,8807,11.37990284
2014-04-10,9384,11.18763638
2014-04-11,10596,8.42459393
2014-04-12,8503,10.90500164
2014-04-13,8257,10.6648283
2014-04-14,9504,10.38670635
2014-04-15,10344,11.46351147
2014-04-16,11046,13.30229473
2014-04-17,9301,13.422472
2014-04-18,8720,12.46046829
2014-04-19,8030,12.04557514
2014-04-20,8016,12.8550024
2014-04-21,8022,12.56046772
2014-04-22,7634,12.49682999
2014-04-23,7308,12.03858757
2014-04-24,7056,12.13743019
2014-04-25,8150,12.53533649
2014-04-26,6876,10.80757427
2014-04-27,6691,10.56065464
2014-04-28,7475,9.7909956
2014-04-29,6580,10.1224966
2014-04-30,7907,10.40315914
2014-05-01,6386,10.92730045
2014-05-02,5856,11.13124943
2014-05-03,5816,10.51679802
2014-05-04,5719,10.30080795
2014-05-05,5933,10.31131363
2014-05-06,6286,10.20509052
2014-05-07,5840,10.34142017
2014-05-08,6223,10.50908184
2014-05-09,5845,10.42281914
2014-05-10,5577,10.7617569
2014-05-11,6389,10.71716881
2014-05-12,6698,10.33806038
2014-05-13,6117,10.41868496
2014-05-14,5377,10.40582371
2014-05-15,5935,10.43307686
2014-05-16,5477,10.48279476
2014-05-17,4571,10.44066143
2014-05-18,4352,10.34725761
2014-05-19,6840,10.34333801
2014-05-20,5801,10.30385303
2014-05-21,6804,10.60335159
2014-05-22,7529,10.57919121
2014-05-23,7658,10.64639473
2014-05-24,5650,11.20851517
2014-05-25,5845,11.12306404
2014-05-26,6279,11.57830811
2014-05-27,6506,11.54675961
2014-05-28,6699,11.16233635
2014-05-29,5731,11.01273251
2014-05-30,6150,10.7815752
2014-05-31,5514,11.25792408
2014-06-01,6112,10.92648506
2014-06-02,6701,11.14717388
2014-06-03,6029,11.35939598
2014-06-04,6098,11.47022247
2014-06-05,5821,11.0392952
2014-06-06,5088,11.29538441
2014-06-07,4429,11.19596767
2014-06-08,4185,11.10968208
2014-06-09,4798,11.26592731
2014-06-10,5110,11.21110153
2014-06-11,4522,11.10305595
2014-06-12,5888,10.93151665
2014-06-13,4700,10.16253757
2014-06-14,4614,10.25964069
2014-06-15,4445,9.87468529
2014-06-16,4786,9.96162224
2014-06-17,4353,9.68344879
2014-06-18,4809,9.67410469
2014-06-19,4726,9.67678356
2014-06-20,4794,9.99636745
2014-06-21,4246,9.84114361
2014-06-22,3898,9.84951878
2014-06-23,4350,9.76990128
2014-06-24,4847,9.72811222
2014-06-25,4693,9.61211014
2014-06-26,4381,9.20060062
2014-06-27,4690,9.09437656
2014-06-28,3873,9.24751759
2014-06-29,3887,9.19578648
2014-06-30,5322,8.97191238
2014-07-01,5085,8.96225739
2014-07-02,5969,7.98479033
2014-07-03,4667,8.06755924
2014-07-04,4218,8.03005886
2014-07-05,4784,7.32218647
2014-07-06,4472,7.30489874
2014-07-07,4886,7.09888697
2014-07-08,4689,7.73099422
2014-07-09,4305,7.79258966
2014-07-10,4315,7.79260349
2014-07-11,4420,7.85397196
2014-07-12,4393,8.61945248
2014-07-13,5017,8.89791203
2014-07-14,5209,8.619771
2014-07-15,4505,8.55823517
2014-07-16,5265,8.3152914
2014-07-17,6137,8.65816498
2014-07-18,6876,8.72484589
2014-07-19,6594,8.60983753
2014-07-20,8435,8.46209431
2014-07-21,5315,8.58654976
2014-07-22,7275,8.56691742
2014-07-23,4124,8.4591856
2014-07-24,8255,7.79307318
2014-07-25,8280,7.55479765
2014-07-26,6010,7.60348272
2014-07-27,4997,7.75354004
2014-07-28,4152,7.58822632
2014-07-29,4202,7.65241003
2014-07-30,4322,7.26385307
2014-07-31,4455,7.53752708
2014-08-01,4262,7.70185423
2014-08-02,4039,7.62533188
2014-08-03,3448,7.53763628
2014-08-04,4027,7.41390467
2014-08-05,7383,7.26678991
2014-08-06,7662,7.18435431
2014-08-07,7400,7.17608356
2014-08-08,5785,7.06227779
2014-08-09,3536,6.94440746
2014-08-10,3385,6.94621944
2014-08-11,3959,6.05787086
2014-08-12,5882,5.65151834
2014-08-13,5577,5.042449
2014-08-14,5046,5.04379559
2014-08-15,3701,5.04859066
2014-08-16,3987,4.97831726
2014-08-17,3808,4.3320322
2014-08-18,5237,3.71356797
2014-08-19,4901,4.67193604
2014-08-20,5084,5.44995928
2014-08-21,4450,5.79547691
2014-08-22,3813,5.24732828
2014-08-23,2925,4.90175629
2014-08-24,3440,5.45123816
2014-08-25,3221,5.20786619
2014-08-26,3571,5.5387392
2014-08-27,3306,5.3852272
2014-08-28,2992,5.27704
2014-08-29,3085,5.36002588
2014-08-30,3479,5.22624493
2014-08-31,3590,4.85829449
2014-09-01,3858,4.71304131
2014-09-02,3402,4.81860495
2014-09-03,3594,4.87154579
2014-09-04,3880,5.17592573
2014-09-05,3057,4.96420145
2014-09-06,2966,4.9840517
2014-09-07,3362,5.15604305
2014-09-08,2984,5.09617281
2014-09-09,3154,5.06523418
2014-09-10,3547,5.34294748
2014-09-11,3603,5.45186424
2014-09-12,3341,5.38247919
2014-09-13,3307,5.44849968
2014-09-14,3663,5.40482712
2014-09-15,3633,5.176651
2014-09-16,3431,5.07491302
2014-09-17,3740,5.05855274
2014-09-18,4288,4.68522978
2014-09-19,3814,4.32777214
2014-09-20,3346,4.28644371
2014-09-21,3224,4.24592066
2014-09-22,3369,4.24235392
2014-09-23,2972,4.74656773
2014-09-24,3574,4.6667881
2014-09-25,3122,4.51464796
2014-09-26,3015,4.43359137
2014-09-27,3356,4.42179632
2014-09-28,3282,4.23323011
2014-09-29,3067,4.24678946
2014-09-30,2549,4.47472668
2014-10-01,4669,4.4301486
2014-10-02,2456,4.32265759
2014-10-03,2269,4.17511797
2014-10-04,3115,3.93820024
2014-10-05,3512,3.69914269
2014-10-06,3020,3.82236695
2014-10-07,3494,3.85862851
2014-10-08,3024,3.90788698
2014-10-09,3402,3.90065908
2014-10-10,3105,3.80738854
2014-10-11,3426,3.77266335
2014-10-12,2792,3.85033369
2014-10-13,3076,3.86178279
2014-10-14,3834,4.07591057
2014-10-15,2704,4.0564208
2014-10-16,2487,3.99088931
2014-10-17,2637,3.99327445
2014-10-18,2972,4.05575752
