Time,LTC number of daily transactions on the chain,Price
2014-08-22,4627,5.24732828
2014-08-23,3664,4.90175629
2014-08-24,4111,5.45123816
2014-08-25,3952,5.20786619
2014-08-26,4283,5.5387392
2014-08-27,4234,5.3852272
2014-08-28,3790,5.27704
2014-08-29,4272,5.36002588
2014-08-30,4312,5.22624493
2014-08-31,4523,4.85829449
2014-09-01,5035,4.71304131
2014-09-02,4560,4.81860495
2014-09-03,4846,4.87154579
2014-09-04,5246,5.17592573
2014-09-05,3818,4.96420145
2014-09-06,3842,4.9840517
2014-09-07,4447,5.15604305
2014-09-08,3885,5.09617281
2014-09-09,4195,5.06523418
2014-09-10,4768,5.34294748
2014-09-11,4504,5.45186424
2014-09-12,4349,5.38247919
2014-09-13,4206,5.44849968
2014-09-14,4550,5.40482712
2014-09-15,4628,5.176651
2014-09-16,4447,5.07491302
2014-09-17,4950,5.05855274
2014-09-18,4558,4.68522978
2014-09-19,4921,4.32777214
2014-09-20,4249,4.28644371
2014-09-21,5810,4.24592066
2014-09-22,5563,4.24235392
2014-09-23,4225,4.74656773
2014-09-24,4736,4.6667881
2014-09-25,4215,4.51464796
2014-09-26,3999,4.43359137
2014-09-27,4227,4.42179632
2014-09-28,4185,4.23323011
2014-09-29,4149,4.24678946
2014-09-30,3322,4.47472668
2014-10-01,3441,4.4301486
2014-10-02,2955,4.32265759
2014-10-03,2825,4.17511797
2014-10-04,3581,3.93820024
2014-10-05,4372,3.69914269
2014-10-06,3961,3.82236695
2014-10-07,4373,3.85862851
2014-10-08,3954,3.90788698
2014-10-09,4167,3.90065908
2014-10-10,4249,3.80738854
2014-10-11,4303,3.77266335
2014-10-12,3590,3.85033369
2014-10-13,3582,3.86178279
2014-10-14,4946,4.07591057
2014-10-15,4367,4.0564208
2014-10-16,3147,3.99088931
2014-10-17,3137,3.99327445
2014-10-18,3322,4.05575752
2014-10-19,3258,3.98894095
2014-10-20,3315,3.90982604
2014-10-21,3318,3.94000578
2014-10-22,3121,3.84331608
2014-10-23,3388,3.73965454
2014-10-24,3189,3.74752617
2014-10-25,3229,3.66755009
2014-10-26,2706,3.7271843
2014-10-27,3138,3.80730581
2014-10-28,4921,3.84606838
2014-10-29,3290,3.72694516
2014-10-30,3186,3.78586245
2014-10-31,3081,3.75400352
2014-11-01,3559,3.57058525
2014-11-02,3077,3.58510423
2014-11-03,2880,3.57805562
2014-11-04,2830,3.59175682
2014-11-05,3292,3.64484549
2014-11-06,2773,3.64956498
2014-11-07,3169,3.55736971
2014-11-08,6029,3.5562613
2014-11-09,5097,3.63146162
2014-11-10,3928,3.69563007
2014-11-11,3738,3.67588592
2014-11-12,4120,4.06861258
2014-11-13,5515,4.09765577
2014-11-14,4224,3.9893713
2014-11-15,4010,3.85432935
2014-11-16,3854,3.8836267
2014-11-17,3995,3.87744117
2014-11-18,3823,3.77016497
2014-11-19,3700,3.80746245
2014-11-20,4138,3.61154532
2014-11-21,3965,3.49692822
2014-11-22,4048,3.52329326
2014-11-23,3359,3.59435749
2014-11-24,4198,3.62854648
2014-11-25,4007,3.56749678
2014-11-26,4043,3.560462
2014-11-27,3407,3.55987716
2014-11-28,3793,3.60385752
2014-11-29,3650,3.58628273
2014-11-30,4665,3.57609034
2014-12-01,3756,3.57714009
2014-12-02,3888,3.63109589
2014-12-03,3812,3.61201572
2014-12-04,5738,3.59263015
2014-12-05,6243,3.61822987
2014-12-06,3921,3.61452389
2014-12-07,3756,3.71116138
2014-12-08,3808,3.65320396
2014-12-09,3807,3.52117181
2014-12-10,3294,3.49985981
2014-12-11,3121,3.47890115
2014-12-12,3130,3.48670816
2014-12-13,3329,3.47607422
2014-12-14,3204,3.48048449
2014-12-15,3466,3.45077872
2014-12-16,4418,3.01526165
2014-12-17,3853,2.94023418
2014-12-18,3508,2.80556583
2014-12-19,3160,2.86910677
2014-12-20,4032,2.92357659
2014-12-21,4417,2.85039115
2014-12-22,4586,2.88578916
2014-12-23,4682,2.88196135
2014-12-24,3704,2.73834133
2014-12-25,3710,2.69945407
2014-12-26,3567,2.78168702
2014-12-27,3462,2.71695089
2014-12-28,4053,2.73303771
2014-12-29,3408,2.69481611
2014-12-30,3839,2.70400715
2014-12-31,3867,2.71893287
2015-01-01,3213,2.69904542
2015-01-02,3297,2.66736436
2015-01-03,5921,2.13316369
2015-01-04,5394,1.95668352
2015-01-05,4986,2.08218002
2015-01-06,5044,2.11211777
2015-01-07,4507,2.11818266
2015-01-08,5638,2.00807405
2015-01-09,5145,2.00807405
2015-01-10,6298,1.65332007
2015-01-11,6107,1.72456288
2015-01-12,5838,1.71423495
2015-01-13,5557,1.54112375
2015-01-14,6140,1.1570096
2015-01-15,5134,1.28277385
2015-01-16,5104,1.40227067
2015-01-17,6568,1.29340911
2015-01-18,6067,1.33333242
2015-01-19,5877,1.34178281
2015-01-20,5487,1.32355452
2015-01-21,5551,1.37330949
2015-01-22,6585,1.41875196
2015-01-23,4032,1.42595315
2015-01-24,4440,1.84379733
2015-01-25,7460,2.24829888
2015-01-26,5659,2.0810461
2015-01-27,7552,2.08608055
2015-01-28,8454,1.87202299
2015-01-29,5820,1.91566944
2015-01-30,5974,1.89763308
2015-01-31,6176,1.8734951
2015-02-01,5735,1.80351961
2015-02-02,10155,1.876176
2015-02-03,6896,1.82175744
2015-02-04,4000,1.79234958
2015-02-05,4831,1.74122977
2015-02-06,5175,1.75941002
2015-02-07,8402,1.78171635
2015-02-08,19625,1.78358734
2015-02-09,21503,1.73146963
2015-02-10,11108,1.76317894
2015-02-11,10127,1.72743571
2015-02-12,7745,1.7575587
2015-02-13,6219,1.82167864
2015-02-14,8352,1.93768537
2015-02-15,5269,1.84199512
2015-02-16,4564,1.79627907
2015-02-17,4788,1.8531214
2015-02-18,5205,1.82816267
2015-02-19,6310,1.84676445
2015-02-20,4225,1.84794557
2015-02-21,4489,1.8489145
2015-02-22,4132,1.79620469
2015-02-23,5774,1.82041335
2015-02-24,5872,1.82931542
2015-02-25,5633,1.80233753
2015-02-26,6845,1.81012762
2015-02-27,6878,1.84918487
2015-02-28,7171,1.84072661
2015-03-01,7042,1.89157176
2015-03-02,5927,1.93610287
2015-03-03,4899,1.95604801
2015-03-04,6128,1.93050206
2015-03-05,11056,1.91641033
2015-03-06,4635,1.89782333
2015-03-07,4922,1.91050208
2015-03-08,5039,1.89185858
2015-03-09,5037,1.94427979
2015-03-10,5025,2.00905848
2015-03-11,4918,2.02628183
2015-03-12,4854,2.04279447
2015-03-13,4584,2.00796294
2015-03-14,5030,1.99604881
2015-03-15,4410,2.01883078
2015-03-16,4254,2.03307867
2015-03-17,4586,1.98214662
2015-03-18,4231,1.74253738
2015-03-19,4627,1.75909376
2015-03-20,4352,1.7672112
2015-03-21,4602,1.74668801
2015-03-22,5196,1.79771519
2015-03-23,4796,1.7781601
2015-03-24,4687,1.6515857
2015-03-25,4851,1.67314446
2015-03-26,4705,1.69549441
2015-03-27,3795,1.68674409
2015-03-28,4187,1.70366406
2015-03-29,4388,1.65567636
2015-03-30,4224,1.66957986
2015-03-31,4466,1.6525954
2015-04-01,4002,1.66462994
2015-04-02,4453,1.67780554
2015-04-03,3980,1.69851482
2015-04-04,4076,1.68785453
2015-04-05,3982,1.70081997
2015-04-06,3824,1.68687189
2015-04-07,4651,1.66842079
2015-04-08,4411,1.62750471
2015-04-09,5872,1.58593678
2015-04-10,5038,1.52703512
2015-04-11,5595,1.45911145
2015-04-12,5283,1.4624747
2015-04-13,3854,1.37690258
2015-04-14,4838,1.37847674
2015-04-15,5492,1.38299501
2015-04-16,4831,1.42144549
2015-04-17,3838,1.40912831
2015-04-18,5025,1.409935
2015-04-19,6163,1.38917446
2015-04-20,4778,1.4089613
2015-04-21,4040,1.42388427
2015-04-22,4674,1.45419192
2015-04-23,4636,1.46174836
2015-04-24,4492,1.41928005
2015-04-25,3873,1.40291381
2015-04-26,4027,1.32117295
2015-04-27,4019,1.38347518
2015-04-28,3769,1.36401546
2015-04-29,4074,1.36131632
2015-04-30,3607,1.43984365
2015-05-01,3617,1.40659428
2015-05-02,3315,1.42153358
2015-05-03,3686,1.43269932
2015-05-04,4153,1.4076606
2015-05-05,3885,1.40632713
2015-05-06,3630,1.38890254
2015-05-07,3777,1.455181
2015-05-08,4010,1.48108149
2015-05-09,4184,1.44830823
2015-05-10,3971,1.43874097
2015-05-11,4151,1.43732631
2015-05-12,4129,1.44561553
2015-05-13,3850,1.45141828
2015-05-14,3669,1.44776976
2015-05-15,3586,1.45429313
2015-05-16,3680,1.44613063
2015-05-17,3413,1.45413959
2015-05-18,4069,1.44637012
2015-05-19,4006,1.45319414
2015-05-20,3697,1.45919418
2015-05-21,3420,1.47806096
2015-05-22,4276,1.83229613
2015-05-23,4891,1.78646255
2015-05-24,3975,1.83116794
2015-05-25,4309,1.80332112
2015-05-26,3824,1.81731415
2015-05-27,3821,1.84502077
2015-05-28,3943,1.84075391
2015-05-29,3572,1.83135307
2015-05-30,3686,1.81312144
2015-05-31,3965,1.63708353
2015-06-01,4194,1.61600864
2015-06-02,4621,1.66996706
2015-06-03,4454,1.68718004
2015-06-04,3781,1.66834939
2015-06-05,4027,1.76056802
2015-06-06,3951,1.75980663
2015-06-07,3572,1.73052502
2015-06-08,4424,1.78646278
2015-06-09,3669,1.79581666
2015-06-10,3715,1.75924265
2015-06-11,3914,1.79215968
2015-06-12,4455,1.80219436
2015-06-13,3968,1.86153245
2015-06-14,5017,2.00286508
2015-06-15,4802,2.01825142
2015-06-16,6104,2.87659454
2015-06-17,7700,2.88861775
2015-06-18,5996,3.0950706
2015-06-19,5374,2.80730414
2015-06-20,6719,3.03591371
2015-06-21,18171,3.02235985
2015-06-22,7671,3.02846122
2015-06-23,4670,2.9745338
2015-06-24,4559,2.77862716
2015-06-25,6101,2.85033274
2015-06-26,5238,2.86023951
2015-06-27,8686,3.10317302
2015-06-28,10412,3.3058238
2015-06-29,10342,3.73649526
2015-06-30,10958,4.08675909
2015-07-01,6122,3.92427468
2015-07-02,5656,4.06536627
2015-07-03,5541,4.11531496
2015-07-04,5316,4.11353064
2015-07-05,5411,4.95272017
2015-07-06,8837,5.41723442
2015-07-07,7535,5.23463202
2015-07-08,7015,6.36112356
2015-07-09,9305,7.53694296
2015-07-10,12555,4.50522041
2015-07-11,8614,4.37381697
2015-07-12,8099,5.28724813
2015-07-13,7048,4.67990303
2015-07-14,5374,4.6498909
2015-07-15,4917,4.21409369
2015-07-16,7883,3.68978143
2015-07-17,5400,3.78680515
2015-07-18,4140,4.00187826
2015-07-19,4051,3.76611066
2015-07-20,4122,3.93859434
2015-07-21,4146,3.76621032
2015-07-22,3861,3.82366419
2015-07-23,3494,3.78443646
2015-07-24,4411,4.60182667
2015-07-25,5195,4.63198757
2015-07-26,4519,4.66231585
2015-07-27,4435,4.67136574
2015-07-28,5006,5.05840015
2015-07-29,4993,4.79768467
2015-07-30,3849,4.57803392
2015-07-31,3935,4.64104176
2015-08-01,4014,4.15320396
2015-08-02,4006,4.17490911
2015-08-03,4623,4.16219473
2015-08-04,4215,4.37793016
2015-08-05,3798,4.34921503
2015-08-06,4284,4.06467485
2015-08-07,3762,4.20828247
2015-08-08,3637,3.85475302
2015-08-09,4205,3.89859128
2015-08-10,4016,3.94887686
2015-08-11,4066,4.15955114
2015-08-12,4041,3.98545313
2015-08-13,3744,3.88034105
2015-08-14,3747,4.02622652
2015-08-15,3423,3.9254632
2015-08-16,3655,3.95228195
2015-08-17,4220,3.98395896
2015-08-18,4004,3.46971178
2015-08-19,4461,3.47782493
2015-08-20,3774,3.60509038
2015-08-21,3277,3.56501508
2015-08-22,3379,3.51123333
2015-08-23,3947,3.39447045
2015-08-24,4641,2.99473691
2015-08-25,5859,2.93719912
2015-08-26,4865,2.9465127
2015-08-27,3884,2.86605453
2015-08-28,3928,2.90628648
2015-08-29,3496,2.87650728
2015-08-30,3018,2.84840322
2015-08-31,3623,2.84207153
2015-09-01,3868,2.82001448
2015-09-02,3449,2.79544544
2015-09-03,3518,2.63313818
2015-09-04,3790,2.70112371
2015-09-05,3649,2.91953635
2015-09-06,6790,3.04807091
2015-09-07,3617,3.04589915
2015-09-08,3804,3.04737568
2015-09-09,3484,2.9239161
2015-09-10,3357,2.94935632
2015-09-11,3587,2.95746017
2015-09-12,2893,2.82555485
2015-09-13,4351,2.8159411
2015-09-14,3810,2.84464836
2015-09-15,3135,2.82318807
2015-09-16,3579,2.80298424
2015-09-17,3350,2.90637326
2015-09-18,4010,2.95695639
2015-09-19,3326,2.87357521
2015-09-20,4021,2.84643531
2015-09-21,4097,2.79912663
2015-09-22,4030,2.84464741
2015-09-23,3856,2.86554766
2015-09-24,3283,2.92998147
2015-09-25,3852,2.89286017
2015-09-26,3432,2.88688207
2015-09-27,3873,2.87115836
2015-09-28,4448,3.07280016
2015-09-29,4287,2.96998906
2015-09-30,4050,3.00978327
2015-10-01,3724,3.00191545
2015-10-02,3639,2.99319696
2015-10-03,3558,3.03008008
2015-10-04,3934,3.01435614
2015-10-05,4080,3.01599288
2015-10-06,3887,3.14592814
2015-10-07,4283,3.05857921
2015-10-08,4005,3.06403184
2015-10-09,3948,3.1079669
2015-10-10,5146,3.10598898
2015-10-11,4181,3.14503813
2015-10-12,5098,3.13719654
2015-10-13,4877,3.17973757
2015-10-14,5516,3.14418221
2015-10-15,5674,3.10489273
2015-10-16,4756,3.10735393
2015-10-17,6041,3.07154417
2015-10-18,5620,3.02279377
2015-10-19,5245,3.04797053
2015-10-20,4821,3.09260368
2015-10-21,7991,3.07514954
2015-10-22,5072,3.11464596
2015-10-23,5703,3.11153889
2015-10-24,5966,3.09985924
2015-10-25,6773,3.06579041
2015-10-26,6996,3.10442686
2015-10-27,6461,3.09454799
2015-10-28,7464,3.10077167
2015-10-29,6488,3.78220654
2015-10-30,9413,4.06167603
2015-10-31,12148,3.80433154
2015-11-01,5077,3.95930147
2015-11-02,5408,4.16489649
2015-11-03,6229,4.58980274
2015-11-04,8873,4.23022032
2015-11-05,8006,3.96163583
2015-11-06,8275,3.54801464
2015-11-07,6265,3.59887409
2015-11-08,6790,3.41906643
2015-11-09,8256,3.39661884
2015-11-10,6480,3.11514878
2015-11-11,6046,2.96938753
2015-11-12,6798,3.27870131
2015-11-13,5945,3.22598696
2015-11-14,6599,3.19461036
2015-11-15,6183,3.06579971
2015-11-16,6358,3.1894455
2015-11-17,6405,3.20197964
2015-11-18,7571,3.18551302
2015-11-19,6878,3.13360643
2015-11-20,5827,3.11556554
2015-11-21,6869,3.15027022
2015-11-22,5249,3.13683057
2015-11-23,5640,3.12410378
2015-11-24,5511,3.10783219
2015-11-25,5942,3.3444407
2015-11-26,8811,3.60833955
2015-11-27,7205,3.57860947
2015-11-28,6845,3.52259111
2015-11-29,7816,3.66972733
2015-11-30,6804,3.6212194
2015-12-01,7070,3.43489599
2015-12-02,6160,3.34225297
2015-12-03,5546,3.37749314
2015-12-04,4968,3.36181474
2015-12-05,6493,3.52371645
2015-12-06,6935,3.47310448
2015-12-07,10093,3.64514112
2015-12-08,6859,3.68692207
2015-12-09,7693,3.66902566
2015-12-10,6621,3.66394138
2015-12-11,6424,3.836447
2015-12-12,9832,3.60633254
2015-12-13,6386,3.62673926
2015-12-14,8095,3.61456943
2015-12-15,8111,3.8337698
2015-12-16,10285,3.69892073
2015-12-17,5516,3.74000025
2015-12-18,4792,3.75695777
2015-12-19,5156,3.72061563
2015-12-20,3769,3.53612018
2015-12-21,7486,3.45868683
2015-12-22,4563,3.41952944
2015-12-23,6619,3.57807016
2015-12-24,5011,3.64400244
2015-12-25,3778,3.62475419
2015-12-26,4063,3.42442489
2015-12-27,5201,3.47904706
2015-12-28,4429,3.46603465
2015-12-29,4920,3.50026464
2015-12-30,4110,3.45914149
2015-12-31,4652,3.48017335
2016-01-01,3599,3.50898409
2016-01-02,4962,3.50215697
2016-01-03,4069,3.48306918
2016-01-04,5734,3.49539495
2016-01-05,4384,3.46966624
2016-01-06,4121,3.45355749
2016-01-07,4822,3.6041441
2016-01-08,7202,3.56887746
2016-01-09,7350,3.5605669
2016-01-10,5923,3.53672147
2016-01-11,8475,3.55661941
2016-01-12,4336,3.49368024
2016-01-13,5283,3.47602415
2016-01-14,3764,3.46598887
2016-01-15,4159,2.99677944
2016-01-16,5377,3.08694029
2016-01-17,5231,3.02619243
2016-01-18,7364,3.04896069
2016-01-19,3839,3.01744437
2016-01-20,5187,3.38852787
2016-01-21,5124,3.22078252
2016-01-22,4272,3.0765686
2016-01-23,5375,3.10348296
2016-01-24,5651,3.18100095
2016-01-25,5487,3.12727857
2016-01-26,6331,3.15481877
2016-01-27,7357,3.2874465
2016-01-28,7431,3.12016296
2016-01-29,5676,3.11137533
2016-01-30,5731,3.08080244
2016-01-31,5938,3.05215883
2016-02-01,6610,3.07724261
2016-02-02,4146,3.07586884
2016-02-03,3718,3.04753041
2016-02-04,4401,3.16276693
2016-02-05,4182,3.13740945
2016-02-06,4631,3.09900498
2016-02-07,3744,3.08595967
2016-02-08,4405,3.0621593
2016-02-09,4477,3.08155417
2016-02-10,3876,3.09524798
2016-02-11,3838,3.07562256
2016-02-12,3775,3.11187005
2016-02-13,4087,3.12969303
2016-02-14,3808,3.21058726
2016-02-15,4378,3.18250656
2016-02-16,4260,3.20900846
2016-02-17,5654,3.24102855
2016-02-18,4039,3.25143123
2016-02-19,5513,3.25279045
2016-02-20,5337,3.45799184
2016-02-21,5623,3.46427155
2016-02-22,5576,3.48363161
2016-02-23,5034,3.39693499
2016-02-24,5253,3.37487483
2016-02-25,4617,3.36552358
2016-02-26,4058,3.41679454
2016-02-27,4701,3.41287971
2016-02-28,4015,3.44186473
2016-02-29,5604,3.44611311
2016-03-01,4058,3.43297386
2016-03-02,8341,3.36501932
2016-03-03,4473,3.32352662
2016-03-04,4634,3.25023389
2016-03-05,4716,3.19215608
2016-03-06,4424,3.22164583
2016-03-07,4323,3.26774788
2016-03-08,4162,3.25421786
2016-03-09,3431,3.27985191
2016-03-10,4042,3.28755307
2016-03-11,5306,3.38469887
2016-03-12,4000,3.29018188
2016-03-13,4295,3.30740237
2016-03-14,4827,3.3035233
2016-03-15,4311,3.30577755
2016-03-16,3992,3.30939174
2016-03-17,5234,3.30739212
2016-03-18,4802,3.16981387
2016-03-19,4748,3.17825365
2016-03-20,4666,3.20554972
2016-03-21,5530,3.20091319
2016-03-22,5558,3.23472309
2016-03-23,4562,3.24280095
2016-03-24,6654,3.22470355
2016-03-25,6074,3.22907448
2016-03-26,5538,3.23057389
2016-03-27,4906,3.30359983
2016-03-28,5451,3.26405549
2016-03-29,6136,3.22633123
2016-03-30,5259,3.21940923
2016-03-31,5937,3.25707412
2016-04-01,5569,3.23994684
2016-04-02,6682,3.26211309
2016-04-03,4645,3.26268291
2016-04-04,4537,3.25059104
2016-04-05,6140,3.2516458
2016-04-06,5839,3.25593209
2016-04-07,5731,3.24531531
2016-04-08,6436,3.22026873
2016-04-09,6476,3.21620321
2016-04-10,5370,3.22698927
2016-04-11,6145,3.24177313
2016-04-12,4655,3.25731826
2016-04-13,4256,3.23886013
2016-04-14,4503,3.23960781
2016-04-15,4736,3.27882552
2016-04-16,4413,3.27381587
2016-04-17,4362,3.25777316
2016-04-18,5091,3.2403934
2016-04-19,5033,3.28516841
2016-04-20,5001,3.27837515
2016-04-21,4934,3.34639525
2016-04-22,4760,3.31927228
2016-04-23,4907,3.33446503
2016-04-24,6402,3.63183069
2016-04-25,7506,3.81171918
2016-04-26,7112,4.04579878
2016-04-27,8050,3.8897109
2016-04-28,6020,3.78849649
2016-04-29,6395,3.81360102
2016-04-30,5478,3.65974832
2016-05-01,6323,3.70520091
2016-05-02,6431,3.68031144
2016-05-03,6264,3.74091148
2016-05-04,6577,3.74679303
2016-05-05,6846,3.71384573
2016-05-06,6827,3.82211185
2016-05-07,6760,3.95345283
2016-05-08,5659,3.93813968
2016-05-09,6876,4.05642509
2016-05-10,7532,3.81915426
2016-05-11,7502,3.88226843
2016-05-12,7247,3.85679913
2016-05-13,7702,3.9256804
2016-05-14,6947,4.01012278
2016-05-15,6902,4.06311941
2016-05-16,7455,4.00653458
2016-05-17,8063,3.98312974
2016-05-18,6992,4.0032177
2016-05-19,7217,3.83338928
2016-05-20,6865,3.88101172
2016-05-21,5961,3.95448685
2016-05-22,6387,3.92969537
2016-05-23,6818,3.96819305
2016-05-24,6292,3.95140934
2016-05-25,6616,4.04566193
2016-05-26,6614,4.08246946
2016-05-27,9101,4.50133371
2016-05-28,8444,4.70068169
2016-05-29,7206,4.60962057
2016-05-30,7514,4.6708746
2016-05-31,8413,4.65038919
2016-06-01,7636,4.74098873
2016-06-02,7837,4.71505499
2016-06-03,7777,4.8609724
2016-06-04,7659,4.80804491
2016-06-05,4049,4.81290674
2016-06-06,5030,4.9591608
2016-06-07,4759,4.77078009
2016-06-08,4494,4.74816561
2016-06-09,4366,4.69312
2016-06-10,4182,4.83999777
2016-06-11,4261,5.01398182
2016-06-12,5376,5.33357859
2016-06-13,5917,5.29031801
2016-06-14,6017,5.20402002
2016-06-15,5605,5.23978472
2016-06-16,6519,5.6607933
2016-06-17,7452,5.59326935
2016-06-18,4975,5.55994654
2016-06-19,4930,5.59378099
2016-06-20,5227,5.29454088
2016-06-21,5655,4.82175446
2016-06-22,5286,3.91069913
2016-06-23,8153,3.85051417
2016-06-24,6192,4.27909517
2016-06-25,4754,4.23307419
2016-06-26,5035,4.07430696
2016-06-27,4579,4.11985493
2016-06-28,5014,4.10066271
2016-06-29,5462,4.06187916
2016-06-30,4882,4.19350481
2016-07-01,4796,4.25596952
2016-07-02,4520,4.58992147
2016-07-03,4419,4.25329447
2016-07-04,4268,4.54056215
2016-07-05,4604,4.45227575
2016-07-06,4339,4.46821594
2016-07-07,4795,4.11187792
2016-07-08,4266,4.21990681
2016-07-09,4044,4.16307259
2016-07-10,3977,4.09982681
2016-07-11,4528,4.08544016
2016-07-12,4432,4.15327978
2016-07-13,4043,4.13855219
2016-07-14,3873,4.14846039
2016-07-15,5604,4.15976667
2016-07-16,4514,4.13266897
2016-07-17,3717,4.18988991
2016-07-18,4348,4.14822006
2016-07-19,3919,4.14915943
2016-07-20,4323,4.12505865
2016-07-21,4484,4.12022638
2016-07-22,4107,4.03828812
2016-07-23,3751,4.0570035
2016-07-24,3684,4.07066822
2016-07-25,4210,4.03204203
2016-07-26,4306,3.97024322
2016-07-27,5179,3.95589185
2016-07-28,3710,3.96774292
2016-07-29,3843,4.07744408
2016-07-30,3869,4.0618124
2016-07-31,3527,4.0138216
2016-08-01,4688,3.86342001
2016-08-02,4995,3.63958025
2016-08-03,6029,3.71922803
2016-08-04,4626,3.74845362
2016-08-05,4137,3.72903657
2016-08-06,3855,3.76017523
2016-08-07,3945,3.78032398
2016-08-08,4253,3.78551173
2016-08-09,3582,3.7597537
2016-08-10,3328,3.72242188
2016-08-11,3989,3.7421689
2016-08-12,4140,3.70935202
2016-08-13,3884,3.71440625
2016-08-14,3342,3.65020871
2016-08-15,3980,3.57708097
2016-08-16,3830,3.63771629
2016-08-17,3890,3.59944081
2016-08-18,3676,3.60712194
2016-08-19,4041,3.6040864
2016-08-20,3331,3.61556458
2016-08-21,3243,3.61506605
2016-08-22,3895,3.65725541
2016-08-23,5764,3.93072915
2016-08-24,5530,3.85504889
2016-08-25,4551,3.80207324
2016-08-26,3915,3.82638049
2016-08-27,3760,3.73676872
2016-08-28,3784,3.73982644
2016-08-29,4123,3.75952172
2016-08-30,3733,3.80406404
2016-08-31,4472,3.79744315
2016-09-01,4222,3.83201218
2016-09-02,4026,3.82457376
2016-09-03,3652,3.88875175
2016-09-04,3897,4.01443911
2016-09-05,4193,3.97918725
2016-09-06,4041,3.9723568
2016-09-07,3864,3.9698832
2016-09-08,4037,3.98833823
2016-09-09,3668,3.96998572
2016-09-10,3138,3.96898007
2016-09-11,3080,3.85545015
2016-09-12,4111,3.82319379
2016-09-13,3644,3.82171369
2016-09-14,3428,3.83215976
2016-09-15,3314,3.81192493
2016-09-16,3594,3.80619478
2016-09-17,3374,3.80542421
2016-09-18,2945,4.04340315
2016-09-19,3484,3.8311646
2016-09-20,3788,3.84206939
2016-09-21,3948,3.84036875
2016-09-22,4093,3.76756907
2016-09-23,3403,3.81290841
2016-09-24,2913,3.80514002
2016-09-25,3450,3.80837536
2016-09-26,3589,3.85873556
2016-09-27,3448,3.85224152
2016-09-28,3296,3.8376081
2016-09-29,3571,3.84561014
2016-09-30,3770,3.84160089
2016-10-01,3529,3.84921789
2016-10-02,3092,3.84231234
2016-10-03,3091,3.83797121
2016-10-04,3469,3.82302928
2016-10-05,3686,3.84312606
2016-10-06,4836,3.84654403
2016-10-07,3892,3.86229157
2016-10-08,3911,3.83804703
2016-10-09,3458,3.81513
2016-10-10,4053,3.79516816
2016-10-11,3893,3.8163271
2016-10-12,3955,3.75851059
2016-10-13,4116,3.90657401
2016-10-14,3852,3.89759994
2016-10-15,3709,3.87242961
2016-10-16,3479,3.88544941
2016-10-17,4503,3.91047692
2016-10-18,4511,3.83957815
2016-10-19,4965,3.80414295
2016-10-20,5161,3.77899885
2016-10-21,4171,3.80546212
2016-10-22,3610,3.88545871
2016-10-23,3641,3.91778135
2016-10-24,4109,3.86886001
2016-10-25,5272,3.90441394
2016-10-26,5190,3.96029305
2016-10-27,5767,4.02150297
2016-10-28,5186,3.97321558
2016-10-29,4415,4.09030724
2016-10-30,4632,4.03400755
2016-10-31,4752,3.99396276
2016-11-01,5115,4.0883317
2016-11-02,4517,4.10449839
2016-11-03,4693,3.86132813
2016-11-04,4627,3.87888885
2016-11-05,3870,3.86669135
2016-11-06,4021,3.88925147
2016-11-07,4377,3.83886695
2016-11-08,4111,3.84275651
2016-11-09,4145,3.86460948
2016-11-10,3754,3.82424068
2016-11-11,3881,3.81600738
2016-11-12,3752,3.76387715
2016-11-13,4030,3.87800169
2016-11-14,4085,3.8761704
2016-11-15,4406,3.89359307
2016-11-16,4411,4.01948023
2016-11-17,4188,3.94318557
2016-11-18,3908,3.96132135
2016-11-19,3496,3.95380211
2016-11-20,3606,3.92194247
2016-11-21,4484,3.94488049
2016-11-22,4169,3.94731164
2016-11-23,3660,3.92531633
2016-11-24,3545,3.90768623
2016-11-25,3542,3.91541958
2016-11-26,3498,3.89451218
2016-11-27,3540,3.88293242
2016-11-28,3424,3.88453913
2016-11-29,4037,3.87455034
2016-11-30,3929,3.89379263
2016-12-01,3814,3.90908194
2016-12-02,4084,3.94644308
2016-12-03,3549,3.92399716
2016-12-04,3676,3.89961171
2016-12-05,5480,3.52857924
2016-12-06,4597,3.5354054
2016-12-07,4187,3.61594605
2016-12-08,4468,3.69110298
2016-12-09,3797,3.69148302
2016-12-10,3215,3.68027067
2016-12-11,3247,3.63795733
2016-12-12,3369,3.66230702
2016-12-13,2977,3.65028453
2016-12-14,2968,3.6195631
2016-12-15,3367,3.62447238
2016-12-16,3499,3.62817836
2016-12-17,2941,3.69749522
2016-12-18,3543,3.67694736
2016-12-19,3486,3.66261673
2016-12-20,4286,3.66106296
2016-12-21,3832,3.65345049
2016-12-22,4249,3.71168065
2016-12-23,4532,4.65533209
2016-12-24,5757,4.55154133
2016-12-25,4341,4.34722424
2016-12-26,3691,4.35547686
2016-12-27,3882,4.46940279
2016-12-28,4241,4.57135248
2016-12-29,4066,4.55547714
2016-12-30,4234,4.39052153
2016-12-31,3442,4.32528782
2017-01-01,2767,4.5115943
2017-01-02,4566,4.64893961
2017-01-03,4518,4.62619591
2017-01-04,4672,4.83785391
2017-01-05,6177,4.29271936
2017-01-06,4765,3.86125636
2017-01-07,4756,3.95588207
2017-01-08,3844,3.99457669
2017-01-09,3631,4.30195904
2017-01-10,5208,4.59151173
2017-01-11,5501,3.84679413
