Time,LTC number of daily transactions on the chain,Price
2012-06-20,1176,
2012-06-21,1183,
2012-06-22,1254,
2012-06-23,1374,
2012-06-24,1433,
2012-06-25,1591,
2012-06-26,1410,
2012-06-27,1196,
2012-06-28,1403,
2012-06-29,1268,
2012-06-30,1198,
2012-07-01,1191,
2012-07-02,1183,
2012-07-03,1383,
2012-07-04,1570,
2012-07-05,1564,
2012-07-06,1543,
2012-07-07,1674,
2012-07-08,1940,
2012-07-09,2345,
2012-07-10,1642,
2012-07-11,1308,
2012-07-12,1234,
2012-07-13,1145,
2012-07-14,1314,
2012-07-15,1350,
2012-07-16,1535,
2012-07-17,1870,
2012-07-18,1515,
2012-07-19,1574,
2012-07-20,1575,
2012-07-21,1427,
2012-07-22,1236,
2012-07-23,1562,
2012-07-24,1723,
2012-07-25,2001,
2012-07-26,1234,
2012-07-27,1601,
2012-07-28,1481,
2012-07-29,1660,
2012-07-30,1716,
2012-07-31,1908,
2012-08-01,2358,
2012-08-02,1832,
2012-08-03,1692,
2012-08-04,1395,
2012-08-05,2017,
2012-08-06,1281,
2012-08-07,1097,
2012-08-08,1129,
2012-08-09,1440,
2012-08-10,1176,
2012-08-11,1201,
2012-08-12,1441,
2012-08-13,1551,
2012-08-14,1303,
2012-08-15,1348,
2012-08-16,1454,
2012-08-17,1327,
2012-08-18,1146,
2012-08-19,1315,
2012-08-20,1632,
2012-08-21,1546,
2012-08-22,1157,
2012-08-23,1199,
2012-08-24,1228,
2012-08-25,1719,
2012-08-26,1491,
2012-08-27,1549,
2012-08-28,1483,
2012-08-29,1356,
2012-08-30,1667,
2012-08-31,1673,
2012-09-01,1427,
2012-09-02,4098,
2012-09-03,3926,
2012-09-04,3879,
2012-09-05,3884,
2012-09-06,1878,
2012-09-07,1361,
2012-09-08,1572,
2012-09-09,2766,
2012-09-10,2287,
2012-09-11,3298,
2012-09-12,1964,
2012-09-13,2214,
2012-09-14,1818,
2012-09-15,3577,
2012-09-16,2044,
2012-09-17,2210,
2012-09-18,1378,
2012-09-19,2829,
2012-09-20,2061,
2012-09-21,1689,
2012-09-22,1724,
2012-09-23,1764,
2012-09-24,1711,
2012-09-25,1756,
2012-09-26,1516,
2012-09-27,1479,
2012-09-28,1510,
2012-09-29,1510,
2012-09-30,1569,
2012-10-01,1449,
2012-10-02,1607,
2012-10-03,1642,
2012-10-04,1473,
2012-10-05,1538,
2012-10-06,1855,
2012-10-07,1695,
2012-10-08,1542,
2012-10-09,1900,
2012-10-10,2294,
2012-10-11,1972,
2012-10-12,2255,
2012-10-13,2461,
2012-10-14,2313,
2012-10-15,2853,
2012-10-16,3223,
2012-10-17,1889,
2012-10-18,2399,
2012-10-19,1612,
2012-10-20,1559,
2012-10-21,1615,
2012-10-22,1643,
2012-10-23,2442,
2012-10-24,2315,
2012-10-25,1746,
2012-10-26,1501,
2012-10-27,1503,
2012-10-28,1529,
2012-10-29,1394,
2012-10-30,1808,
2012-10-31,1776,
2012-11-01,1756,
2012-11-02,1599,
2012-11-03,2295,
2012-11-04,1833,
2012-11-05,1766,
2012-11-06,1607,
2012-11-07,1544,
2012-11-08,1225,
2012-11-09,1372,
2012-11-10,1333,
2012-11-11,1654,
2012-11-12,1460,
2012-11-13,1673,
2012-11-14,1693,
2012-11-15,1839,
2012-11-16,1528,
2012-11-17,1614,
2012-11-18,1312,
2012-11-19,1343,
2012-11-20,1367,
2012-11-21,1449,
2012-11-22,1582,
2012-11-23,1723,
2012-11-24,1700,
2012-11-25,1928,
2012-11-26,1828,
2012-11-27,1610,
2012-11-28,1614,
2012-11-29,2518,
2012-11-30,2646,
2012-12-01,2595,
2012-12-02,1323,
2012-12-03,866,
2012-12-04,1039,
2012-12-05,1090,
2012-12-06,1004,
2012-12-07,1250,
2012-12-08,2259,
2012-12-09,2972,
2012-12-10,2320,
2012-12-11,951,
2012-12-12,1012,
2012-12-13,985,
2012-12-14,1172,
2012-12-15,1404,
2012-12-16,2303,
2012-12-17,2196,
2012-12-18,1061,
2012-12-19,977,
2012-12-20,982,
2012-12-21,1223,
2012-12-22,1160,
2012-12-23,1740,
2012-12-24,2002,
2012-12-25,1785,
2012-12-26,1100,
2012-12-27,1056,
2012-12-28,1080,
2012-12-29,1014,
2012-12-30,1245,
2012-12-31,1491,
2013-01-01,1386,
2013-01-02,1154,
2013-01-03,972,
2013-01-04,1193,
2013-01-05,1048,
2013-01-06,1281,
2013-01-07,1584,
2013-01-08,1497,
2013-01-09,1613,
2013-01-10,1383,
2013-01-11,1681,
2013-01-12,1288,
2013-01-13,1160,
2013-01-14,1557,
2013-01-15,1939,
2013-01-16,1617,
2013-01-17,1302,
2013-01-18,1175,
2013-01-19,1129,
2013-01-20,1378,
2013-01-21,1244,
2013-01-22,1621,
2013-01-23,1855,
2013-01-24,2105,
2013-01-25,1724,
2013-01-26,2284,
2013-01-27,1444,
2013-01-28,1603,
2013-01-29,1464,
2013-01-30,1865,
2013-01-31,1518,
2013-02-01,1426,
2013-02-02,1481,
2013-02-03,1616,
2013-02-04,1602,
2013-02-05,1475,
2013-02-06,1584,
2013-02-07,1848,
2013-02-08,1771,
2013-02-09,2213,
2013-02-10,2929,
2013-02-11,2151,
2013-02-12,2250,
2013-02-13,1603,
2013-02-14,1695,
2013-02-15,1766,
2013-02-16,2047,
2013-02-17,2076,
2013-02-18,2507,
2013-02-19,2126,
2013-02-20,2143,
2013-02-21,1666,
2013-02-22,1735,
2013-02-23,2474,
2013-02-24,2044,
2013-02-25,2419,
2013-02-26,1981,
2013-02-27,2541,
2013-02-28,3461,
2013-03-01,3305,
2013-03-02,2973,
2013-03-03,2483,
2013-03-04,3014,
2013-03-05,2720,
2013-03-06,3198,
2013-03-07,3232,
2013-03-08,2526,
2013-03-09,2805,
2013-03-10,3097,
2013-03-11,16869,
2013-03-12,4563,
2013-03-13,4261,
2013-03-14,4384,
2013-03-15,3973,
